Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
BASN,BASN_biomass_1,1,1,1,0.0
BASN,BASN_conventional_hydroelectric_1,1,1,2,0.0
BASN,BASN_conventional_steam_coal_1,1,1,3,0.0
BASN,BASN_geothermal_1,1,1,4,0.0
BASN,BASN_natural_gas_fired_combined_cycle_1,1,1,5,0.0
BASN,BASN_natural_gas_fired_combustion_turbine_1,1,1,6,0.0
BASN,BASN_natural_gas_internal_combustion_engine_1,1,1,7,0.0
BASN,BASN_onshore_wind_turbine_1,1,1,8,0.0
BASN,BASN_small_hydroelectric_1,1,1,9,0.0
BASN,BASN_solar_photovoltaic_1,1,1,10,0.0
CANO,CANO_biomass_1,2,1,11,0.0
CANO,CANO_conventional_hydroelectric_1,2,1,12,0.0
CANO,CANO_hydroelectric_pumped_storage_1,2,1,13,0.0
CANO,CANO_natural_gas_fired_combined_cycle_1,2,1,14,0.0
CANO,CANO_natural_gas_fired_combustion_turbine_1,2,1,15,0.0
CANO,CANO_natural_gas_internal_combustion_engine_1,2,1,16,0.0
CANO,CANO_natural_gas_steam_turbine_1,2,1,17,0.0
CANO,CANO_onshore_wind_turbine_1,2,1,18,0.0
CANO,CANO_petroleum_liquids_1,2,1,19,0.0
CANO,CANO_small_hydroelectric_1,2,1,20,0.0
CANO,CANO_solar_photovoltaic_1,2,1,21,0.0
CASO,CASO_biomass_1,3,1,22,0.0
CASO,CASO_conventional_hydroelectric_1,3,1,23,0.0
CASO,CASO_geothermal_1,3,1,24,0.0
CASO,CASO_hydroelectric_pumped_storage_1,3,1,25,0.0
CASO,CASO_natural_gas_fired_combined_cycle_1,3,1,26,0.0
CASO,CASO_natural_gas_fired_combustion_turbine_1,3,1,27,0.0
CASO,CASO_natural_gas_internal_combustion_engine_1,3,1,28,0.0
CASO,CASO_onshore_wind_turbine_1,3,1,29,0.0
CASO,CASO_petroleum_liquids_1,3,1,30,0.0
CASO,CASO_small_hydroelectric_1,3,1,31,0.0
CASO,CASO_solar_photovoltaic_1,3,1,32,0.0
FRCC,FRCC_biomass_1,4,1,33,0.0
FRCC,FRCC_conventional_hydroelectric_1,4,1,34,0.0
FRCC,FRCC_conventional_steam_coal_1,4,1,35,0.0
FRCC,FRCC_natural_gas_fired_combined_cycle_1,4,1,36,0.0
FRCC,FRCC_natural_gas_fired_combustion_turbine_1,4,1,37,0.0
FRCC,FRCC_natural_gas_internal_combustion_engine_1,4,1,38,0.0
FRCC,FRCC_natural_gas_steam_turbine_1,4,1,39,0.0
FRCC,FRCC_nuclear_1,4,1,40,0.0
FRCC,FRCC_petroleum_liquids_1,4,1,41,0.0
FRCC,FRCC_solar_photovoltaic_1,4,1,42,0.0
ISNE,ISNE_biomass_1,5,1,43,0.0
ISNE,ISNE_conventional_hydroelectric_1,5,1,44,0.0
ISNE,ISNE_hydroelectric_pumped_storage_1,5,1,45,0.0
ISNE,ISNE_natural_gas_fired_combined_cycle_1,5,1,46,0.0
ISNE,ISNE_natural_gas_fired_combustion_turbine_1,5,1,47,0.0
ISNE,ISNE_natural_gas_internal_combustion_engine_1,5,1,48,0.0
ISNE,ISNE_natural_gas_steam_turbine_1,5,1,49,0.0
ISNE,ISNE_nuclear_1,5,1,50,0.0
ISNE,ISNE_onshore_wind_turbine_1,5,1,51,0.0
ISNE,ISNE_petroleum_liquids_1,5,1,52,0.0
ISNE,ISNE_small_hydroelectric_1,5,1,53,0.0
ISNE,ISNE_solar_photovoltaic_1,5,1,54,0.0
MISC,MISC_biomass_1,6,1,55,0.0
MISC,MISC_conventional_hydroelectric_1,6,1,56,0.0
MISC,MISC_conventional_steam_coal_1,6,1,57,0.0
MISC,MISC_hydroelectric_pumped_storage_1,6,1,58,0.0
MISC,MISC_natural_gas_fired_combined_cycle_1,6,1,59,0.0
MISC,MISC_natural_gas_fired_combustion_turbine_1,6,1,60,0.0
MISC,MISC_natural_gas_internal_combustion_engine_1,6,1,61,0.0
MISC,MISC_natural_gas_steam_turbine_1,6,1,62,0.0
MISC,MISC_nuclear_1,6,1,63,0.0
MISC,MISC_onshore_wind_turbine_1,6,1,64,0.0
MISC,MISC_petroleum_liquids_1,6,1,65,0.0
MISC,MISC_small_hydroelectric_1,6,1,66,0.0
MISC,MISC_solar_photovoltaic_1,6,1,67,0.0
MISE,MISE_biomass_1,7,1,68,0.0
MISE,MISE_conventional_steam_coal_1,7,1,69,0.0
MISE,MISE_hydroelectric_pumped_storage_1,7,1,70,0.0
MISE,MISE_natural_gas_fired_combined_cycle_1,7,1,71,0.0
MISE,MISE_natural_gas_fired_combustion_turbine_1,7,1,72,0.0
MISE,MISE_natural_gas_internal_combustion_engine_1,7,1,73,0.0
MISE,MISE_natural_gas_steam_turbine_1,7,1,74,0.0
MISE,MISE_nuclear_1,7,1,75,0.0
MISE,MISE_onshore_wind_turbine_1,7,1,76,0.0
MISE,MISE_small_hydroelectric_1,7,1,77,0.0
MISE,MISE_solar_photovoltaic_1,7,1,78,0.0
MISS,MISS_biomass_1,8,1,79,0.0
MISS,MISS_conventional_hydroelectric_1,8,1,80,0.0
MISS,MISS_conventional_steam_coal_1,8,1,81,0.0
MISS,MISS_natural_gas_fired_combined_cycle_1,8,1,82,0.0
MISS,MISS_natural_gas_fired_combustion_turbine_1,8,1,83,0.0
MISS,MISS_natural_gas_internal_combustion_engine_1,8,1,84,0.0
MISS,MISS_natural_gas_steam_turbine_1,8,1,85,0.0
MISS,MISS_nuclear_1,8,1,86,0.0
MISS,MISS_onshore_wind_turbine_1,8,1,87,0.0
MISS,MISS_petroleum_liquids_1,8,1,88,0.0
MISS,MISS_small_hydroelectric_1,8,1,89,0.0
MISS,MISS_solar_photovoltaic_1,8,1,90,0.0
MISW,MISW_biomass_1,9,1,91,0.0
MISW,MISW_conventional_hydroelectric_1,9,1,92,0.0
MISW,MISW_conventional_steam_coal_1,9,1,93,0.0
MISW,MISW_natural_gas_fired_combined_cycle_1,9,1,94,0.0
MISW,MISW_natural_gas_fired_combustion_turbine_1,9,1,95,0.0
MISW,MISW_natural_gas_internal_combustion_engine_1,9,1,96,0.0
MISW,MISW_natural_gas_steam_turbine_1,9,1,97,0.0
MISW,MISW_nuclear_1,9,1,98,0.0
MISW,MISW_onshore_wind_turbine_1,9,1,99,0.0
MISW,MISW_petroleum_liquids_1,9,1,100,0.0
