Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
t1,33.91766354155906,35.67406014294192,37.09178372525312,32.41539989711727,23.878400186731778,21.39800087216427,21.398000214554497,30.837094516040967,21.398001017337485,35.16409974352835,20.501681135294824,19.936908785150894,22.62401385847707,23.622024095190877,19.935559528048614,21.39800033459577,29.983998776095905,28.424478772558786,28.693070765462384,29.82540803046281,27.312800237775484,25.40480210580803,30.30002982849309,33.89048264760605,31.156299617069166,29.441388557858495
t2,33.5442846690015,35.674030346769555,36.68346697590352,32.41539962254548,23.878400064445927,21.39800063320228,21.397999928467986,28.968878972643033,21.398000387063007,33.85831157281488,20.501318573378576,19.935231186544666,22.622604546547826,23.621999406450843,19.93520585260275,21.398000172974477,29.668729575352234,26.952893198378277,28.377210916610554,29.497082185861654,27.3127998292172,25.404800570484905,30.00893833638487,33.517407117597465,30.768693903481264,29.07511628254478
t3,31.22103290933947,35.67399967547374,34.142866781713714,32.41539932532666,23.878400028989315,21.39800057904588,21.397999847941186,27.007828174952294,21.39800026372011,30.250296493430863,20.501313824052282,19.935217661191487,22.418947296278553,23.621994936986397,19.935201923216713,21.39800014851511,26.50698563325718,25.128320194494638,25.385686286458352,26.38749720273393,27.312799809012464,25.40480048517665,28.441172282685795,29.984000434798165,25.914610926280133,27.297454855571218
t4,29.984000662196227,35.17911769015421,32.789999892002264,32.41539929309832,23.878400009554678,21.39800083159791,21.39799984201178,25.30363329334217,21.39800024481301,28.648407102878323,20.501312533577366,19.93521253709747,22.4189448201739,23.62199282657408,19.93520119467323,21.3980001286484,23.894447178497032,22.65166622948868,22.883669885411738,23.786741509215886,27.312799819138117,25.40479973830963,27.31280280752832,27.02878055146062,24.8121779403155,24.60701199453393
t5,29.984000089982775,34.69079802282805,32.334850534689764,32.415399287323275,23.878399981119443,21.3980007854373,21.397999863232936,25.17440279448344,21.398000164615237,28.648404089235598,20.501311883258776,19.93521068493752,22.418942325461156,23.621991590047806,19.935200923838657,21.398000141262074,23.77241193249309,22.535978572816695,22.883650462402525,23.665258077085205,27.312799815364773,25.40479979933083,27.312802133555035,26.890735405620095,24.68545989048157,24.481338602569487
t6,29.984000075827947,34.69074863481809,32.334833925420845,32.415399413743,23.878399976217086,21.3980012447329,21.39799995106941,24.7998112794226,21.398000172896367,28.648402088220756,20.501312266244664,19.935212090857867,22.418944019632917,23.621991716282977,19.935201208360212,21.398000206210938,23.772386522246112,22.535957951239844,22.883650558291883,23.31312252403343,27.312799999045776,25.40479991671778,27.312803047197892,26.49079305284145,24.318144379733344,24.117055579350946
t7,29.984000035247856,31.622913085932243,29.475374991474215,32.41539965955941,23.87839998227422,21.398009730899634,21.39800011510525,24.484744109177136,21.398000236507137,28.64840141469202,20.50131454764135,19.935220458211827,22.418961859211407,23.621992772284425,19.935203078495103,21.398000337019784,23.772378581613122,22.53595496559874,22.883651312109016,23.01694273378317,27.312800239498255,25.404800089515955,27.312830571851592,26.400768448264934,24.19640447909184,23.810636612087436
t8,29.98400004443209,31.622870248997042,29.581923381343874,32.41539971417928,23.878399957981028,21.832793309517594,21.398000206597935,25.303627286579953,21.398000897252224,28.648401359344554,20.501319946005033,19.935234477908192,22.8744726521453,23.621992823137195,19.935208195985318,21.398000411341087,23.894442309432286,22.993812077053285,22.883664787283422,23.78673580175434,27.31280060517791,25.404800320210548,27.312851389774245,27.028766787635515,26.040326118975443,24.607009314739187
t9,29.984000091120457,31.622850716471326,29.58174981586985,32.41539185680392,23.87839998533178,21.398001419470756,21.397999970213895,24.95914356721271,21.398000337952883,28.648402153189274,22.21664983443089,20.437975591993748,22.418923675688895,23.621987755883936,21.60317317218872,21.398000147503378,23.92513194294475,22.680771429434444,22.883649686752822,23.462902922230686,27.31280003265491,23.66466975822911,27.312800497219634,26.660820173617353,25.68581611584939,24.272010691242194
t10,29.983999617364763,31.62279246043724,29.475198218014697,27.98717568983287,23.878400216646863,21.39800009640024,21.397999869118966,24.196401482916567,21.39800031153947,28.64840298069369,23.151749412582753,21.298187227923112,21.010540559734466,23.62198817208537,22.512453125347083,21.398000183775647,23.772382834158897,22.535954914475045,22.88349598704131,22.745884591479943,27.31279959798778,22.857700926537962,27.312796873496264,25.846058017439265,24.196401889207912,22.864576980091947
t11,29.98399934991103,28.648421459703357,28.287459759632185,27.312802435164667,23.87840036873388,21.398000226117432,21.397999882827396,24.196399681717523,21.398000478106496,28.64840269188682,23.94950490764468,22.0320778599534,21.01052889259475,23.621990092442545,23.288177197378346,21.398000301707082,23.772383266844372,22.535956851980234,22.737546588249582,22.745878640765184,27.31279923311644,22.736263150684774,26.69959331543992,25.846043072448442,24.900873674562575,23.530271481600856
t12,29.354024127708865,28.648400864040298,26.70281078358185,27.312803666170854,23.87840052556897,21.398000207530956,21.398000048361666,24.196402968206616,21.398002689208045,28.648405091283962,23.94955264149862,22.032133118402935,21.010526681281874,23.621988788498,23.288222358877523,21.39800035918116,23.925156180935108,22.68078020925753,22.883654552647926,22.74588583278202,27.312799148405702,22.736279276328947,25.480551025637478,25.846050985022437,29.90470584603298,28.25867579429878
