region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
CANO,CANO_small_hydroelectric_1,2,1,20,0.0,0.0,9.1884744e6,0.0,0.0,0.0,0.0,0.0,0.0,9.207084371460947e7,0.0,0.0,0.0,0.0,0.0,9.207084371460947e7,9.1884744e6,8.288236931460947e7
CANO,CANO_solar_photovoltaic_1,2,1,21,0.0,0.0,5.66004837e7,0.0,0.0,0.0,0.0,0.0,0.0,2.4350142834494403e8,0.0,0.0,0.0,0.0,0.0,2.4350142834494403e8,5.66004837e7,1.86900944644944e8
CASO,CASO_biomass_1,3,1,22,0.0,0.0,9.98627e6,0.0,2.602454399999979e6,6.049260672000051e6,0.0,0.0,0.0,3.2840725490980145e7,0.0,0.0,0.0,0.0,0.0,3.2840725490980145e7,1.863798507200003e7,1.4202740418980114e7
CASO,CASO_conventional_hydroelectric_1,3,1,23,0.0,0.0,4.3237112e7,0.0,0.0,0.0,0.0,0.0,0.0,2.5980738828313076e8,0.0,0.0,0.0,0.0,0.0,2.5980738828313076e8,4.3237112e7,2.1657027628313076e8
CASO,CASO_geothermal_1,3,1,24,0.0,0.0,4.934783600000001e6,0.0,0.0,0.0,0.0,0.0,0.0,1.1707561067079067e7,0.0,0.0,0.0,0.0,0.0,1.1707561067079067e7,4.934783600000001e6,6.772777467079067e6
CASO,CASO_hydroelectric_pumped_storage_1,3,1,25,0.0,0.0,7.833492e7,0.0,0.0,0.0,0.0,0.0,7.73205462501688e7,4.6506820892696315e8,0.0,0.0,0.0,0.0,0.0,4.6506820892696315e8,1.556554662501688e8,3.0941274267679435e8
CASO,CASO_natural_gas_fired_combined_cycle_1,3,1,26,0.0,0.0,9.791071619999999e7,0.0,4.996249564220596e7,4.3878262772880816e8,0.0,0.0,0.0,2.482111648017669e9,0.0,0.0,0.0,0.0,0.0,2.482111648017669e9,5.866558395710142e8,1.895455808446655e9
CASO,CASO_natural_gas_fired_combustion_turbine_1,3,1,27,0.0,0.0,6.005309100000001e7,0.0,8.454333131392332e6,6.943841623911446e7,0.0,0.0,0.0,1.2502403649905975e9,0.0,0.0,0.0,0.0,0.0,1.2502403649905975e9,1.3794584037050682e8,1.1122945246200907e9
CASO,CASO_natural_gas_internal_combustion_engine_1,3,1,28,0.0,0.0,1.0206e6,0.0,152810.80467196344,1.2439672704895975e6,0.0,0.0,0.0,1.219133066130159e7,0.0,0.0,0.0,0.0,0.0,1.219133066130159e7,2.417378075161561e6,9.77395258614003e6
CASO,CASO_onshore_wind_turbine_1,3,1,29,0.0,0.0,1.78923e7,0.0,0.0,0.0,0.0,0.0,0.0,7.539962921203266e7,0.0,0.0,0.0,0.0,0.0,7.539962921203266e7,1.78923e7,5.750732921203266e7
CASO,CASO_petroleum_liquids_1,3,1,30,0.0,0.0,69300.0,0.0,1316.2358002230367,56510.39035624229,0.0,0.0,0.0,703501.9146435066,0.0,0.0,0.0,0.0,0.0,703501.9146435066,127126.62615646533,576375.2884870414
CASO,CASO_small_hydroelectric_1,3,1,31,0.0,0.0,3.3639320000000005e6,0.0,0.0,0.0,0.0,0.0,0.0,3.5469967864125e7,0.0,0.0,0.0,0.0,0.0,3.5469967864125e7,3.3639320000000005e6,3.2106035864125e7
CASO,CASO_solar_photovoltaic_1,3,1,32,0.0,0.0,1.470608115e8,0.0,0.0,0.0,0.0,0.0,0.0,5.558704108417912e8,0.0,0.0,0.0,0.0,0.0,5.558704108417912e8,1.470608115e8,4.0880959934179115e8
FRCC,FRCC_biomass_1,4,1,33,0.0,0.0,1.399888e7,0.0,4.402105343999963e6,1.0247258111999936e7,0.0,0.0,0.0,3.435053435634751e7,0.0,0.0,0.0,0.0,0.0,3.435053435634751e7,2.86482434559999e7,5.702290900347609e6
FRCC,FRCC_conventional_hydroelectric_1,4,1,34,0.0,0.0,2.0465880000000002e6,0.0,0.0,0.0,0.0,0.0,0.0,7.454255101784416e6,0.0,0.0,0.0,0.0,0.0,7.454255101784416e6,2.0465880000000002e6,5.407667101784416e6
FRCC,FRCC_conventional_steam_coal_1,4,1,35,0.0,0.0,6.029800600000001e7,0.0,1.2427336554750592e7,1.7257604303307697e8,0.0,0.0,0.0,2.9869161091562515e8,0.0,0.0,0.0,0.0,0.0,2.9869161091562515e8,2.4530138558782756e8,5.339022532779759e7
FRCC,FRCC_natural_gas_fired_combined_cycle_1,4,1,36,0.0,0.0,4.382399150999999e8,0.0,3.9078082022789365e8,3.0892512127433295e9,0.0,0.0,0.0,6.832031317620674e9,0.0,0.0,0.0,0.0,0.0,6.832031317620674e9,3.9182719480712233e9,2.913759369549451e9
FRCC,FRCC_natural_gas_fired_combustion_turbine_1,4,1,37,0.0,0.0,6.903034180000001e7,0.0,6.210594389245649e6,5.290061970869961e7,0.0,0.0,0.0,6.746071628643087e8,0.0,0.0,0.0,0.0,0.0,6.746071628643087e8,1.2814155589794526e8,5.464656069663634e8
FRCC,FRCC_natural_gas_internal_combustion_engine_1,4,1,38,0.0,0.0,5.268900000000001e6,0.0,369101.7124885991,2.8556744080987023e6,0.0,0.0,0.0,2.6428119536708582e7,0.0,0.0,0.0,0.0,0.0,2.6428119536708582e7,8.493676120587302e6,1.793444341612128e7
FRCC,FRCC_natural_gas_steam_turbine_1,4,1,39,0.0,0.0,1.0452e7,0.0,98748.2245633877,4.197134915272693e6,0.0,0.0,0.0,3.4315902775754176e7,0.0,0.0,0.0,0.0,0.0,3.4315902775754176e7,1.474788313983608e7,1.9568019635918096e7
FRCC,FRCC_nuclear_1,4,1,40,0.0,0.0,7.22268675e8,0.0,9.271586318914111e7,2.524548486062073e8,0.0,0.0,0.0,1.3832752488488839e9,0.0,0.0,0.0,0.0,0.0,1.3832752488488839e9,1.0674393867953484e9,3.1583586205353546e8
FRCC,FRCC_petroleum_liquids_1,4,1,41,0.0,0.0,84000.0,0.0,615.5760404850561,26411.859460889544,0.0,0.0,0.0,357027.2818374937,0.0,0.0,0.0,0.0,0.0,357027.2818374937,111027.4355013746,245999.8463361191
FRCC,FRCC_solar_photovoltaic_1,4,1,42,0.0,0.0,1.329712071e8,0.0,0.0,0.0,0.0,0.0,0.0,3.361587984804409e8,0.0,0.0,0.0,0.0,0.0,3.361587984804409e8,1.329712071e8,2.0318759138044092e8
ISNE,ISNE_biomass_1,5,1,43,0.0,0.0,4.706519999999999e6,0.0,1.439133696000004e6,3.3498017280000467e6,0.0,0.0,0.0,9.523363636737902e6,0.0,0.0,0.0,0.0,0.0,9.523363636737902e6,9.49545542400005e6,27908.212737850845
ISNE,ISNE_conventional_hydroelectric_1,5,1,44,0.0,0.0,2.1867910400000002e7,0.0,0.0,0.0,0.0,0.0,0.0,7.522730723839487e7,0.0,0.0,0.0,0.0,0.0,7.522730723839487e7,2.1867910400000002e7,5.3359396838394865e7
