Region,Resource,Zone,Cluster,AnnualSum
SRCE,SRCE_conventional_hydroelectric_1,22,1,7.409098277441362e8
SRCE,SRCE_conventional_steam_coal_1,22,1,5.522222758943205e8
SRCE,SRCE_hydroelectric_pumped_storage_1,22,1,8.386978387142856e8
SRCE,SRCE_natural_gas_fired_combined_cycle_1,22,1,4.872564227435572e9
SRCE,SRCE_natural_gas_fired_combustion_turbine_1,22,1,1.306737113726975e9
SRCE,SRCE_natural_gas_internal_combustion_engine_1,22,1,1.0701581617610136e6
SRCE,SRCE_natural_gas_steam_turbine_1,22,1,1.6765642426488716e7
SRCE,SRCE_nuclear_1,22,1,6.350690055687522e9
SRCE,SRCE_small_hydroelectric_1,22,1,2.1063876876049213e7
SRCE,SRCE_solar_photovoltaic_1,22,1,1.2080349057007705e8
SRSE,SRSE_biomass_1,23,1,7.618939561526746e7
SRSE,SRSE_conventional_hydroelectric_1,23,1,3.719761570331974e8
SRSE,SRSE_conventional_steam_coal_1,23,1,6.075358329501993
SRSE,SRSE_hydroelectric_pumped_storage_1,23,1,3.7772470693815345e8
SRSE,SRSE_natural_gas_fired_combined_cycle_1,23,1,3.27608226679199e9
SRSE,SRSE_natural_gas_fired_combustion_turbine_1,23,1,3.797712649905396e7
SRSE,SRSE_natural_gas_internal_combustion_engine_1,23,1,290793.1173879366
SRSE,SRSE_nuclear_1,23,1,4.547872330235625e9
SRSE,SRSE_petroleum_liquids_1,23,1,2.886504784426164
SRSE,SRSE_small_hydroelectric_1,23,1,1.1371551584368297e6
SRSE,SRSE_solar_photovoltaic_1,23,1,3.0523721150776875e8
SRSG,SRSG_biomass_1,24,1,6.128461023939554e6
SRSG,SRSG_conventional_hydroelectric_1,24,1,3.89156459326004e8
SRSG,SRSG_conventional_steam_coal_1,24,1,7.609783387839478
SRSG,SRSG_geothermal_1,24,1,1.2256918157221897e7
SRSG,SRSG_hydroelectric_pumped_storage_1,24,1,4.6151234051774286e7
SRSG,SRSG_natural_gas_fired_combined_cycle_1,24,1,1.6253946440931408e9
SRSG,SRSG_natural_gas_fired_combustion_turbine_1,24,1,3.471577358351517e7
SRSG,SRSG_natural_gas_internal_combustion_engine_1,24,1,19.695605062391294
SRSG,SRSG_nuclear_1,24,1,2.43731413867797e9
SRSG,SRSG_onshore_wind_turbine_1,24,1,2.962217439781569e8
SRSG,SRSG_small_hydroelectric_1,24,1,2.635238240294005e7
SRSG,SRSG_solar_photovoltaic_1,24,1,2.530044775657412e8
TRE,TRE_biomass_1,25,1,1.3067586957711818e7
TRE,TRE_conventional_hydroelectric_1,25,1,2.403807227829476e7
TRE,TRE_conventional_steam_coal_1,25,1,6.736163552003306e8
TRE,TRE_natural_gas_fired_combined_cycle_1,25,1,1.0284930920988426e10
TRE,TRE_natural_gas_fired_combustion_turbine_1,25,1,9.671669285570173e8
TRE,TRE_natural_gas_internal_combustion_engine_1,25,1,1.5166520350958622e8
TRE,TRE_natural_gas_steam_turbine_1,25,1,4.093424757564264e7
TRE,TRE_nuclear_1,25,1,2.773906299057474e9
TRE,TRE_onshore_wind_turbine_1,25,1,3.27808948089646e8
TRE,TRE_petroleum_liquids_1,25,1,1.582000238423189e7
TRE,TRE_small_hydroelectric_1,25,1,2.1779311596186315e6
TRE,TRE_solar_photovoltaic_1,25,1,1.007259244359188e9
TRE_WEST,TRE_WEST_natural_gas_fired_combined_cycle_1,26,1,3.521331686689854e8
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_1,26,1,6.733878589161104
TRE_WEST,TRE_WEST_natural_gas_internal_combustion_engine_1,26,1,16.369318430141675
TRE_WEST,TRE_WEST_onshore_wind_turbine_1,26,1,3.669611865651637e8
TRE_WEST,TRE_WEST_petroleum_liquids_1,26,1,1.6810049618613225
TRE_WEST,TRE_WEST_solar_photovoltaic_1,26,1,2.1408171326140818e8
BASN,BASN_distributed_generation_1,1,1,6.486241073979192e8
CANO,CANO_distributed_generation_1,2,1,1.2176181165935853e9
CASO,CASO_distributed_generation_1,3,1,1.5934114465571458e9
FRCC,FRCC_distributed_generation_1,4,1,9.449030103951472e8
ISNE,ISNE_distributed_generation_1,5,1,6.415113051828692e8
MISC,MISC_distributed_generation_1,6,1,4.967174464153057e8
MISE,MISE_distributed_generation_1,7,1,3.374468230596237e8
MISS,MISS_distributed_generation_1,8,1,6.340439980939789e8
MISW,MISW_distributed_generation_1,9,1,7.09804220215039e8
NWPP,NWPP_distributed_generation_1,10,1,2.8191966846107465e8
NYCW,NYCW_distributed_generation_1,11,1,4.5632416563785464e8
NYUP,NYUP_distributed_generation_1,12,1,1.7185733453072715e8
PJMC,PJMC_distributed_generation_1,13,1,2.1809668977158946e8
PJMD,PJMD_distributed_generation_1,14,1,5.169488427518249e8
PJME,PJME_distributed_generation_1,15,1,1.2839145012787304e9
PJMW,PJMW_distributed_generation_1,16,1,9.093144735468137e8
RMRG,RMRG_distributed_generation_1,17,1,3.6153050348805434e8
SPPC,SPPC_distributed_generation_1,18,1,3.2308689854454064e8
SPPN,SPPN_distributed_generation_1,19,1,8.537493749158588e7
SPPS,SPPS_distributed_generation_1,20,1,4.994709325096163e8
SRCA,SRCA_distributed_generation_1,21,1,8.71984603306159e8
SRCE,SRCE_distributed_generation_1,22,1,1.1547811681542947e9
SRSE,SRSE_distributed_generation_1,23,1,4.2846033010482615e8
SRSG,SRSG_distributed_generation_1,24,1,4.892284974387649e8
TRE,TRE_distributed_generation_1,25,1,1.956232315693664e9
TRE_WEST,TRE_WEST_distributed_generation_1,26,1,4.4989778201837644e7
BASN,BASN_naturalgas_ccavgcf_moderate_0,1,0,6.622762573114748e9
BASN,BASN_naturalgas_ctavgcf_moderate_0,1,0,0.0
BASN,BASN_battery_moderate_0,1,0,2.0316059846180983e9
BASN,BASN_nuclear_nuclear_moderate_0,1,0,0.0
BASN,BASN_hydrogen_ctavgcf_moderate_0,1,0,0.0
BASN,BASN_hydrogen_ccavgcf_moderate_0,1,0,0.0
BASN,BASN_landbasedwind_class3_moderate_1,1,1,8.1631833407927065e9
BASN,BASN_landbasedwind_class3_moderate_2,1,2,0.0
BASN,BASN_utilitypv_class1_moderate_1,1,1,2.280436904299267e9
BASN,BASN_utilitypv_class1_moderate_2,1,2,0.0
CANO,CANO_naturalgas_ccccsavgcf_conservative_0,2,0,4.455486377079157e9
CANO,CANO_naturalgas_ccavgcf_moderate_0,2,0,0.0
CANO,CANO_naturalgas_ctavgcf_moderate_0,2,0,0.0
CANO,CANO_battery_moderate_0,2,0,7.062794045145126e7
CANO,CANO_nuclear_nuclear_moderate_0,2,0,0.0
CANO,CANO_hydrogen_ctavgcf_moderate_0,2,0,0.0
CANO,CANO_hydrogen_ccavgcf_moderate_0,2,0,0.0
CANO,CANO_landbasedwind_class3_moderate_1,2,1,4.704803983313719e9
CANO,CANO_landbasedwind_class3_moderate_2,2,2,0.0
CANO,CANO_utilitypv_class1_moderate_1,2,1,2.730876459423445e9
CANO,CANO_utilitypv_class1_moderate_2,2,2,0.0
CANO,CANO_offshorewind_class12_moderate_floating_1_1,2,1,0.0
CANO,CANO_offshorewind_class12_moderate_floating_1_2,2,2,0.0
CANO,CANO_offshorewind_class12_moderate_floating_0_1,2,1,0.0
CANO,CANO_offshorewind_class12_moderate_floating_0_2,2,2,0.0
CASO,CASO_naturalgas_ccccsavgcf_conservative_0,3,0,1.2048304469220379e10
CASO,CASO_naturalgas_ccavgcf_moderate_0,3,0,0.0
CASO,CASO_naturalgas_ctavgcf_moderate_0,3,0,0.0
CASO,CASO_battery_moderate_0,3,0,1.6377535069087975e9
CASO,CASO_nuclear_nuclear_moderate_0,3,0,0.0
CASO,CASO_hydrogen_ctavgcf_moderate_0,3,0,0.0
CASO,CASO_hydrogen_ccavgcf_moderate_0,3,0,0.0
CASO,CASO_landbasedwind_class3_moderate_1,3,1,6.181675175266514e8
CASO,CASO_landbasedwind_class3_moderate_2,3,2,4.6742458657981676e8
CASO,CASO_utilitypv_class1_moderate_1,3,1,4.960334962053265e9
CASO,CASO_utilitypv_class1_moderate_2,3,2,0.0
CASO,CASO_offshorewind_class12_moderate_floating_1_1,3,1,0.0
CASO,CASO_offshorewind_class12_moderate_floating_1_2,3,2,0.0
CASO,CASO_offshorewind_class12_moderate_floating_0_1,3,1,0.0
CASO,CASO_offshorewind_class12_moderate_floating_0_2,3,2,0.0
FRCC,FRCC_naturalgas_ccccsavgcf_conservative_0,4,0,1.2734932603738573e10
FRCC,FRCC_naturalgas_ccavgcf_moderate_0,4,0,0.0
FRCC,FRCC_naturalgas_ctavgcf_moderate_0,4,0,0.0
FRCC,FRCC_battery_moderate_0,4,0,4.086396253311999e8
FRCC,FRCC_nuclear_nuclear_moderate_0,4,0,0.0
FRCC,FRCC_hydrogen_ctavgcf_moderate_0,4,0,0.0
FRCC,FRCC_hydrogen_ccavgcf_moderate_0,4,0,0.0
FRCC,FRCC_landbasedwind_class3_moderate_1,4,1,1.0619903838334241e9
FRCC,FRCC_landbasedwind_class3_moderate_2,4,2,1.0817780593615606e9
FRCC,FRCC_utilitypv_class1_moderate_1,4,1,4.794864180037337e9
FRCC,FRCC_utilitypv_class1_moderate_2,4,2,0.0
FRCC,FRCC_offshorewind_class3_moderate_fixed_0_1,4,1,0.0
FRCC,FRCC_offshorewind_class3_moderate_fixed_0_2,4,2,0.0
FRCC,FRCC_offshorewind_class12_moderate_floating_0_1,4,1,0.0
FRCC,FRCC_offshorewind_class12_moderate_floating_0_2,4,2,0.0
ISNE,ISNE_naturalgas_ccavgcf_moderate_0,5,0,7.228297140114006e9
ISNE,ISNE_naturalgas_ctavgcf_moderate_0,5,0,5.0825810811781085e8
ISNE,ISNE_battery_moderate_0,5,0,8.107108319466609e8
ISNE,ISNE_nuclear_nuclear_moderate_0,5,0,0.0
ISNE,ISNE_hydrogen_ctavgcf_moderate_0,5,0,0.0
ISNE,ISNE_hydrogen_ccavgcf_moderate_0,5,0,0.0
ISNE,ISNE_landbasedwind_class3_moderate_1,5,1,3.1381380867896953e9
ISNE,ISNE_landbasedwind_class3_moderate_2,5,2,0.0
ISNE,ISNE_utilitypv_class1_moderate_1,5,1,1.7279879737238853e9
ISNE,ISNE_utilitypv_class1_moderate_2,5,2,0.0
ISNE,ISNE_offshorewind_class3_moderate_fixed_1_1,5,1,8.537031281685373e8
ISNE,ISNE_offshorewind_class3_moderate_fixed_1_2,5,2,0.0
ISNE,ISNE_offshorewind_class3_moderate_fixed_0_1,5,1,5.395575881078218e8
ISNE,ISNE_offshorewind_class3_moderate_fixed_0_2,5,2,4.608476931189789e8
ISNE,ISNE_offshorewind_class12_moderate_floating_1_1,5,1,0.0
ISNE,ISNE_offshorewind_class12_moderate_floating_1_2,5,2,0.0
ISNE,ISNE_offshorewind_class12_moderate_floating_0_1,5,1,0.0
ISNE,ISNE_offshorewind_class12_moderate_floating_0_2,5,2,0.0
MISC,MISC_naturalgas_ccccsavgcf_conservative_0,6,0,8.160324284510301e9
MISC,MISC_naturalgas_ccavgcf_moderate_0,6,0,3.01120493895086e9
MISC,MISC_naturalgas_ctavgcf_moderate_0,6,0,0.0
MISC,MISC_battery_moderate_0,6,0,1.080056985866629e9
MISC,MISC_nuclear_nuclear_moderate_0,6,0,0.0
MISC,MISC_hydrogen_ctavgcf_moderate_0,6,0,0.0
MISC,MISC_hydrogen_ccavgcf_moderate_0,6,0,0.0
MISC,MISC_landbasedwind_class3_moderate_1,6,1,2.0912960420656886e9
MISC,MISC_landbasedwind_class3_moderate_2,6,2,7.90496447621374e8
MISC,MISC_utilitypv_class1_moderate_1,6,1,2.1650433255876718e9
MISC,MISC_utilitypv_class1_moderate_2,6,2,0.0
MISE,MISE_naturalgas_ccccsavgcf_conservative_0,7,0,4.829977119730033e9
MISE,MISE_naturalgas_ccavgcf_moderate_0,7,0,0.0
MISE,MISE_naturalgas_ctavgcf_moderate_0,7,0,0.0
MISE,MISE_battery_moderate_0,7,0,6.820380628784581e8
MISE,MISE_nuclear_nuclear_moderate_0,7,0,0.0
MISE,MISE_hydrogen_ctavgcf_moderate_0,7,0,0.0
MISE,MISE_hydrogen_ccavgcf_moderate_0,7,0,0.0
MISE,MISE_landbasedwind_class3_moderate_1,7,1,4.979053091788965e8
MISE,MISE_landbasedwind_class3_moderate_2,7,2,4.539472701759537e8
MISE,MISE_utilitypv_class1_moderate_1,7,1,1.5732956383748174e9
MISE,MISE_utilitypv_class1_moderate_2,7,2,0.0
MISS,MISS_naturalgas_ccccsavgcf_conservative_0,8,0,5.470980837114235e9
MISS,MISS_naturalgas_ccavgcf_moderate_0,8,0,0.0
MISS,MISS_naturalgas_ctavgcf_moderate_0,8,0,0.0
MISS,MISS_battery_moderate_0,8,0,0.0
MISS,MISS_nuclear_nuclear_moderate_0,8,0,0.0
MISS,MISS_hydrogen_ctavgcf_moderate_0,8,0,0.0
MISS,MISS_hydrogen_ccavgcf_moderate_0,8,0,0.0
MISS,MISS_landbasedwind_class3_moderate_1,8,1,1.4991557745020304e9
MISS,MISS_landbasedwind_class3_moderate_2,8,2,1.0260999976160588e9
MISS,MISS_utilitypv_class1_moderate_1,8,1,2.6347560929526935e9
MISS,MISS_utilitypv_class1_moderate_2,8,2,0.0
MISS,MISS_offshorewind_class3_moderate_fixed_0_1,8,1,0.0
