Line,New_Trans_Capacity,Cost_Trans_Capacity
1,5.547546441155723e-11,55.47546441155723
2,5.5793319199622145e-11,55.79331919962215
3,5.6585536726395e-11,56.585536726395
4,5.594636491701276e-11,55.94636491701276
5,5.623450242956247e-11,56.23450242956247
6,5.593492562039582e-11,55.934925620395816
7,5.593991775767843e-11,55.93991775767843
8,5.620572788930096e-11,56.20572788930096
9,6.5209769946406686e-15,0.006520976994640668
10,5.6095439098822514e-11,56.09543909882251
11,5.534143040258624e-11,55.34143040258624
12,7.850959005815827e-15,0.007850959005815826
13,5.5416476583536575e-11,55.41647658353658
14,5.5487270755629484e-11,55.48727075562949
15,5.522702201161804e-11,55.22702201161805
16,5.613474274281632e-11,56.13474274281632
17,5.611376997400941e-11,56.11376997400941
18,7.865783366884044e-15,0.007865783366884043
19,5.523433832139281e-11,55.23433832139281
20,5.5437439485610156e-11,55.437439485610156
21,5.59701978204709e-11,55.9701978204709
22,5.540923432686593e-11,55.409234326865935
23,5.602140373404141e-11,56.021403734041414
24,5.5402033356303255e-11,55.40203335630326
25,6.66774535038272e-15,0.0066677453503827195
26,5.5950623911532035e-11,55.95062391153203
27,5.553529112593934e-11,55.53529112593934
28,5.5538813911721854e-11,55.53881391172185
29,5.645983796696148e-11,56.45983796696148
30,5.5400043077470934e-11,55.40004307747093
31,5.539281930100855e-11,55.39281930100856
32,5.547996980077309e-11,55.47996980077309
33,5.5487391046808e-11,55.487391046808
34,5.5288027892345994e-11,55.288027892345994
35,5.513809595823813e-11,55.138095958238125
36,1.0161272694442078e-14,0.01016127269444208
37,3.946855252574086e-13,0.39468552525740863
38,5.469172477343655e-11,54.691724773436555
39,5.54473980545702e-11,55.4473980545702
40,5.5962323533703946e-11,55.962323533703945
41,5.5416732150620977e-11,55.41673215062097
42,5.6578409987923305e-11,56.5784099879233
43,5.5395136199663054e-11,55.39513619966306
44,5.525399015253141e-11,55.253990152531415
45,2.306491502351218e-11,23.064915023512178
46,5.522662088743069e-11,55.22662088743069
47,5.60369824509047e-11,56.036982450904695
48,5.522763794244137e-11,55.22763794244137
49,5.5500465894525353e-11,55.500465894525355
50,5.551143274145062e-11,55.51143274145062
51,5.515833896218349e-11,55.15833896218349
52,5.5546693662769614e-11,55.54669366276961
53,5.543063267987434e-11,55.43063267987434
54,5.642087298344825e-11,56.42087298344825
55,5.463634475165581e-11,54.636344751655805
56,5.527548638187301e-11,55.27548638187301
57,5.559364304145907e-11,55.593643041459075
