Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
5000.0,1.0,1.0,1.0,5000.0,15.0,168.0,1680.0,1,25143.0,20807.0,32159.0,32082.0,15411.0,28554.0,12652.0,27172.0,31013.0,35389.0,10446.0,9095.0,16327.0,17566.0,41972.0,44597.0,15971.0,12795.0,8776.0,19593.0,29690.0,30687.0,34216.0,27566.0,60529.0,2690.0
,,,,,,,1176.0,2,22636.0,18783.0,29026.0,29181.0,13765.0,26483.0,11527.0,25174.0,28070.0,32028.0,9609.0,8486.0,15129.0,16028.0,38364.0,41038.0,14539.0,11734.0,8035.0,18025.0,27277.0,28028.0,30859.0,25053.0,55090.0,2448.0
,,,,,,,336.0,3,20319.0,16580.0,25615.0,27795.0,13257.0,25070.0,10973.0,23987.0,26147.0,27774.0,9309.0,8247.0,14394.0,15446.0,36828.0,39227.0,13001.0,10905.0,7569.0,17007.0,26460.0,26707.0,29202.0,22662.0,51480.0,2288.0
,,,,,,,672.0,4,18008.0,14783.0,22830.0,27288.0,12883.0,24429.0,10646.0,23633.0,25621.0,24058.0,9106.0,8098.0,13873.0,14849.0,35704.0,37861.0,11980.0,10590.0,7417.0,16716.0,26054.0,26085.0,28540.0,20609.0,50001.0,2221.0
,,,,,,,336.0,5,16604.0,13423.0,20719.0,26808.0,12473.0,24010.0,10463.0,23446.0,25344.0,21521.0,8955.0,8009.0,13459.0,14363.0,34719.0,36854.0,11682.0,10437.0,7312.0,16518.0,25354.0,25625.0,28070.0,19450.0,49298.0,2191.0
,,,,,,,840.0,6,16195.0,13037.0,20112.0,27417.0,12305.0,23819.0,10309.0,23255.0,24852.0,20889.0,8905.0,7959.0,13351.0,14309.0,34687.0,36792.0,11434.0,10309.0,7191.0,16388.0,26154.0,25570.0,27809.0,19146.0,48837.0,2170.0
,,,,,,,336.0,7,15698.0,12650.0,19505.0,30292.0,11870.0,23995.0,10686.0,23279.0,25458.0,20402.0,8936.0,7920.0,13310.0,14195.0,34736.0,36740.0,11102.0,10275.0,7195.0,16320.0,28949.0,26308.0,28561.0,18809.0,49118.0,2183.0
,,,,,,,1344.0,8,15135.0,12346.0,19030.0,34924.0,11769.0,25189.0,11645.0,23560.0,27389.0,19834.0,9383.0,8159.0,13773.0,15062.0,36676.0,38673.0,11261.0,10672.0,7463.0,16566.0,32740.0,28606.0,31576.0,18362.0,49651.0,2206.0
,,,,,,,168.0,9,15231.0,12491.0,19252.0,40096.0,12769.0,27408.0,13006.0,24347.0,29740.0,20385.0,10267.0,8831.0,14749.0,17023.0,40538.0,42881.0,11581.0,11482.0,7927.0,17550.0,37031.0,31738.0,35958.0,18225.0,52996.0,2355.0
,,,,,,,336.0,10,15832.0,12458.0,19204.0,45382.0,14750.0,30138.0,14460.0,26444.0,32987.0,22020.0,11408.0,9679.0,16271.0,19470.0,45603.0,47905.0,11845.0,12553.0,8558.0,19202.0,41565.0,34924.0,40896.0,19325.0,58025.0,2579.0
