case_id,year,region,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10,ESR_11,ESR_12,ESR_13,ESR_14,ESR_15,ESR_16,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1,copy_case_id
all,2030,TRE_WEST,,,,,,,,,,,,,,,,,1,,
all,2035,BASN,,,,,,,,,,,,,,,,,1,130,
all,2035,CANO,,,,,,,,,,,,,,,,,1,,
all,2035,CASO,,,,,,,,,,,,,,,,,1,,
all,2035,FRCC,,,,,,,,,,,,,,,,,1,,
all,2035,ISNE,,,,,,,,,,,,,,,,,1,,
all,2035,MISC,,,,,,,,,,,,,,,,,1,,
all,2035,MISE,,,,,,,,,,,,,,,,,1,,
all,2035,MISS,,,,,,,,,,,,,,,,,1,,
all,2035,MISW,,,,,,,,,,,,,,,,,1,,
all,2035,NWPP,,,,,,,,,,,,,,,,,1,,
all,2035,NYCW,,,,,,,,,,,,,,,,,1,,
all,2035,NYUP,,,,,,,,,,,,,,,,,1,,
all,2035,PJMC,,,,,,,,,,,,,,,,,1,,
all,2035,PJMD,,,,,,,,,,,,,,,,,1,,
all,2035,PJME,,,,,,,,,,,,,,,,,1,,
all,2035,PJMW,,,,,,,,,,,,,,,,,1,,
all,2035,RMRG,,,,,,,,,,,,,,,,,1,,
all,2035,SPPC,,,,,,,,,,,,,,,,,1,,
all,2035,SPPN,,,,,,,,,,,,,,,,,1,,
all,2035,SPPS,,,,,,,,,,,,,,,,,1,,
all,2035,SRCA,,,,,,,,,,,,,,,,,1,,
all,2035,SRCE,,,,,,,,,,,,,,,,,1,,
all,2035,SRSE,,,,,,,,,,,,,,,,,1,,
all,2035,SRSG,,,,,,,,,,,,,,,,,1,,
all,2035,TRE,,,,,,,,,,,,,,,,,1,,
all,2035,TRE_WEST,,,,,,,,,,,,,,,,,1,,
all,2040,BASN,,,,,,,,,,,,,,,,,1,86.66,
all,2040,CANO,,,,,,,,,,,,,,,,,1,,
all,2040,CASO,,,,,,,,,,,,,,,,,1,,
all,2040,FRCC,,,,,,,,,,,,,,,,,1,,
all,2040,ISNE,,,,,,,,,,,,,,,,,1,,
all,2040,MISC,,,,,,,,,,,,,,,,,1,,
all,2040,MISE,,,,,,,,,,,,,,,,,1,,
all,2040,MISS,,,,,,,,,,,,,,,,,1,,
all,2040,MISW,,,,,,,,,,,,,,,,,1,,
all,2040,NWPP,,,,,,,,,,,,,,,,,1,,
all,2040,NYCW,,,,,,,,,,,,,,,,,1,,
all,2040,NYUP,,,,,,,,,,,,,,,,,1,,
all,2040,PJMC,,,,,,,,,,,,,,,,,1,,
all,2040,PJMD,,,,,,,,,,,,,,,,,1,,
all,2040,PJME,,,,,,,,,,,,,,,,,1,,
all,2040,PJMW,,,,,,,,,,,,,,,,,1,,
all,2040,RMRG,,,,,,,,,,,,,,,,,1,,
all,2040,SPPC,,,,,,,,,,,,,,,,,1,,
all,2040,SPPN,,,,,,,,,,,,,,,,,1,,
all,2040,SPPS,,,,,,,,,,,,,,,,,1,,
all,2040,SRCA,,,,,,,,,,,,,,,,,1,,
