hour,zone,planning_year,model,case,value
89,ISNE,2030,USENSYS,26z-debug,2607
90,ISNE,2030,USENSYS,26z-debug,3121.1
91,ISNE,2030,USENSYS,26z-debug,3115.2
92,ISNE,2030,USENSYS,26z-debug,3037.8
93,ISNE,2030,USENSYS,26z-debug,2733.7
89,ISNE,2040,USENSYS,26z-debug,6974
90,ISNE,2040,USENSYS,26z-debug,8629
91,ISNE,2040,USENSYS,26z-debug,7910.7
92,ISNE,2040,USENSYS,26z-debug,7152.6
93,ISNE,2040,USENSYS,26z-debug,5138.2
89,ISNE,2050,USENSYS,26z-debug,3397.3
90,ISNE,2050,USENSYS,26z-debug,4436.8
91,ISNE,2050,USENSYS,26z-debug,4880.7
92,ISNE,2050,USENSYS,26z-debug,4938.8
93,ISNE,2050,USENSYS,26z-debug,4553.8
94,ISNE,2050,USENSYS,26z-debug,677
7628,NWPP,2050,USENSYS,26z-debug,443.9
7629,NWPP,2050,USENSYS,26z-debug,450.3
7630,NWPP,2050,USENSYS,26z-debug,446.6
7631,NWPP,2050,USENSYS,26z-debug,441.3
7632,NWPP,2050,USENSYS,26z-debug,429.9
7633,NWPP,2050,USENSYS,26z-debug,277.7
88,NYCW,2050,USENSYS,26z-debug,392.5
89,NYCW,2050,USENSYS,26z-debug,396
90,NYCW,2050,USENSYS,26z-debug,409.2
91,NYCW,2050,USENSYS,26z-debug,411.7
92,NYCW,2050,USENSYS,26z-debug,400.9
93,NYCW,2050,USENSYS,26z-debug,397.9
94,NYCW,2050,USENSYS,26z-debug,392.9
