model,zone,fuel,planning_year,case,unit,value
USENSYS,MISC,east_north_central_coal,2030,26z-debug,MMBtu,-582
USENSYS,MISE,east_north_central_coal,2030,26z-debug,MMBtu,-694
USENSYS,MISW,east_north_central_coal,2030,26z-debug,MMBtu,27930
USENSYS,PJMC,east_north_central_coal,2030,26z-debug,MMBtu,-364
USENSYS,PJMW,east_north_central_coal,2030,26z-debug,MMBtu,-1408
USENSYS,MISC,east_north_central_distillate,2030,26z-debug,MMBtu,-536
USENSYS,MISE,east_north_central_distillate,2030,26z-debug,MMBtu,-507
USENSYS,MISW,east_north_central_distillate,2030,26z-debug,MMBtu,-531
USENSYS,PJMC,east_north_central_distillate,2030,26z-debug,MMBtu,-482
USENSYS,PJMW,east_north_central_distillate,2030,26z-debug,MMBtu,-446
USENSYS,MISC,east_north_central_naturalgas,2030,26z-debug,MMBtu,72255469
USENSYS,MISE,east_north_central_naturalgas,2030,26z-debug,MMBtu,95557499
USENSYS,MISW,east_north_central_naturalgas,2030,26z-debug,MMBtu,143323658
USENSYS,PJMC,east_north_central_naturalgas,2030,26z-debug,MMBtu,100035250
USENSYS,PJMW,east_north_central_naturalgas,2030,26z-debug,MMBtu,432757747
USENSYS,MISC,east_north_central_naturalgas_ccs90,2030,26z-debug,MMBtu,3165
USENSYS,MISE,east_north_central_naturalgas_ccs90,2030,26z-debug,MMBtu,17181
USENSYS,MISW,east_north_central_naturalgas_ccs90,2030,26z-debug,MMBtu,2282
USENSYS,PJMC,east_north_central_naturalgas_ccs90,2030,26z-debug,MMBtu,2101
USENSYS,PJMW,east_north_central_naturalgas_ccs90,2030,26z-debug,MMBtu,45853
USENSYS,MISC,east_north_central_uranium,2030,26z-debug,MMBtu,132324578
USENSYS,MISE,east_north_central_uranium,2030,26z-debug,MMBtu,75483167
USENSYS,MISW,east_north_central_uranium,2030,26z-debug,MMBtu,149015737
USENSYS,PJMC,east_north_central_uranium,2030,26z-debug,MMBtu,389901692
USENSYS,PJMW,east_north_central_uranium,2030,26z-debug,MMBtu,445471616
USENSYS,SRCE,east_south_central_coal,2030,26z-debug,MMBtu,-657
USENSYS,SRCE,east_south_central_distillate,2030,26z-debug,MMBtu,-661
USENSYS,SRCE,east_south_central_naturalgas,2030,26z-debug,MMBtu,114235955
USENSYS,SRCE,east_south_central_naturalgas_ccs90,2030,26z-debug,MMBtu,2462
USENSYS,SRCE,east_south_central_uranium,2030,26z-debug,MMBtu,536164994
USENSYS,BASN,hydrogen,2030,26z-debug,MMBtu,-301
USENSYS,CANO,hydrogen,2030,26z-debug,MMBtu,-360
USENSYS,CASO,hydrogen,2030,26z-debug,MMBtu,-307
USENSYS,FRCC,hydrogen,2030,26z-debug,MMBtu,-163
USENSYS,ISNE,hydrogen,2030,26z-debug,MMBtu,-177
USENSYS,MISC,hydrogen,2030,26z-debug,MMBtu,-238
USENSYS,MISE,hydrogen,2030,26z-debug,MMBtu,-174
USENSYS,MISS,hydrogen,2030,26z-debug,MMBtu,-280
USENSYS,MISW,hydrogen,2030,26z-debug,MMBtu,-228
USENSYS,NWPP,hydrogen,2030,26z-debug,MMBtu,-449
USENSYS,NYCW,hydrogen,2030,26z-debug,MMBtu,-219
USENSYS,NYUP,hydrogen,2030,26z-debug,MMBtu,-306
USENSYS,PJMC,hydrogen,2030,26z-debug,MMBtu,-260
USENSYS,PJMD,hydrogen,2030,26z-debug,MMBtu,-227
USENSYS,PJME,hydrogen,2030,26z-debug,MMBtu,-226
USENSYS,PJMW,hydrogen,2030,26z-debug,MMBtu,-186
USENSYS,RMRG,hydrogen,2030,26z-debug,MMBtu,-337
USENSYS,SPPC,hydrogen,2030,26z-debug,MMBtu,-297
USENSYS,SPPN,hydrogen,2030,26z-debug,MMBtu,-304
USENSYS,SPPS,hydrogen,2030,26z-debug,MMBtu,-321
USENSYS,SRCA,hydrogen,2030,26z-debug,MMBtu,-151
USENSYS,SRCE,hydrogen,2030,26z-debug,MMBtu,-271
USENSYS,SRSE,hydrogen,2030,26z-debug,MMBtu,-215
USENSYS,SRSG,hydrogen,2030,26z-debug,MMBtu,-268
USENSYS,TRE,hydrogen,2030,26z-debug,MMBtu,-286
USENSYS,TRE_WEST,hydrogen,2030,26z-debug,MMBtu,-335
USENSYS,PJME,middle_atlantic_coal,2030,26z-debug,MMBtu,-898
USENSYS,NYCW,middle_atlantic_distillate,2030,26z-debug,MMBtu,9309
USENSYS,NYUP,middle_atlantic_distillate,2030,26z-debug,MMBtu,-450
USENSYS,PJME,middle_atlantic_distillate,2030,26z-debug,MMBtu,-773
USENSYS,NYCW,middle_atlantic_naturalgas,2030,26z-debug,MMBtu,51910583
USENSYS,NYUP,middle_atlantic_naturalgas,2030,26z-debug,MMBtu,37847298
USENSYS,PJME,middle_atlantic_naturalgas,2030,26z-debug,MMBtu,616973064
USENSYS,NYUP,middle_atlantic_uranium,2030,26z-debug,MMBtu,239216053
