model,zone,resource_name,tech_type,unit,planning_year,case,start_value,end_value
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,5875
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug,0,2855
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug,0,3002
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,MW,2030,26z-debug,0,2185
USENSYS,CANO,CANO_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug,0,4791
USENSYS,CASO,CASO_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug,0,13585
USENSYS,CASO,CASO_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug,0,3314
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,5241
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug,0,1734
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug,0,9415
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_3,Wind,MW,2030,26z-debug,0,3589
USENSYS,FRCC,FRCC_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2030,26z-debug,0,5651
USENSYS,FRCC,FRCC_utilitypv_class1_moderate_0,Solar,MW,2030,26z-debug,0,1237
USENSYS,FRCC,FRCC_utilitypv_class1_moderate_2,Solar,MW,2030,26z-debug,0,34749
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,3242
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug,0,1664
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug,0,3972
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_3,Wind,MW,2030,26z-debug,0,3005
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_5,Wind,MW,2030,26z-debug,0,1002
USENSYS,ISNE,ISNE_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug,0,54
USENSYS,ISNE,ISNE_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug,0,17474
USENSYS,MISC,MISC_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,25592
USENSYS,MISC,MISC_utilitypv_class1_moderate_3,Solar,MW,2030,26z-debug,0,5743
USENSYS,MISC,MISC_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug,0,10571
USENSYS,MISE,MISE_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,1062
USENSYS,MISE,MISE_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug,0,694
USENSYS,MISE,MISE_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug,0,985
USENSYS,MISE,MISE_landbasedwind_class3_moderate_3,Wind,MW,2030,26z-debug,0,773
USENSYS,MISE,MISE_landbasedwind_class3_moderate_4,Wind,MW,2030,26z-debug,0,1082
USENSYS,MISE,MISE_landbasedwind_class3_moderate_5,Wind,MW,2030,26z-debug,0,671
USENSYS,MISE,MISE_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug,0,7355
USENSYS,MISE,MISE_utilitypv_class1_moderate_4,Solar,MW,2030,26z-debug,0,11453
USENSYS,MISE,MISE_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug,0,3168
USENSYS,MISS,MISS_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,1795
USENSYS,MISS,MISS_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug,0,1837
USENSYS,MISS,MISS_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug,0,6463
USENSYS,MISS,MISS_utilitypv_class1_moderate_0,Solar,MW,2030,26z-debug,0,3416
USENSYS,MISW,MISW_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,13556
USENSYS,MISW,MISW_landbasedwind_class3_moderate_4,Wind,MW,2030,26z-debug,0,19751
USENSYS,MISW,MISW_utilitypv_class1_moderate_4,Solar,MW,2030,26z-debug,0,20991
USENSYS,NYCW,NYCW_utilitypv_class1_moderate_0,Solar,MW,2030,26z-debug,0,5
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,2218
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug,0,130
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug,0,6828
USENSYS,NYUP,NYUP_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug,0,5311
USENSYS,PJMC,PJMC_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,8995
USENSYS,PJMC,PJMC_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug,0,4061
USENSYS,PJMC,PJMC_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug,0,6370
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,305
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug,0,626
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug,0,6267
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_3,Wind,MW,2030,26z-debug,0,1064
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_5,Wind,MW,2030,26z-debug,0,1399
USENSYS,PJMD,PJMD_utilitypv_class1_moderate_4,Solar,MW,2030,26z-debug,0,16457
USENSYS,PJMD,PJMD_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug,0,2556
USENSYS,PJME,PJME_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,579
USENSYS,PJME,PJME_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug,0,1853
USENSYS,PJME,PJME_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug,0,1004
USENSYS,PJME,PJME_landbasedwind_class3_moderate_3,Wind,MW,2030,26z-debug,0,1256
USENSYS,PJME,PJME_landbasedwind_class3_moderate_4,Wind,MW,2030,26z-debug,0,2152
USENSYS,PJME,PJME_utilitypv_class1_moderate_4,Solar,MW,2030,26z-debug,0,43786
USENSYS,PJME,PJME_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug,0,3413
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,6749
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug,0,2617
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug,0,5803
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_3,Wind,MW,2030,26z-debug,0,5341
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_5,Wind,MW,2030,26z-debug,0,662
USENSYS,PJMW,PJMW_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2030,26z-debug,0,1
USENSYS,PJMW,PJMW_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug,0,25862
USENSYS,PJMW,PJMW_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug,0,10156
USENSYS,RMRG,RMRG_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug,0,29551
USENSYS,RMRG,RMRG_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug,0,1804
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,4713
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_5,Wind,MW,2030,26z-debug,0,6065
USENSYS,SPPC,SPPC_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug,0,4664
USENSYS,SPPN,SPPN_landbasedwind_class3_moderate_4,Wind,MW,2030,26z-debug,0,4060
USENSYS,SPPN,SPPN_utilitypv_class1_moderate_3,Solar,MW,2030,26z-debug,0,8648
USENSYS,SPPS,SPPS_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,31798
USENSYS,SPPS,SPPS_utilitypv_class1_moderate_3,Solar,MW,2030,26z-debug,0,18160
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,2996
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug,0,247
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug,0,1834
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_3,Wind,MW,2030,26z-debug,0,1396
USENSYS,SRCA,SRCA_landbasedwind_class3_moderate_5,Wind,MW,2030,26z-debug,0,1857
USENSYS,SRCA,SRCA_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2030,26z-debug,0,1
USENSYS,SRCA,SRCA_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug,0,14330
USENSYS,SRCA,SRCA_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug,0,11973
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,17436
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug,0,5316
USENSYS,SRCE,SRCE_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug,0,1674
USENSYS,SRCE,SRCE_utilitypv_class1_moderate_2,Solar,MW,2030,26z-debug,0,10466
USENSYS,SRCE,SRCE_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug,0,12569
USENSYS,SRSE,SRSE_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,3
USENSYS,SRSE,SRSE_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug,0,5916
USENSYS,SRSE,SRSE_landbasedwind_class3_moderate_4,Wind,MW,2030,26z-debug,0,2927
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_0,Solar,MW,2030,26z-debug,0,26480
USENSYS,SRSE,SRSE_utilitypv_class1_moderate_4,Solar,MW,2030,26z-debug,0,1129
USENSYS,SRSG,SRSG_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug,0,8822
USENSYS,SRSG,SRSG_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug,0,5369
USENSYS,SRSG,SRSG_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug,0,4774
USENSYS,TRE,TRE_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug,0,49189
USENSYS,TRE,TRE_landbasedwind_class3_moderate_4,Wind,MW,2030,26z-debug,0,2862
USENSYS,TRE,TRE_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug,0,25307
USENSYS,TRE_WEST,TRE_WEST_landbasedwind_class3_moderate_4,Wind,MW,2030,26z-debug,0,10553
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,MW,2040,26z-debug,2854,2855
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,MW,2040,26z-debug,3001,28310
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,MW,2040,26z-debug,2184,13707
USENSYS,CANO,CANO_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2040,26z-debug,0,374
USENSYS,CANO,CANO_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug,4790,22880
USENSYS,CASO,CASO_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug,0,973
USENSYS,CASO,CASO_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2040,26z-debug,0,3027
USENSYS,CASO,CASO_utilitypv_class1_moderate_0,Solar,MW,2040,26z-debug,0,13388
USENSYS,CASO,CASO_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug,13584,20949
USENSYS,CASO,CASO_utilitypv_class1_moderate_3,Solar,MW,2040,26z-debug,0,3251
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_1,Wind,MW,2040,26z-debug,1733,1734
USENSYS,FRCC,FRCC_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2040,26z-debug,5650,11255
USENSYS,FRCC,FRCC_utilitypv_class1_moderate_0,Solar,MW,2040,26z-debug,1236,51450
USENSYS,ISNE,ISNE_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2040,26z-debug,0,4937
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug,3241,3242
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_2,Wind,MW,2040,26z-debug,3971,3972
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_3,Wind,MW,2040,26z-debug,3004,3005
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_4,Wind,MW,2040,26z-debug,0,2127
USENSYS,ISNE,ISNE_offshorewind_class3_moderate_fixed_0_2,Wind,MW,2040,26z-debug,0,757
USENSYS,ISNE,ISNE_offshorewind_class3_moderate_fixed_1_1,Wind,MW,2040,26z-debug,0,4242
USENSYS,ISNE,ISNE_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug,54,4912
USENSYS,ISNE,ISNE_utilitypv_class1_moderate_2,Solar,MW,2040,26z-debug,0,20852
USENSYS,MISC,MISC_landbasedwind_class3_moderate_1,Wind,MW,2040,26z-debug,0,2945
USENSYS,MISC,MISC_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2040,26z-debug,0,8897
USENSYS,MISC,MISC_utilitypv_class1_moderate_3,Solar,MW,2040,26z-debug,5743,8521
USENSYS,MISC,MISC_utilitypv_class1_moderate_5,Solar,MW,2040,26z-debug,10571,11273
USENSYS,MISE,MISE_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug,1061,1062
USENSYS,MISE,MISE_landbasedwind_class3_moderate_4,Wind,MW,2040,26z-debug,1081,1082
USENSYS,MISE,MISE_landbasedwind_class3_moderate_5,Wind,MW,2040,26z-debug,670,671
USENSYS,MISE,MISE_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2040,26z-debug,0,5191
USENSYS,MISE,MISE_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug,7354,12381
USENSYS,MISS,MISS_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug,1794,1795
USENSYS,MISS,MISS_landbasedwind_class3_moderate_2,Wind,MW,2040,26z-debug,6462,17810
USENSYS,MISS,MISS_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2040,26z-debug,0,4
USENSYS,MISS,MISS_utilitypv_class1_moderate_0,Solar,MW,2040,26z-debug,3416,16747
USENSYS,MISW,MISW_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug,13556,38549
USENSYS,MISW,MISW_landbasedwind_class3_moderate_4,Wind,MW,2040,26z-debug,19750,19751
USENSYS,MISW,MISW_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2040,26z-debug,0,1092
USENSYS,MISW,MISW_utilitypv_class1_moderate_2,Solar,MW,2040,26z-debug,0,12835
USENSYS,MISW,MISW_utilitypv_class1_moderate_4,Solar,MW,2040,26z-debug,20991,34383
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug,0,5434
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_1,Wind,MW,2040,26z-debug,0,2856
USENSYS,NWPP,NWPP_landbasedwind_class3_moderate_3,Wind,MW,2040,26z-debug,0,5217
USENSYS,NWPP,NWPP_utilitypv_class1_moderate_3,Solar,MW,2040,26z-debug,0,3544
USENSYS,NYCW,NYCW_offshorewind_class3_moderate_fixed_0_1,Wind,MW,2040,26z-debug,0,838
USENSYS,NYCW,NYCW_offshorewind_class3_moderate_fixed_0_2,Wind,MW,2040,26z-debug,0,779
USENSYS,NYCW,NYCW_offshorewind_class3_moderate_fixed_1_1,Wind,MW,2040,26z-debug,0,2225
USENSYS,NYCW,NYCW_offshorewind_class3_moderate_fixed_1_2,Wind,MW,2040,26z-debug,0,2208
USENSYS,NYCW,NYCW_utilitypv_class1_moderate_0,Solar,MW,2040,26z-debug,0,5
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_1,Wind,MW,2040,26z-debug,129,802
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_2,Wind,MW,2040,26z-debug,6827,6828
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_3,Wind,MW,2040,26z-debug,0,2787
USENSYS,NYUP,NYUP_landbasedwind_class3_moderate_5,Wind,MW,2040,26z-debug,0,1889
USENSYS,NYUP,NYUP_utilitypv_class1_moderate_3,Solar,MW,2040,26z-debug,0,5025
USENSYS,PJMC,PJMC_landbasedwind_class3_moderate_2,Wind,MW,2040,26z-debug,4060,11168
USENSYS,PJMC,PJMC_utilitypv_class1_moderate_5,Solar,MW,2040,26z-debug,6369,15050
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug,304,305
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_1,Wind,MW,2040,26z-debug,625,626
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_2,Wind,MW,2040,26z-debug,6266,6267
USENSYS,PJMD,PJMD_landbasedwind_class3_moderate_5,Wind,MW,2040,26z-debug,1398,1400
USENSYS,PJMD,PJMD_utilitypv_class1_moderate_4,Solar,MW,2040,26z-debug,16456,26226
USENSYS,PJMD,PJMD_utilitypv_class1_moderate_5,Solar,MW,2040,26z-debug,2556,6843
USENSYS,PJME,PJME_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug,578,579
USENSYS,PJME,PJME_landbasedwind_class3_moderate_3,Wind,MW,2040,26z-debug,1255,1256
USENSYS,PJME,PJME_landbasedwind_class3_moderate_5,Wind,MW,2040,26z-debug,0,171
USENSYS,PJME,PJME_offshorewind_class3_moderate_fixed_1_1,Wind,MW,2040,26z-debug,0,4272
USENSYS,PJME,PJME_utilitypv_class1_moderate_0,Solar,MW,2040,26z-debug,0,1322
USENSYS,PJME,PJME_utilitypv_class1_moderate_2,Solar,MW,2040,26z-debug,0,33225
USENSYS,PJME,PJME_utilitypv_class1_moderate_3,Solar,MW,2040,26z-debug,0,9444
USENSYS,PJME,PJME_utilitypv_class1_moderate_4,Solar,MW,2040,26z-debug,43786,52185
USENSYS,PJME,PJME_utilitypv_class1_moderate_5,Solar,MW,2040,26z-debug,3412,3413
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_1,Wind,MW,2040,26z-debug,2616,2617
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_3,Wind,MW,2040,26z-debug,5340,5341
USENSYS,PJMW,PJMW_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2040,26z-debug,0,27205
USENSYS,PJMW,PJMW_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug,25861,36627
USENSYS,PJMW,PJMW_utilitypv_class1_moderate_5,Solar,MW,2040,26z-debug,10155,10156
USENSYS,RMRG,RMRG_landbasedwind_class3_moderate_4,Wind,MW,2040,26z-debug,0,18503
USENSYS,RMRG,RMRG_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug,1803,7623
USENSYS,SPPC,SPPC_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug,4713,12226
