model,line,line_name,planning_year,case,unit,AnnualSum
GenX,46.0,SPPC_to_SPPN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,164650261.6675029
GenX,47.0,SPPC_to_SPPS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1457463073.3913147
GenX,48.0,SPPN_to_SPPS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1088646325.8777049
GenX,49.0,SPPS_to_SRSG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,6227347733.426163
GenX,50.0,SPPS_to_TRE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2504668474.4238467
GenX,51.0,SPPS_to_TRE_WEST,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1629578833.9368937
GenX,52.0,SRCA_to_SRCE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1052977609.2071564
GenX,53.0,SRCA_to_SRSE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,475629131.2179855
GenX,54.0,SRCE_to_SRSE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2181055406.3726783
GenX,55.0,TRE_to_TRE_WEST,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3695119083.336828
GenX,56.0,NWPP_to_SPPN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,608724559.6080364
GenX,57.0,SRSG_to_TRE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,7720170355.03708
GenX,1.0,BASN_to_CANO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,68416399.99992572
GenX,2.0,BASN_to_CASO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3092024152.597031
GenX,3.0,BASN_to_NWPP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2403124762.986764
GenX,4.0,BASN_to_RMRG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2659916677.193723
GenX,5.0,BASN_to_SRSG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2444377541.125174
GenX,6.0,CANO_to_CASO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1090995463.8092976
GenX,7.0,CANO_to_NWPP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2037569320.1625872
GenX,8.0,CASO_to_NWPP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1936900950.6027465
GenX,9.0,CASO_to_SRSG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,5848262924.4447365
GenX,10.0,FRCC_to_SRSE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2684458806.4033504
GenX,11.0,ISNE_to_NYCW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,623290093.8979802
GenX,12.0,ISNE_to_NYUP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,4304683659.284101
GenX,13.0,MISC_to_MISE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2324498641.202609
GenX,14.0,MISC_to_MISS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,384135427.8325382
GenX,15.0,MISC_to_MISW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,773640565.2838633
GenX,16.0,MISC_to_PJMC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1167551016.4173472
GenX,17.0,MISC_to_PJMW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,13406919994.83006
GenX,18.0,MISC_to_SPPC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,4603316061.564365
GenX,19.0,MISC_to_SPPN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,52119652.64703397
GenX,20.0,MISC_to_SPPS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,9476693437.323782
GenX,21.0,MISC_to_SRCE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1520551596.3908691
GenX,22.0,MISE_to_MISW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,9262.690601157356
GenX,23.0,MISE_to_PJMW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,685075151.5594037
GenX,24.0,MISS_to_SPPC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2258466807.511114
GenX,25.0,MISS_to_SPPS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,13631755164.267117
GenX,26.0,MISS_to_SRCE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1172155321.6505592
GenX,27.0,MISS_to_SRSE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,6681623662.191293
GenX,28.0,MISW_to_NWPP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,230122411.05286065
GenX,29.0,MISW_to_PJMC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2110588345.589884
GenX,30.0,MISW_to_SPPC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,475893746.8595142
GenX,31.0,MISW_to_SPPN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1807102518.145002
GenX,32.0,NWPP_to_RMRG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2975152317.923004
GenX,33.0,NYCW_to_NYUP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1353000555.0462675
GenX,34.0,NYCW_to_PJME,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2284830309.0749183
GenX,35.0,NYUP_to_PJME,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3149832700.038277
GenX,36.0,PJMC_to_PJMW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2207759370.2323217
GenX,37.0,PJMD_to_PJME,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,846084553.0393251
GenX,38.0,PJMD_to_PJMW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2294794334.463315
GenX,39.0,PJMD_to_SRCA,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1108464503.6646836
GenX,40.0,PJME_to_PJMW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,11534867044.470476
GenX,41.0,PJMW_to_SRCA,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,625202369.792317
GenX,42.0,PJMW_to_SRCE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2506888482.6649966
GenX,43.0,RMRG_to_SPPC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2213776893.187701
GenX,44.0,RMRG_to_SPPN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,839661770.1797833
GenX,45.0,RMRG_to_SRSG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2940535916.899649
GenX,46.0,SPPC_to_SPPN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,186691826.46983096
GenX,47.0,SPPC_to_SPPS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1456888716.874702
GenX,48.0,SPPN_to_SPPS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1146246931.2055416
GenX,49.0,SPPS_to_SRSG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,9566591445.738474
GenX,50.0,SPPS_to_TRE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3456379470.118684
GenX,51.0,SPPS_to_TRE_WEST,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2095311742.0275145
GenX,52.0,SRCA_to_SRCE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1734037110.5907035
GenX,53.0,SRCA_to_SRSE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,551096829.5121083
GenX,54.0,SRCE_to_SRSE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2201217530.8908253
GenX,55.0,TRE_to_TRE_WEST,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,4493457646.778001
GenX,56.0,NWPP_to_SPPN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,667376519.6870215
GenX,57.0,SRSG_to_TRE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,9052197325.966284
GenX,1.0,BASN_to_CANO,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,60565606.099856585
GenX,2.0,BASN_to_CASO,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2902856033.36764
GenX,3.0,BASN_to_NWPP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2108564741.0710585
GenX,4.0,BASN_to_RMRG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2564322401.13628
GenX,5.0,BASN_to_SRSG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2281109627.661411
GenX,6.0,CANO_to_CASO,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1135386224.055532
GenX,7.0,CANO_to_NWPP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2123918756.808214
GenX,8.0,CASO_to_NWPP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1928167041.6013632
GenX,9.0,CASO_to_SRSG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,6879046018.847112
GenX,10.0,FRCC_to_SRSE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3363954570.7892222
GenX,11.0,ISNE_to_NYCW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,665151520.5581568
GenX,12.0,ISNE_to_NYUP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3818529811.650632
GenX,13.0,MISC_to_MISE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2858052354.4148746
GenX,14.0,MISC_to_MISS,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,381799100.5864879
GenX,15.0,MISC_to_MISW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,747888598.5579294
GenX,16.0,MISC_to_PJMC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1189526573.938359
GenX,17.0,MISC_to_PJMW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,13375594711.957235
GenX,18.0,MISC_to_SPPC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,7237564394.612412
GenX,19.0,MISC_to_SPPN,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,53644943.04309727
GenX,20.0,MISC_to_SPPS,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,8936309527.355091
GenX,21.0,MISC_to_SRCE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1539516236.7947516
GenX,22.0,MISE_to_MISW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,21995585.10943856
GenX,23.0,MISE_to_PJMW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,664519395.0936626
GenX,24.0,MISS_to_SPPC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2105522096.086136
GenX,25.0,MISS_to_SPPS,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,20888826965.029636
GenX,26.0,MISS_to_SRCE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1456585557.2060754
GenX,27.0,MISS_to_SRSE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,8313036946.153782
GenX,28.0,MISW_to_NWPP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,218014083.5268369
GenX,29.0,MISW_to_PJMC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3562202623.1257358
GenX,30.0,MISW_to_SPPC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,957441868.1913404
GenX,31.0,MISW_to_SPPN,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1747427343.7250624
GenX,32.0,NWPP_to_RMRG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2706398499.959176
GenX,33.0,NYCW_to_NYUP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1384107932.375369
GenX,34.0,NYCW_to_PJME,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2121916922.9371688
GenX,35.0,NYUP_to_PJME,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2713841735.0489664
GenX,36.0,PJMC_to_PJMW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3609680375.794391
GenX,37.0,PJMD_to_PJME,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,847350791.1144063
GenX,38.0,PJMD_to_PJMW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1999039065.7581048
GenX,39.0,PJMD_to_SRCA,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1034536144.986212
GenX,40.0,PJME_to_PJMW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,10444057965.800943
GenX,41.0,PJMW_to_SRCA,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,695359574.2973974
GenX,42.0,PJMW_to_SRCE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3617548721.262349
GenX,43.0,RMRG_to_SPPC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3797070559.349542
GenX,44.0,RMRG_to_SPPN,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1357741766.8272688
GenX,45.0,RMRG_to_SRSG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,7942059125.407086
GenX,46.0,SPPC_to_SPPN,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,202001844.94388708
GenX,47.0,SPPC_to_SPPS,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1299414850.8383772
GenX,48.0,SPPN_to_SPPS,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1019285004.093904
GenX,49.0,SPPS_to_SRSG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,8019277087.441751
GenX,50.0,SPPS_to_TRE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3211473849.238707
GenX,51.0,SPPS_to_TRE_WEST,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,3951951384.1832566
GenX,52.0,SRCA_to_SRCE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1592654964.7673445
GenX,53.0,SRCA_to_SRSE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1343330041.691429
GenX,54.0,SRCE_to_SRSE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,2084586663.7182224
GenX,55.0,TRE_to_TRE_WEST,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,5219782848.924865
GenX,56.0,NWPP_to_SPPN,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,1536606227.39848
GenX,57.0,SRSG_to_TRE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highSlack_greg,MWh,7834661932.229035
