resource_name,zone,tech_type,model,planning_year,case,unit,start_value,end_value
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,330.0,330.0
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,260.0,260.0
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,358.0,358.0
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,6546.8,6546.8
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,3848.6,3848.6
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,7041.8,7041.8
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,4580.9,4580.9
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,1802.1,1802.1
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,184.0,184.0
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,640.0,640.0
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,627.8,627.8
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,201.1,201.1
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,234.0,234.0
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,912.5,912.5
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,685.1,685.1
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,2455.2,2455.2
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,786.0,786.0
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,2403.3,2403.3
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,244.0,244.0
ERCOT_natural_gas_fired_combined_cycle_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,1462.4,1462.4
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,13.0,13.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,12.0,12.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,21.0,21.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,96.0,96.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,65.9,65.9
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,84.0,84.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,38.0,38.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,2.8,2.8
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,164.0,164.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,1037.7,1037.7
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,222.8,222.8
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,501.0,501.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,8.399999999999999,8.399999999999999
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,208.0,208.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,177.0,177.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,8.399999999999999,8.399999999999999
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,467.0,467.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,85.0,85.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,164.0,164.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,460.8,460.8
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,460.2,460.2
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,4.6,4.6
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,191.8,191.8
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,15.0,15.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,569.7,569.7
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,81.0,81.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,93.0,93.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,522.0,522.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,93.0,93.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,184.0,184.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,490.4,490.4
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,187.0,187.0
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,921.9,921.9
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,889.1999999999999,889.1999999999999
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,410.8,410.8
ERCOT_natural_gas_fired_combustion_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,320.0,320.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,122.0,122.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,289.0,289.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,234.0,234.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,395.0,395.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,15.0,15.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,877.0,877.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,79.0,79.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,657.0,657.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,206.0,206.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,413.0,413.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,1138.0,1138.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,107.0,107.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,1224.0,1224.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,584.0,584.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,292.0,292.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,200.0,200.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,573.0,573.0
ERCOT_natural_gas_steam_turbine_1,ERCOT,Natural Gas,SWITCH,2040,cap_only,MW,435.0,435.0
