Period_Index,Rep_Period_Index,Month,Rep_Period
1,8,1,5
2,7,1,2
3,8,1,5
4,1,1,9
5,8,2,5
6,9,2,11
7,9,2,11
8,1,2,9
9,1,3,9
10,8,3,5
11,9,3,11
12,9,3,11
13,9,4,11
14,6,4,16
15,6,4,16
16,6,4,16
17,6,4,16
18,3,5,22
19,3,5,22
20,3,5,22
21,3,5,22
22,3,6,22
23,5,6,33
24,3,6,22
25,5,6,33
26,10,7,26
27,5,7,33
28,5,7,33
29,5,7,33
30,5,7,33
31,5,8,33
32,5,8,33
33,5,8,33
34,5,8,33
35,5,9,33
36,5,9,33
37,5,9,33
38,5,9,33
39,5,9,33
40,2,10,40
41,2,10,40
42,2,10,40
43,2,10,40
44,2,11,40
45,4,11,48
46,4,11,48
47,4,11,48
48,4,12,48
49,4,12,48
50,4,12,48
51,7,12,2
52,8,12,5
