model,line,line_name,planning_year,case,unit,AnnualSum
GenX,47.0,SPPC_to_SPPS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,514103119.5845849
GenX,48.0,SPPN_to_SPPS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1452.7943480155477
GenX,49.0,SPPS_to_SRSG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,942879939.211726
GenX,50.0,SPPS_to_TRE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,177446123.90835038
GenX,51.0,SPPS_to_TRE_WEST,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,84080490.52267204
GenX,52.0,SRCA_to_SRCE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,78889095.51266982
GenX,53.0,SRCA_to_SRSE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,636457154.9626806
GenX,54.0,SRCE_to_SRSE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,973183143.2258124
GenX,55.0,TRE_to_TRE_WEST,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,5045344518.330302
GenX,56.0,NWPP_to_SPPN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1729.2544583801089
GenX,57.0,SRSG_to_TRE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,2461.8626865030246
GenX,1.0,BASN_to_CANO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,25765164.52371348
GenX,2.0,BASN_to_CASO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1873699399.2141068
GenX,3.0,BASN_to_NWPP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1058947152.372126
GenX,4.0,BASN_to_RMRG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1968953317.6877236
GenX,5.0,BASN_to_SRSG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1017875346.5974616
GenX,6.0,CANO_to_CASO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,738882815.2769859
GenX,7.0,CANO_to_NWPP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,898924258.6035867
GenX,8.0,CASO_to_NWPP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1343922921.261042
GenX,9.0,CASO_to_SRSG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1501128022.3193774
GenX,10.0,FRCC_to_SRSE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,258486429.87976107
GenX,11.0,ISNE_to_NYCW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,395801500.0842337
GenX,12.0,ISNE_to_NYUP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,323683309.15124893
GenX,13.0,MISC_to_MISE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,2162.5297128664943
GenX,14.0,MISC_to_MISS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,638933824.5424725
GenX,15.0,MISC_to_MISW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,340193317.0007612
GenX,16.0,MISC_to_PJMC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,801106321.3601149
GenX,17.0,MISC_to_PJMW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1287583867.2818208
