WATER_CONNECTIONS,water_node_from,water_node_to,wc_capacity
ERCOT_conventional_hydroelectric_1,ERCOT_conventional_hydroelectric_1_inlet,ERCOT_conventional_hydroelectric_1_outlet,539.1
Eastern_conventional_hydroelectric_1,Eastern_conventional_hydroelectric_1_inlet,Eastern_conventional_hydroelectric_1_outlet,28528.6
Western_conventional_hydroelectric_1,Western_conventional_hydroelectric_1_inlet,Western_conventional_hydroelectric_1_outlet,50115.6
