GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
ERCOT_battery_moderate_0,2040,246483.174,6162,146785.897,3669
ERCOT_landbasedwind_class3_moderate_1,2040,843075.1408,37343,.,0
ERCOT_landbasedwind_class3_moderate_2,2040,843075.1408,37343,.,0
ERCOT_landbasedwind_class3_moderate_3,2040,843075.1408,37343,.,0
ERCOT_landbasedwind_class3_moderate_4,2040,843075.1408,37343,.,0
ERCOT_landbasedwind_class3_moderate_5,2040,843075.1408,37343,.,0
ERCOT_landbasedwind_class3_moderate_6,2040,843075.1408,37343,.,0
ERCOT_naturalgas_ccavgcf_moderate_0,2040,790912.8175,28000,.,0
ERCOT_naturalgas_ccccsavgcf_conservative_0,2040,2030431.893,67000,.,0
ERCOT_naturalgas_ctavgcf_moderate_0,2040,667048.923,21000,.,0
ERCOT_nuclear_nuclear_moderate_0,2040,6331834.689,145960,.,0
ERCOT_utilitypv_class1_moderate_1,2040,694785.3802,14671,.,0
ERCOT_utilitypv_class1_moderate_2,2040,694785.3802,14671,.,0
ERCOT_utilitypv_class1_moderate_3,2040,694785.3802,14671,.,0
ERCOT_utilitypv_class1_moderate_4,2040,694785.3802,14671,.,0
ERCOT_utilitypv_class1_moderate_5,2040,694785.3802,14671,.,0
ERCOT_utilitypv_class1_moderate_6,2040,694785.3802,14671,.,0
Eastern_battery_moderate_0,2040,248087.1859,6162,147741.1197,3669
Eastern_landbasedwind_class3_moderate_1,2040,1143733.132,37343,.,0
Eastern_landbasedwind_class3_moderate_2,2040,1143733.132,37343,.,0
Eastern_landbasedwind_class3_moderate_3,2040,1143733.132,37343,.,0
Eastern_landbasedwind_class3_moderate_4,2040,1143733.132,37343,.,0
Eastern_landbasedwind_class3_moderate_5,2040,1143733.132,37343,.,0
Eastern_landbasedwind_class3_moderate_6,2040,1143733.132,37343,.,0
Eastern_naturalgas_ccavgcf_moderate_0,2040,1060457.398,28000,.,0
Eastern_naturalgas_ccccsavgcf_conservative_0,2040,2280759.111,67000,.,0
Eastern_naturalgas_ctavgcf_moderate_0,2040,849261.9671,21000,.,0
Eastern_nuclear_nuclear_moderate_0,2040,7424482.334,145960,.,0
Eastern_offshorewind_class12_moderate_floating_1_1,2040,4027060.109,70436,.,0
Eastern_offshorewind_class12_moderate_floating_1_2,2040,4027060.109,70436,.,0
Eastern_offshorewind_class3_moderate_fixed_1_1,2040,2524651.056,80459,.,0
Eastern_offshorewind_class3_moderate_fixed_1_2,2040,2524651.056,80459,.,0
Eastern_utilitypv_class1_moderate_1,2040,744374.4068,14671,.,0
Eastern_utilitypv_class1_moderate_2,2040,744374.4068,14671,.,0
Eastern_utilitypv_class1_moderate_3,2040,744374.4068,14671,.,0
Eastern_utilitypv_class1_moderate_4,2040,744374.4068,14671,.,0
Eastern_utilitypv_class1_moderate_5,2040,744374.4068,14671,.,0
Eastern_utilitypv_class1_moderate_6,2040,744374.4068,14671,.,0
Western_battery_moderate_0,2040,256641.9166,6162,152835.6412,3669
Western_landbasedwind_class3_moderate_1,2040,1905308.726,37343,.,0
Western_landbasedwind_class3_moderate_2,2040,1905308.726,37343,.,0
Western_landbasedwind_class3_moderate_3,2040,1905308.726,37343,.,0
Western_landbasedwind_class3_moderate_4,2040,1905308.726,37343,.,0
Western_landbasedwind_class3_moderate_5,2040,1905308.726,37343,.,0
Western_landbasedwind_class3_moderate_6,2040,1905308.726,37343,.,0
Western_naturalgas_ccavgcf_moderate_0,2040,1191965.308,28000,.,0
Western_naturalgas_ccccsavgcf_conservative_0,2040,2361672.96,67000,.,0
Western_naturalgas_ctavgcf_moderate_0,2040,916393.0892,21000,.,0
Western_nuclear_nuclear_moderate_0,2040,8379155.794,145960,.,0
Western_offshorewind_class12_moderate_floating_1_1,2040,5269340.861,70436,.,0
Western_offshorewind_class12_moderate_floating_1_2,2040,5269340.861,70436,.,0
Western_utilitypv_class1_moderate_1,2040,777793.0987,14671,.,0
Western_utilitypv_class1_moderate_2,2040,777793.0987,14671,.,0
Western_utilitypv_class1_moderate_3,2040,777793.0987,14671,.,0
Western_utilitypv_class1_moderate_4,2040,777793.0987,14671,.,0
Western_utilitypv_class1_moderate_5,2040,777793.0987,14671,.,0
Western_utilitypv_class1_moderate_6,2040,777793.0987,14671,.,0
