GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_dbid,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_self_discharge_rate,gen_discharge_efficiency,gen_land_use_rate,gen_storage_energy_to_power_ratio,gen_type,gen_capacity_limit_mw,gen_ccs_capture_efficiency,gen_ccs_energy_load
Eastern_offshorewind_class12_moderate_floating_1_1,OffShoreWind_Class12_Moderate_floating_1,Wind,Eastern,30,TRUE,FALSE,.,0,0,Eastern_offshorewind_class12_moderate_floating_1_1,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,16525.12707,.,.
Eastern_offshorewind_class12_moderate_floating_1_2,OffShoreWind_Class12_Moderate_floating_1,Wind,Eastern,30,TRUE,FALSE,.,0,0,Eastern_offshorewind_class12_moderate_floating_1_2,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,16403.36585,.,.
Western_naturalgas_ccccsavgcf_conservative_0,NaturalGas_CCCCSAvgCF_Conservative,Naturalgas,Western,30,FALSE,FALSE,7.16,6,0,Western_naturalgas_ccccsavgcf_conservative_0,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,.,0.9,0
Western_naturalgas_ccavgcf_moderate_0,NaturalGas_CCAvgCF_Moderate,Naturalgas,Western,30,FALSE,FALSE,6.36,2,0,Western_naturalgas_ccavgcf_moderate_0,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,.,.,.
Western_naturalgas_ctavgcf_moderate_0,NaturalGas_CTAvgCF_Moderate,Naturalgas,Western,30,FALSE,FALSE,9.72,5,0,Western_naturalgas_ctavgcf_moderate_0,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,.,.,.
Western_battery_moderate_0,Battery_*_Moderate,Electricity,Western,15,FALSE,FALSE,.,0.15,0,Western_battery_moderate_0,0.01,0.02,0,FALSE,0.8464,1,1,.,.,.,.,Storage,.,.,.
Western_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,Uranium,Western,40,FALSE,FALSE,10.443,2.84,0,Western_nuclear_nuclear_moderate_0,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Nuclear,.,.,.
Western_landbasedwind_class3_moderate_1,LandbasedWind_Class3_Moderate,Wind,Western,30,TRUE,FALSE,.,0,0,Western_landbasedwind_class3_moderate_1,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,87078.94849,.,.
Western_landbasedwind_class3_moderate_2,LandbasedWind_Class3_Moderate,Wind,Western,30,TRUE,FALSE,.,0,0,Western_landbasedwind_class3_moderate_2,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,87069.22851,.,.
Western_landbasedwind_class3_moderate_3,LandbasedWind_Class3_Moderate,Wind,Western,30,TRUE,FALSE,.,0,0,Western_landbasedwind_class3_moderate_3,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,87158.32874,.,.
Western_landbasedwind_class3_moderate_4,LandbasedWind_Class3_Moderate,Wind,Western,30,TRUE,FALSE,.,0,0,Western_landbasedwind_class3_moderate_4,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,86983.1324,.,.
Western_landbasedwind_class3_moderate_5,LandbasedWind_Class3_Moderate,Wind,Western,30,TRUE,FALSE,.,0,0,Western_landbasedwind_class3_moderate_5,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,87067.03498,.,.
Western_landbasedwind_class3_moderate_6,LandbasedWind_Class3_Moderate,Wind,Western,30,TRUE,FALSE,.,0,0,Western_landbasedwind_class3_moderate_6,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,87054.37865,.,.
Western_utilitypv_class1_moderate_1,UtilityPV_Class1_Moderate,Solar,Western,30,TRUE,FALSE,.,0,0,Western_utilitypv_class1_moderate_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,625640.1711,.,.
Western_utilitypv_class1_moderate_2,UtilityPV_Class1_Moderate,Solar,Western,30,TRUE,FALSE,.,0,0,Western_utilitypv_class1_moderate_2,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,625304.4371,.,.
Western_utilitypv_class1_moderate_3,UtilityPV_Class1_Moderate,Solar,Western,30,TRUE,FALSE,.,0,0,Western_utilitypv_class1_moderate_3,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,625386.8081,.,.
Western_utilitypv_class1_moderate_4,UtilityPV_Class1_Moderate,Solar,Western,30,TRUE,FALSE,.,0,0,Western_utilitypv_class1_moderate_4,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,625360.6241,.,.
Western_utilitypv_class1_moderate_5,UtilityPV_Class1_Moderate,Solar,Western,30,TRUE,FALSE,.,0,0,Western_utilitypv_class1_moderate_5,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,625593.1766,.,.
Western_utilitypv_class1_moderate_6,UtilityPV_Class1_Moderate,Solar,Western,30,TRUE,FALSE,.,0,0,Western_utilitypv_class1_moderate_6,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,625147.9331,.,.
Western_offshorewind_class12_moderate_floating_1_1,OffShoreWind_Class12_Moderate_floating_1,Wind,Western,30,TRUE,FALSE,.,0,0,Western_offshorewind_class12_moderate_floating_1_1,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,16314.00002,.,.
Western_offshorewind_class12_moderate_floating_1_2,OffShoreWind_Class12_Moderate_floating_1,Wind,Western,30,TRUE,FALSE,.,0,0,Western_offshorewind_class12_moderate_floating_1_2,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,16131.26688,.,.
ERCOT_naturalgas_ccccsavgcf_conservative_0,NaturalGas_CCCCSAvgCF_Conservative,Naturalgas,ERCOT,30,FALSE,FALSE,7.16,6,0,ERCOT_naturalgas_ccccsavgcf_conservative_0,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,.,0.9,0
ERCOT_naturalgas_ccavgcf_moderate_0,NaturalGas_CCAvgCF_Moderate,Naturalgas,ERCOT,30,FALSE,FALSE,6.36,2,0,ERCOT_naturalgas_ccavgcf_moderate_0,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,.,.,.
ERCOT_naturalgas_ctavgcf_moderate_0,NaturalGas_CTAvgCF_Moderate,Naturalgas,ERCOT,30,FALSE,FALSE,9.72,5,0,ERCOT_naturalgas_ctavgcf_moderate_0,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,.,.,.
ERCOT_battery_moderate_0,Battery_*_Moderate,Electricity,ERCOT,15,FALSE,FALSE,.,0.15,0,ERCOT_battery_moderate_0,0.01,0.02,0,FALSE,0.8464,1,1,.,.,.,.,Storage,.,.,.
ERCOT_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,Uranium,ERCOT,40,FALSE,FALSE,10.443,2.84,0,ERCOT_nuclear_nuclear_moderate_0,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Nuclear,.,.,.
ERCOT_landbasedwind_class3_moderate_1,LandbasedWind_Class3_Moderate,Wind,ERCOT,30,TRUE,FALSE,.,0,0,ERCOT_landbasedwind_class3_moderate_1,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,40003.43627,.,.
ERCOT_landbasedwind_class3_moderate_2,LandbasedWind_Class3_Moderate,Wind,ERCOT,30,TRUE,FALSE,.,0,0,ERCOT_landbasedwind_class3_moderate_2,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,39895.57119,.,.
ERCOT_landbasedwind_class3_moderate_3,LandbasedWind_Class3_Moderate,Wind,ERCOT,30,TRUE,FALSE,.,0,0,ERCOT_landbasedwind_class3_moderate_3,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,39999.31861,.,.
ERCOT_landbasedwind_class3_moderate_4,LandbasedWind_Class3_Moderate,Wind,ERCOT,30,TRUE,FALSE,.,0,0,ERCOT_landbasedwind_class3_moderate_4,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,39855.17244,.,.
ERCOT_landbasedwind_class3_moderate_5,LandbasedWind_Class3_Moderate,Wind,ERCOT,30,TRUE,FALSE,.,0,0,ERCOT_landbasedwind_class3_moderate_5,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,39997.39494,.,.
ERCOT_landbasedwind_class3_moderate_6,LandbasedWind_Class3_Moderate,Wind,ERCOT,30,TRUE,FALSE,.,0,0,ERCOT_landbasedwind_class3_moderate_6,0,0.05,0,FALSE,.,.,1,.,.,.,.,Wind,39871.33868,.,.
ERCOT_utilitypv_class1_moderate_1,UtilityPV_Class1_Moderate,Solar,ERCOT,30,TRUE,FALSE,.,0,0,ERCOT_utilitypv_class1_moderate_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,384241.7279,.,.
ERCOT_utilitypv_class1_moderate_2,UtilityPV_Class1_Moderate,Solar,ERCOT,30,TRUE,FALSE,.,0,0,ERCOT_utilitypv_class1_moderate_2,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,384100.4643,.,.
ERCOT_utilitypv_class1_moderate_3,UtilityPV_Class1_Moderate,Solar,ERCOT,30,TRUE,FALSE,.,0,0,ERCOT_utilitypv_class1_moderate_3,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,384337.3139,.,.
ERCOT_utilitypv_class1_moderate_4,UtilityPV_Class1_Moderate,Solar,ERCOT,30,TRUE,FALSE,.,0,0,ERCOT_utilitypv_class1_moderate_4,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,383949.5312,.,.
ERCOT_utilitypv_class1_moderate_5,UtilityPV_Class1_Moderate,Solar,ERCOT,30,TRUE,FALSE,.,0,0,ERCOT_utilitypv_class1_moderate_5,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,384797.6624,.,.
ERCOT_utilitypv_class1_moderate_6,UtilityPV_Class1_Moderate,Solar,ERCOT,30,TRUE,FALSE,.,0,0,ERCOT_utilitypv_class1_moderate_6,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,383417.3662,.,.
