GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
ERCOT_battery_moderate_0,2050,213451.223,5336,127084.756,3177
ERCOT_landbasedwind_class3_moderate_1,2050,753860.8402,34422,.,0
ERCOT_landbasedwind_class3_moderate_2,2050,753860.8402,34422,.,0
ERCOT_landbasedwind_class3_moderate_3,2050,753860.8402,34422,.,0
ERCOT_landbasedwind_class3_moderate_4,2050,753860.8402,34422,.,0
ERCOT_landbasedwind_class3_moderate_5,2050,753860.8402,34422,.,0
ERCOT_landbasedwind_class3_moderate_6,2050,753860.8402,34422,.,0
ERCOT_naturalgas_ccavgcf_moderate_0,2050,757677.9105,28000,.,0
ERCOT_naturalgas_ccccsavgcf_conservative_0,2050,1859344.255,67000,.,0
ERCOT_naturalgas_ctavgcf_moderate_0,2050,631763.0017,21000,.,0
ERCOT_nuclear_nuclear_moderate_0,2050,5888264.808,145960,.,0
ERCOT_utilitypv_class1_moderate_1,2050,629683.4265,13688,.,0
ERCOT_utilitypv_class1_moderate_2,2050,629683.4265,13688,.,0
ERCOT_utilitypv_class1_moderate_3,2050,629683.4265,13688,.,0
ERCOT_utilitypv_class1_moderate_4,2050,629683.4265,13688,.,0
ERCOT_utilitypv_class1_moderate_5,2050,629683.4265,13688,.,0
ERCOT_utilitypv_class1_moderate_6,2050,629683.4265,13688,.,0
Eastern_battery_moderate_0,2050,214840.2765,5336,127911.7717,3177
Eastern_landbasedwind_class3_moderate_1,2050,1022703.171,34422,.,0
Eastern_landbasedwind_class3_moderate_2,2050,1022703.171,34422,.,0
Eastern_landbasedwind_class3_moderate_3,2050,1022703.171,34422,.,0
Eastern_landbasedwind_class3_moderate_4,2050,1022703.171,34422,.,0
Eastern_landbasedwind_class3_moderate_5,2050,1022703.171,34422,.,0
Eastern_landbasedwind_class3_moderate_6,2050,1022703.171,34422,.,0
Eastern_naturalgas_ccavgcf_moderate_0,2050,1015895.972,28000,.,0
Eastern_naturalgas_ccccsavgcf_conservative_0,2050,2088578.477,67000,.,0
Eastern_naturalgas_ctavgcf_moderate_0,2050,804337.2399,21000,.,0
Eastern_nuclear_nuclear_moderate_0,2050,6904368.195,145960,.,0
Eastern_offshorewind_class12_moderate_floating_1_1,2050,3741674.709,64399,.,0
Eastern_offshorewind_class12_moderate_floating_1_2,2050,3741674.709,64399,.,0
Eastern_offshorewind_class3_moderate_fixed_1_1,2050,2337048.63,72913,.,0
Eastern_offshorewind_class3_moderate_fixed_1_2,2050,2337048.63,72913,.,0
Eastern_utilitypv_class1_moderate_1,2050,674625.9211,13688,.,0
Eastern_utilitypv_class1_moderate_2,2050,674625.9211,13688,.,0
Eastern_utilitypv_class1_moderate_3,2050,674625.9211,13688,.,0
Eastern_utilitypv_class1_moderate_4,2050,674625.9211,13688,.,0
Eastern_utilitypv_class1_moderate_5,2050,674625.9211,13688,.,0
Eastern_utilitypv_class1_moderate_6,2050,674625.9211,13688,.,0
Western_battery_moderate_0,2050,222248.562,5336,132322.5226,3177
Western_landbasedwind_class3_moderate_1,2050,1703688.755,34422,.,0
Western_landbasedwind_class3_moderate_2,2050,1703688.755,34422,.,0
Western_landbasedwind_class3_moderate_3,2050,1703688.755,34422,.,0
Western_landbasedwind_class3_moderate_4,2050,1703688.755,34422,.,0
Western_landbasedwind_class3_moderate_5,2050,1703688.755,34422,.,0
Western_landbasedwind_class3_moderate_6,2050,1703688.755,34422,.,0
Western_naturalgas_ccavgcf_moderate_0,2050,1141877.795,28000,.,0
Western_naturalgas_ccccsavgcf_conservative_0,2050,2162674.388,67000,.,0
Western_naturalgas_ctavgcf_moderate_0,2050,867917.2229,21000,.,0
Western_nuclear_nuclear_moderate_0,2050,7792163.03,145960,.,0
Western_offshorewind_class12_moderate_floating_1_1,2050,4895918.833,64399,.,0
Western_offshorewind_class12_moderate_floating_1_2,2050,4895918.833,64399,.,0
Western_utilitypv_class1_moderate_1,2050,704913.2545,13688,.,0
Western_utilitypv_class1_moderate_2,2050,704913.2545,13688,.,0
Western_utilitypv_class1_moderate_3,2050,704913.2545,13688,.,0
Western_utilitypv_class1_moderate_4,2050,704913.2545,13688,.,0
Western_utilitypv_class1_moderate_5,2050,704913.2545,13688,.,0
Western_utilitypv_class1_moderate_6,2050,704913.2545,13688,.,0
