TRANSMISSION_LINE,trans_lz1,trans_lz2,trans_length_km,trans_efficiency,existing_trans_cap,trans_dbid,trans_derating_factor,trans_terrain_multiplier,trans_new_build_allowed
25-26,TRE,TRE_WEST,694.9819647,0.943376254,16529.0,1,0,5.822892026,1
25-20,TRE,SPPS,501.3042951,0.957805241,0.0,2,0,6.304859193,1
26-20,TRE_WEST,SPPS,594.5912332,0.966111254,0.0,3,0,4.747089086,1
23-Apr,FRCC,SRSE,930.7057767,0.922862516,3600.0,4,0,7.086784525,1
7-Sep,MISW,MISE,1338.089537,0.909549871,0.0,5,0,6.466021573,1
13-Sep,MISW,PJMC,577.3769837,0.944333709,3200.0,6,0,7.291640625,1
6-Sep,MISW,MISC,1370.498177,0.897909465,0.0,7,0,6.133980527,1
19-Sep,MISW,SPPN,1014.148628,0.93290953,5512.0,8,0,6.103009338,1
18-Sep,MISW,SPPC,1195.02931,0.922599332,0.0,9,0,5.611531202,1
6-Jul,MISE,MISC,993.3851724,0.925996667,0.0,10,0,5.75628858,1
16-Jul,MISE,PJMW,672.2944948,0.912433921,2662.0,11,0,7.383672171,1
13-6,PJMC,MISC,626.2046712,0.953351612,0.0,12,0,5.576863763,1
13-16,PJMC,PJMW,484.9526117,0.926394747,980.0,13,0,7.287667313,1
19-Jun,MISC,SPPN,919.2234842,0.941093172,0.0,14,0,5.443150713,1
18-Jun,MISC,SPPC,696.0754685,0.948150094,1430.0,15,0,5.762161636,1
20-Jun,MISC,SPPS,1164.300432,0.92712674,1172.0,16,0,4.799001366,1
8-Jun,MISC,MISS,1432.231366,0.911854678,1039.0,17,0,4.461702894,1
16-Jun,MISC,PJMW,636.7767279,0.880821679,5441.0,18,0,7.734763008,1
22-Jun,MISC,SRCE,807.578846,0.899431405,3745.0,19,0,6.922790698,1
19-18,SPPN,SPPC,261.1934342,0.98054109,0.0,20,0,5.833467156,1
19-20,SPPN,SPPS,679.4249276,0.961272779,0.0,21,0,4.614732309,1
18-20,SPPC,SPPS,455.0277413,0.966100436,3372.0,22,0,5.693699309,1
18-8,SPPC,MISS,1264.309794,0.927934341,0.0,23,0,3.787281179,1
20-8,SPPS,MISS,1083.440259,0.938246861,0.0,24,0,3.948495054,1
20-24,SPPS,SRSG,1530.651154,0.872400306,1010.0,25,0,3.956610855,1
23-Aug,MISS,SRSE,825.7437764,0.948345616,891.0,26,0,6.557821058,1
22-Aug,MISS,SRCE,910.574012,0.943088939,4092.0,27,0,5.643380148,1
23-21,SRSE,SRCA,750.9564569,0.896331374,0.0,28,0,8.754192091,1
23-22,SRSE,SRCE,808.9930595,0.939731922,0.0,29,0,7.323854259,1
21-14,SRCA,PJMD,525.2547916,0.888607367,0.0,30,0,9.273484751,1
21-16,SRCA,PJMW,900.2912298,0.857985267,0.0,31,0,7.984332192,1
21-22,SRCA,SRCE,1047.313911,0.884497427,216.0,32,0,7.389267648,1
14-16,PJMD,PJMW,493.7545178,0.901200227,6930.0,33,0,10.38370229,1
14-15,PJMD,PJME,139.264334,0.951868172,1200.0,34,0,17.57218716,1
16-15,PJMW,PJME,482.9870637,0.91544599,0.0,35,0,10.68391311,1
16-22,PJMW,SRCE,542.9402245,0.889923572,3333.0,36,0,9.380514622,1
15-12,PJME,NYUP,316.6163603,0.917462331,0.0,37,0,14.04155554,1
15-11,PJME,NYCW,81.02077939,0.972005581,0.0,38,0,72.03063489,1
11-Dec,NYUP,NYCW,319.0323955,0.916637335,0.0,39,0,28.56524406,1
5-Dec,NYUP,ISNE,422.4133412,0.880879323,0.0,40,0,14.13944389,1
5-Nov,NYCW,ISNE,208.7631968,0.927851018,0.0,41,0,57.67066625,1
17-1,RMRG,BASN,1478.96874,0.904251241,0.0,42,0,5.417762121,1
17-10,RMRG,NWPP,9335.734367,0.868119729,0.0,43,0,1.0,1
17-24,RMRG,SRSG,1451.938996,0.876886892,614.0,44,0,4.194105539,1
10-Jan,BASN,NWPP,2143.682033,0.861875714,3350.0,45,0,5.460125817,1
2-Jan,BASN,CANO,1613.384713,0.876604861,100.0,46,0,5.916809398,1
3-Jan,BASN,CASO,1052.8154,0.910639518,5920.0,47,0,7.032044828,1
24-Jan,BASN,SRSG,1196.885695,0.872928197,5385.0,48,0,7.070316766,1
2-Oct,NWPP,CANO,1302.611066,0.901279622,0.0,49,0,6.159986721,1
3-Oct,NWPP,CASO,1838.721515,0.879070684,0.0,50,0,5.070817661,1
3-Feb,CANO,CASO,678.4965251,0.929705712,3675.0,51,0,8.529921131,1
24-Mar,CASO,SRSG,670.4280089,0.909797706,4354.0,52,0,7.689665225,1
19-Oct,NWPP,SPPN,2877.936127,0.831470774,0.0,53,0,3.746829611,1
9-Oct,NWPP,MISW,14040.70052,0.775865078,0.0,54,0,1.062875565,1
17-19,RMRG,SPPN,780.5713742,0.95550743,410.0,55,0,4.219334194,1
17-18,RMRG,SPPC,936.6269837,0.946612264,210.0,56,0,3.940887138,1
24-25,SRSG,TRE,1692.236672,0.854443287,0.0,57,0,4.36027783,1
