timeseries,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
2040_p42,2040,1,168,40
2040_p33,2040,1,168,140
2040_p5,2040,1,168,30
2040_p48,2040,1,168,70
2040_p11,2040,1,168,50
2040_p22,2040,1,168,80
2040_p4,2040,1,168,40
2040_p16,2040,1,168,40
2040_p8,2040,1,168,20
2040_p27,2040,1,168,10
