LOAD_ZONE,TIMEPOINT,zone_demand_mw
BASN,1,19763
BASN,2,18198
BASN,3,16486
BASN,4,15083
BASN,5,14234
BASN,6,14159
BASN,7,14062
BASN,8,14112
BASN,9,14579
BASN,10,15075
BASN,11,15434
BASN,12,16325
BASN,13,17444
BASN,14,18453
BASN,15,19414
BASN,16,20471
BASN,17,20832
BASN,18,21211
BASN,19,21660
BASN,20,22203
BASN,21,22400
BASN,22,23554
BASN,23,23194
BASN,24,21497
BASN,25,19834
BASN,26,18169
BASN,27,16116
BASN,28,13637
BASN,29,13274
BASN,30,13014
BASN,31,13258
BASN,32,14038
BASN,33,15615
BASN,34,16935
BASN,35,17587
BASN,36,17887
BASN,37,17998
BASN,38,18586
BASN,39,19362
BASN,40,19820
BASN,41,20093
BASN,42,20859
BASN,43,22607
BASN,44,24292
BASN,45,24946
BASN,46,22969
BASN,47,19996
BASN,48,18401
BASN,49,16867
BASN,50,15539
BASN,51,14637
BASN,52,14249
BASN,53,13705
BASN,54,13362
BASN,55,13571
BASN,56,14347
BASN,57,15917
BASN,58,17331
BASN,59,17971
BASN,60,18242
BASN,61,18398
BASN,62,19269
BASN,63,19874
BASN,64,20377
BASN,65,20472
BASN,66,21322
BASN,67,23108
BASN,68,24981
BASN,69,25724
BASN,70,23497
BASN,71,20355
BASN,72,18856
BASN,73,17206
BASN,74,15913
BASN,75,15036
BASN,76,14045
BASN,77,13553
BASN,78,13399
BASN,79,13741
BASN,80,14685
BASN,81,16461
BASN,82,17928
BASN,83,18271
BASN,84,18164
BASN,85,18240
BASN,86,18680
BASN,87,19302
BASN,88,19697
BASN,89,19956
BASN,90,20711
BASN,91,22312
BASN,92,24049
BASN,93,24860
BASN,94,22948
BASN,95,20205
BASN,96,18551
BASN,97,16991
BASN,98,15708
BASN,99,14843
BASN,100,14214
BASN,101,13877
BASN,102,13718
BASN,103,14039
BASN,104,14881
BASN,105,16723
BASN,106,18012
BASN,107,18423
BASN,108,18327
BASN,109,18193
BASN,110,18460
BASN,111,19010
BASN,112,19429
BASN,113,19602
BASN,114,20330
BASN,115,21883
BASN,116,23565
BASN,117,24391
BASN,118,22452
BASN,119,19752
BASN,120,18320
BASN,121,16781
BASN,122,15490
BASN,123,14679
BASN,124,14016
