GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_dbid,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_self_discharge_rate,gen_discharge_efficiency,gen_land_use_rate,gen_storage_energy_to_power_ratio,gen_type,gen_capacity_limit_mw
CANO_solar_photovoltaic_1,Solar Photovoltaic,Solar,CANO,30,TRUE,FALSE,.,0,0,CANO_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,5750
CASO_batteries_1,Batteries,Electricity,CASO,15,FALSE,FALSE,.,0.15,0,CASO_batteries_1,0.01,0.02,0,FALSE,0.8464,1,1,.,.,.,.,Storage,84
CASO_biomass_1,Biomass,Bio Solid,CASO,50,FALSE,FALSE,.,4.573,0,CASO_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,229.1
CASO_conventional_hydroelectric_1,Conventional Hydroelectric,Water,CASO,100,FALSE,FALSE,.,0,0,CASO_conventional_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,955
CASO_conventional_steam_coal_1,Conventional Steam Coal,Coal,CASO,65,FALSE,TRUE,11.05,1.879,0,CASO_conventional_steam_coal_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Coal,50
CASO_geothermal_1,Geothermal,Heat,CASO,30,FALSE,FALSE,.,0,0,CASO_geothermal_1,0.05,0.04,0,FALSE,.,.,1,.,.,.,.,Geothermal,23.729
CASO_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,Electricity,CASO,100,FALSE,FALSE,.,0,0,CASO_hydroelectric_pumped_storage_1,0.05,0.05,0,FALSE,0.749956,1,1,.,.,.,.,Hydro,1665
CASO_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,CASO,60,FALSE,FALSE,8.08,3.814,0,CASO_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,8281
CASO_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,CASO,50,FALSE,FALSE,10.342,5.279,0,CASO_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,5268.3
CASO_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,CASO,60,FALSE,FALSE,8.818,4.536,0,CASO_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,50.2
CASO_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,CASO,30,TRUE,FALSE,.,0,0,CASO_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,Wind,3464.4
CASO_petroleum_liquids_1,Petroleum Liquids,Diesel,CASO,40,FALSE,FALSE,.,6.615,0,CASO_petroleum_liquids_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Petroleum,7.8
CASO_small_hydroelectric_1,Small Hydroelectric,Water,CASO,100,FALSE,FALSE,.,0,0,CASO_small_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,229.2
CASO_solar_photovoltaic_1,Solar Photovoltaic,Solar,CASO,30,TRUE,FALSE,.,0,0,CASO_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,12852.6
FRCC_biomass_1,Biomass,Bio Solid,FRCC,50,FALSE,FALSE,.,6.052,0,FRCC_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,575.8
FRCC_conventional_hydroelectric_1,Conventional Hydroelectric,Water,FRCC,100,FALSE,FALSE,.,0,0,FRCC_conventional_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,43.5
FRCC_conventional_steam_coal_1,Conventional Steam Coal,Coal,FRCC,65,FALSE,TRUE,10.876,1.879,0,FRCC_conventional_steam_coal_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Coal,4281
FRCC_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,FRCC,60,FALSE,FALSE,7.229,3.636,0,FRCC_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,37506.7
FRCC_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,FRCC,50,FALSE,FALSE,11.711,5.279,0,FRCC_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,8561.1
