Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
BASN,BASN_batteries_1,1,1,1,0.0
BASN,BASN_biomass_1,1,1,2,0.0
BASN,BASN_biomass_2,1,2,3,0.0
BASN,BASN_conventional_hydroelectric_1,1,1,4,0.0
BASN,BASN_conventional_steam_coal_1,1,1,5,0.0
BASN,BASN_conventional_steam_coal_2,1,2,6,0.0
BASN,BASN_geothermal_1,1,1,7,0.0
BASN,BASN_natural_gas_fired_combined_cycle_1,1,1,8,0.0
BASN,BASN_natural_gas_fired_combined_cycle_2,1,2,9,0.0
BASN,BASN_natural_gas_fired_combustion_turbine_1,1,1,10,0.0
BASN,BASN_natural_gas_fired_combustion_turbine_2,1,2,11,0.0
BASN,BASN_natural_gas_internal_combustion_engine_1,1,1,12,0.0
BASN,BASN_natural_gas_steam_turbine_1,1,1,13,0.0
BASN,BASN_onshore_wind_turbine_1,1,1,14,0.0
BASN,BASN_petroleum_liquids_1,1,1,15,0.0
BASN,BASN_small_hydroelectric_1,1,1,16,0.0
BASN,BASN_solar_photovoltaic_1,1,1,17,0.0
CANO,CANO_batteries_1,2,1,18,0.0
CANO,CANO_biomass_1,2,1,19,0.0
CANO,CANO_biomass_2,2,2,20,0.0
CANO,CANO_conventional_hydroelectric_1,2,1,21,0.0
CANO,CANO_hydroelectric_pumped_storage_1,2,1,22,0.0
CANO,CANO_natural_gas_fired_combined_cycle_1,2,1,23,0.0
CANO,CANO_natural_gas_fired_combined_cycle_2,2,2,24,0.0
CANO,CANO_natural_gas_fired_combustion_turbine_1,2,1,25,0.0
CANO,CANO_natural_gas_fired_combustion_turbine_2,2,2,26,0.0
CANO,CANO_natural_gas_internal_combustion_engine_1,2,1,27,0.0
CANO,CANO_natural_gas_steam_turbine_1,2,1,28,0.0
CANO,CANO_onshore_wind_turbine_1,2,1,29,0.0
CANO,CANO_petroleum_liquids_1,2,1,30,0.0
CANO,CANO_small_hydroelectric_1,2,1,31,0.0
CANO,CANO_solar_photovoltaic_1,2,1,32,0.0
CASO,CASO_batteries_1,3,1,33,0.0
CASO,CASO_biomass_1,3,1,34,0.0
CASO,CASO_biomass_2,3,2,35,0.0
CASO,CASO_conventional_hydroelectric_1,3,1,36,0.0
CASO,CASO_geothermal_1,3,1,37,0.0
CASO,CASO_hydroelectric_pumped_storage_1,3,1,38,0.0
CASO,CASO_natural_gas_fired_combined_cycle_1,3,1,39,0.0
CASO,CASO_natural_gas_fired_combined_cycle_2,3,2,40,0.0
CASO,CASO_natural_gas_fired_combustion_turbine_1,3,1,41,0.0
CASO,CASO_natural_gas_fired_combustion_turbine_2,3,2,42,0.0
CASO,CASO_natural_gas_internal_combustion_engine_1,3,1,43,0.0
CASO,CASO_natural_gas_steam_turbine_1,3,1,44,0.0
CASO,CASO_onshore_wind_turbine_1,3,1,45,0.0
CASO,CASO_petroleum_liquids_1,3,1,46,0.0
CASO,CASO_small_hydroelectric_1,3,1,47,0.0
CASO,CASO_solar_photovoltaic_1,3,1,48,0.0
FRCC,FRCC_batteries_1,4,1,49,0.0
FRCC,FRCC_biomass_1,4,1,50,0.0
FRCC,FRCC_biomass_2,4,2,51,0.0
FRCC,FRCC_conventional_hydroelectric_1,4,1,52,0.0
FRCC,FRCC_conventional_steam_coal_1,4,1,53,0.0
FRCC,FRCC_conventional_steam_coal_2,4,2,54,0.0
FRCC,FRCC_natural_gas_fired_combined_cycle_1,4,1,55,0.0
FRCC,FRCC_natural_gas_fired_combined_cycle_2,4,2,56,0.0
FRCC,FRCC_natural_gas_fired_combustion_turbine_1,4,1,57,0.0
FRCC,FRCC_natural_gas_fired_combustion_turbine_2,4,2,58,0.0
FRCC,FRCC_natural_gas_internal_combustion_engine_1,4,1,59,0.0
FRCC,FRCC_natural_gas_steam_turbine_1,4,1,60,0.0
FRCC,FRCC_nuclear_1,4,1,61,0.0
FRCC,FRCC_petroleum_liquids_1,4,1,62,0.0
FRCC,FRCC_solar_photovoltaic_1,4,1,63,0.0
ISNE,ISNE_batteries_1,5,1,64,0.0
ISNE,ISNE_biomass_1,5,1,65,0.0
ISNE,ISNE_biomass_2,5,2,66,0.0
ISNE,ISNE_conventional_hydroelectric_1,5,1,67,0.0
ISNE,ISNE_conventional_steam_coal_1,5,1,68,0.0
ISNE,ISNE_hydroelectric_pumped_storage_1,5,1,69,0.0
ISNE,ISNE_natural_gas_fired_combined_cycle_1,5,1,70,0.0
ISNE,ISNE_natural_gas_fired_combined_cycle_2,5,2,71,0.0
ISNE,ISNE_natural_gas_fired_combustion_turbine_1,5,1,72,0.0
ISNE,ISNE_natural_gas_fired_combustion_turbine_2,5,2,73,0.0
ISNE,ISNE_natural_gas_internal_combustion_engine_1,5,1,74,0.0
ISNE,ISNE_natural_gas_steam_turbine_1,5,1,75,0.0
ISNE,ISNE_nuclear_1,5,1,76,0.0
ISNE,ISNE_offshore_wind_turbine_1,5,1,77,0.0
ISNE,ISNE_onshore_wind_turbine_1,5,1,78,0.0
