Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
t1,109.28529308647053,127.2629900536671,120.23155147529722,89.96038267778422,91.36977887551036,99.5209645672936,107.16824704041862,97.34466791719154,109.34106773603398,119.90555913649189,100.51401291318018,92.46795063398064,103.41509763877075,100.93513369513899,100.42473551114419,96.07042784136407,110.36562689925078,104.62567199076227,105.56146280151987,103.5515402355472,83.31012463131911,89.98741862288966,92.43966086277696,117.66547757037304,108.01594418718201,102.07040747656859
t2,109.2850162064134,127.26242599896878,120.2307283359027,89.95788557187477,91.36993324342325,94.74417135405055,102.02401657531189,90.88347695680383,104.95312181079233,119.90478267023431,98.22071044133017,92.46787350529462,99.26588183605917,101.85928184283634,100.4244060390675,92.27348904831057,105.0679033296788,99.60260357250968,100.49415972923546,96.67825923479874,80.63005165374749,85.64036109776717,86.30355285091217,109.85550670657207,100.84601712247168,95.29518033027041
t3,109.2842338592007,127.26169414689609,119.94069536576112,89.95809809481284,91.36994595067326,94.74160936337732,102.02069390996553,90.66267148430121,104.94972665760264,119.88021131154191,98.21162006674622,92.4679013105547,99.26264761116362,101.85857855162742,100.42446618977196,92.2736002699597,105.04580336775199,99.58168999753818,100.47330880391775,96.44368068309115,80.6291191206344,85.64032617713774,86.09391352847575,109.58982308878794,100.59732332532616,95.06013749799581
t4,108.42011475174515,127.21276883271854,118.56880788115006,92.81946767446881,91.37009523801306,94.7415271160832,102.02072662791966,90.49641155283814,104.94940278266198,115.25425715301907,100.51618980359999,92.46900184215997,99.26243977459508,101.84914684284631,100.42465908266229,92.27394021771435,102.60192018392532,97.26538445571711,98.13673143109908,94.40842234838271,80.62863949737799,85.63929585056135,85.9362585520167,108.3359876271852,96.57736950124631,91.26165508059474
t5,94.15417999684215,114.05560933877787,106.30691282169491,92.93344938730326,91.37015029842169,94.79720549873251,102.08082522857097,90.60046691897642,105.0129497790898,103.32778135044822,103.27555949445279,95.00699996182344,99.32213461665062,96.17787175360378,100.42512779855886,92.28032814379908,102.66533683823147,97.32599101102237,98.19644846847453,94.08301251826079,80.63116262825699,85.63930480453723,86.03547110262902,106.90706199612944,96.24485835845746,90.94747963815601
t6,97.20937959298838,114.05305817727728,106.30764732892308,98.57559049795928,91.37013056028806,100.39961052520802,108.11395059074816,96.0988361878853,109.33697511480591,103.32454552686184,103.3062599492813,95.03631299092869,103.41234703693645,105.40348982033825,100.45412987568105,96.07141086091619,106.08015944064405,100.56305637205939,102.23751512547143,97.16115320614566,83.33699759604922,90.78235882174333,91.25797678519169,110.4035392639399,99.39399978567563,93.92335070082896
t7,99.69875483486871,114.05260299119911,109.02891898940972,106.60796013445066,91.37077979242477,111.05237873977234,109.87536031475143,106.27316681916156,114.76863567333446,103.32334132833948,111.90393080404665,102.94127350170503,108.54862811244665,111.3191030585541,108.82833227668704,100.83975833521232,102.64660109176593,106.80182910529753,107.31722220855083,103.24164270814794,95.58559532130019,101.50016891411278,100.91767510950517,113.23517141500861,107.69194873047361,101.76442395488296
t8,99.75304862958627,114.05208999580559,109.08691901503616,106.60766790603391,100.71254254762799,112.26083366393763,118.37121865425314,106.27528316312296,123.41949041499409,103.32285731948188,111.91341994749723,102.95284427287204,116.73120265826762,112.73605684151656,108.83006983380355,108.44388239114267,109.78004789087166,114.22422004833649,114.77635310502822,110.4181047942932,95.58561445260689,101.50733942033244,100.91955490607415,113.29328496203844,113.88269549481151,107.61448704643507
t9,99.74937773871156,114.05116051328037,109.08367939178108,79.71956099223236,82.02591541766952,112.26064657771563,119.23871266041053,106.27328925551953,124.31485153426422,103.32269049823981,100.45770579290635,92.41389682875197,117.57822078677174,98.94684993724749,100.36618504907273,109.23091965745068,109.77656468912399,114.22242226097387,114.77305457734637,110.4152338943647,90.4240227848525,101.50711543275646,100.91743519815617,113.2883392077712,113.8823000944328,107.61403414550959
t10,55.58556024713867,84.85161838825591,60.79538217208266,13.018105257806575,30.2992250707159,45.46694691725635,42.22232690197942,44.66912160511193,50.367360052691545,63.833049662299175,37.12904527339957,34.13653604434042,47.63506855566968,36.55084540987894,37.076679287654386,40.35203677759289,50.51004199121982,47.885095329646056,48.31110896694636,47.5175106732816,40.8582078351467,45.05347568908699,42.41786154114782,55.54849695442517,48.60978482848663,45.93422937556648
