Line,New_Trans_Capacity,Cost_Trans_Capacity
1,3.41641601049571e-5,3.41641601049571e7
2,1.2150915904432148e-7,121509.15904432148
3,1.3949983501360283e-7,139499.83501360283
4,1.7782822195862883e-7,177828.22195862883
5,1.1008015857544465e-7,110080.15857544466
6,1.760847827755754e-7,176084.7827755754
7,4.854062097759045e-9,4854.062097759046
8,1.8102502676121126e-7,181025.02676121128
9,9.582992687723723e-8,95829.92687723723
10,2.8377070640041427e-8,28377.070640041427
11,4.859429974407224e-9,4859.429974407224
12,5.017295767678782e-8,50172.95767678782
13,3.42900892095013e-7,342900.892095013
14,2.2527462579948033e-8,22527.46257994803
15,1.7197670272322644e-7,171976.70272322642
16,7.21587591865217e-8,72158.75918652171
17,1.3115121459854915e-7,131151.21459854915
18,4.213263059432254e-7,421326.30594322545
19,4.656738825631187e-8,46567.38825631187
20,1.7892440255813756e-11,17.892440255813753
21,9.071609590759259e-8,90716.0959075926
22,1.3063758222535232e-7,130637.58222535232
23,1.375862201250321e-7,137586.2201250321
24,1.8210320581324213e-7,182103.20581324212
25,2.122789931018994e-9,2122.789931018994
26,1.1082234745926153e-8,11082.234745926153
27,2.9319999217214942e-8,29319.999217214943
28,7.035174039031943e-8,70351.74039031942
29,8.596381482678182e-9,8596.381482678182
30,3.885792655540013e-8,38857.92655540014
31,1.318375897345044e-7,131837.58973450438
32,2.0162160326347438e-8,20162.16032634744
33,2.5959657899554825e-9,2595.9657899554827
34,5.0209731514819136e-8,50209.73151481914
35,2.5845967088925567e-8,25845.967088925565
36,2.0262961317579917e-8,20262.961317579917
37,3.501385906388223e-7,350138.5906388223
38,7.383993395580237e-8,73839.93395580236
39,1.4607234278611072e-11,14.60723427861107
40,1.3613768209010095e-11,13.613768209010095
41,1.3620504702648213e-9,1362.0504702648213
42,2.1417361740280147e-7,214173.61740280146
43,1.138239377034435e-7,113823.9377034435
44,2.4178642204467466e-8,24178.642204467465
45,3.442650149634958e-7,344265.01496349584
46,6.050571791400267e-8,60505.71791400267
47,1.9346472142650424e-7,193464.72142650423
48,2.921877362951533e-7,292187.73629515327
49,4.433478434964742e-9,4433.4784349647425
50,3.53146973337196e-8,35314.6973337196
51,3.294632040682747e-8,32946.32040682747
52,5.878960692292238e-8,58789.60692292238
53,1.0340636502168798e-7,103406.36502168798
54,6.06085151695786e-8,60608.515169578604
55,2.4948113935857756e-7,249481.13935857755
56,6.829454654763112e-8,68294.54654763114
57,1.9972303884087544e-7,199723.03884087544
