model,zone,resource_name,tech_type,unit,planning_year,case,start_value,end_value
USENSYS,ISNE,ISNE_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,ISNE,ISNE_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2040,26z-debug-foresight,0,6634
USENSYS,ISNE,ISNE_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,6634,17279
USENSYS,ISNE,ISNE_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,2073
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-foresight,0,3242
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug-foresight,0,1664
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug-foresight,0,3972
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_3,Wind,MW,2030,26z-debug-foresight,0,3005
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_4,Wind,MW,2040,26z-debug-foresight,0,2127
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_5,Wind,MW,2030,26z-debug-foresight,0,1002
USENSYS,ISNE,ISNE_offshorewind_class3_moderate_fixed_0_1,Wind,MW,2040,26z-debug-foresight,0,10
USENSYS,ISNE,ISNE_offshorewind_class3_moderate_fixed_0_1,Wind,MW,2050,26z-debug-foresight,10,36
USENSYS,ISNE,ISNE_offshorewind_class3_moderate_fixed_0_2,Wind,MW,2040,26z-debug-foresight,0,19
USENSYS,ISNE,ISNE_offshorewind_class3_moderate_fixed_1_1,Wind,MW,2040,26z-debug-foresight,0,5211
USENSYS,ISNE,ISNE_offshorewind_class3_moderate_fixed_1_1,Wind,MW,2050,26z-debug-foresight,5211,5212
USENSYS,ISNE,ISNE_utilitypv_class1_moderate_0,Solar,MW,2050,26z-debug-foresight,0,14517
USENSYS,ISNE,ISNE_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug-foresight,0,4912
USENSYS,ISNE,ISNE_utilitypv_class1_moderate_2,Solar,MW,2040,26z-debug-foresight,0,19569
USENSYS,ISNE,ISNE_utilitypv_class1_moderate_2,Solar,MW,2050,26z-debug-foresight,19569,22914
USENSYS,ISNE,ISNE_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug-foresight,0,17152
USENSYS,ISNE,ISNE_utilitypv_class1_moderate_5,Solar,MW,2050,26z-debug-foresight,17152,20871
USENSYS,MISC,MISC_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,MISC,MISC_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2040,26z-debug-foresight,0,2
USENSYS,MISC,MISC_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,2,19060
USENSYS,MISC,MISC_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,4989
