model,zone,fuel,planning_year,case,unit,value
USENSYS,MISC,east_north_central_uranium,2050,26z-debug-foresight,MMBtu,95056013
USENSYS,MISE,east_north_central_uranium,2030,26z-debug-foresight,MMBtu,75707129
USENSYS,MISE,east_north_central_uranium,2040,26z-debug-foresight,MMBtu,55659129
USENSYS,MISE,east_north_central_uranium,2050,26z-debug-foresight,MMBtu,53088142
USENSYS,MISW,east_north_central_uranium,2030,26z-debug-foresight,MMBtu,150763629
USENSYS,MISW,east_north_central_uranium,2040,26z-debug-foresight,MMBtu,103584196
USENSYS,MISW,east_north_central_uranium,2050,26z-debug-foresight,MMBtu,84567978
USENSYS,PJMC,east_north_central_uranium,2030,26z-debug-foresight,MMBtu,397001834
USENSYS,PJMC,east_north_central_uranium,2040,26z-debug-foresight,MMBtu,273387071
USENSYS,PJMC,east_north_central_uranium,2050,26z-debug-foresight,MMBtu,267026163
USENSYS,PJMW,east_north_central_uranium,2030,26z-debug-foresight,MMBtu,449526544
USENSYS,PJMW,east_north_central_uranium,2040,26z-debug-foresight,MMBtu,318288834
USENSYS,PJMW,east_north_central_uranium,2050,26z-debug-foresight,MMBtu,290254390
USENSYS,SRCE,east_south_central_coal,2030,26z-debug-foresight,MMBtu,604
USENSYS,SRCE,east_south_central_coal,2040,26z-debug-foresight,MMBtu,471
USENSYS,SRCE,east_south_central_coal,2050,26z-debug-foresight,MMBtu,-95
USENSYS,SRCE,east_south_central_distillate,2030,26z-debug-foresight,MMBtu,97
USENSYS,SRCE,east_south_central_distillate,2040,26z-debug-foresight,MMBtu,141
USENSYS,SRCE,east_south_central_distillate,2050,26z-debug-foresight,MMBtu,-49
USENSYS,SRCE,east_south_central_naturalgas,2030,26z-debug-foresight,MMBtu,113027338
USENSYS,SRCE,east_south_central_naturalgas,2040,26z-debug-foresight,MMBtu,65721354
USENSYS,SRCE,east_south_central_naturalgas,2050,26z-debug-foresight,MMBtu,-385
USENSYS,SRCE,east_south_central_naturalgas_ccs90,2030,26z-debug-foresight,MMBtu,7350
USENSYS,SRCE,east_south_central_naturalgas_ccs90,2040,26z-debug-foresight,MMBtu,5530
USENSYS,SRCE,east_south_central_naturalgas_ccs90,2050,26z-debug-foresight,MMBtu,28
USENSYS,SRCE,east_south_central_uranium,2030,26z-debug-foresight,MMBtu,546922219
USENSYS,SRCE,east_south_central_uranium,2040,26z-debug-foresight,MMBtu,377781672
USENSYS,SRCE,east_south_central_uranium,2050,26z-debug-foresight,MMBtu,357748842
USENSYS,BASN,hydrogen,2030,26z-debug-foresight,MMBtu,870
USENSYS,BASN,hydrogen,2040,26z-debug-foresight,MMBtu,1816946
USENSYS,BASN,hydrogen,2050,26z-debug-foresight,MMBtu,68677398
USENSYS,CANO,hydrogen,2030,26z-debug-foresight,MMBtu,749
