model,line_name,planning_year,case,unit,end_value
USENSYS,MISC_to_SPPS,2040,base-8760-perfect foresight-cheap transmission,MW,11720
USENSYS,MISC_to_SPPS,2050,base-8760-perfect foresight-cheap transmission,MW,11720
USENSYS,MISC_to_SRCE,2030,base-8760-perfect foresight-cheap transmission,MW,3745
USENSYS,MISC_to_SRCE,2040,base-8760-perfect foresight-cheap transmission,MW,20914
USENSYS,MISC_to_SRCE,2050,base-8760-perfect foresight-cheap transmission,MW,26031
USENSYS,MISE_to_MISW,2030,base-8760-perfect foresight-cheap transmission,MW,1393
USENSYS,MISE_to_MISW,2040,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,MISE_to_MISW,2050,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,MISE_to_PJMW,2030,base-8760-perfect foresight-cheap transmission,MW,4298
USENSYS,MISE_to_PJMW,2040,base-8760-perfect foresight-cheap transmission,MW,5071
USENSYS,MISE_to_PJMW,2050,base-8760-perfect foresight-cheap transmission,MW,5071
USENSYS,MISS_to_SPPC,2030,base-8760-perfect foresight-cheap transmission,MW,4051
USENSYS,MISS_to_SPPC,2040,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,MISS_to_SPPC,2050,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,MISS_to_SPPS,2030,base-8760-perfect foresight-cheap transmission,MW,11352
USENSYS,MISS_to_SPPS,2040,base-8760-perfect foresight-cheap transmission,MW,16970
USENSYS,MISS_to_SPPS,2050,base-8760-perfect foresight-cheap transmission,MW,16970
USENSYS,MISS_to_SRCE,2030,base-8760-perfect foresight-cheap transmission,MW,4092
USENSYS,MISS_to_SRCE,2040,base-8760-perfect foresight-cheap transmission,MW,6211
USENSYS,MISS_to_SRCE,2050,base-8760-perfect foresight-cheap transmission,MW,6211
USENSYS,MISS_to_SRSE,2030,base-8760-perfect foresight-cheap transmission,MW,7458
USENSYS,MISS_to_SRSE,2040,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,MISS_to_SRSE,2050,base-8760-perfect foresight-cheap transmission,MW,10000
USENSYS,MISW_to_NWPP,2030,base-8760-perfect foresight-cheap transmission,MW,200
USENSYS,MISW_to_NWPP,2040,base-8760-perfect foresight-cheap transmission,MW,200
USENSYS,MISW_to_NWPP,2050,base-8760-perfect foresight-cheap transmission,MW,2747
USENSYS,MISW_to_PJMC,2030,base-8760-perfect foresight-cheap transmission,MW,3200
USENSYS,MISW_to_PJMC,2040,base-8760-perfect foresight-cheap transmission,MW,32000
USENSYS,MISW_to_PJMC,2050,base-8760-perfect foresight-cheap transmission,MW,32000
USENSYS,MISW_to_SPPC,2030,base-8760-perfect foresight-cheap transmission,MW,3
USENSYS,MISW_to_SPPC,2040,base-8760-perfect foresight-cheap transmission,MW,3751
USENSYS,MISW_to_SPPC,2050,base-8760-perfect foresight-cheap transmission,MW,9317
USENSYS,MISW_to_SPPN,2030,base-8760-perfect foresight-cheap transmission,MW,7640
USENSYS,MISW_to_SPPN,2040,base-8760-perfect foresight-cheap transmission,MW,29842
USENSYS,MISW_to_SPPN,2050,base-8760-perfect foresight-cheap transmission,MW,42138
USENSYS,NWPP_to_RMRG,2030,base-8760-perfect foresight-cheap transmission,MW,1229
USENSYS,NWPP_to_RMRG,2040,base-8760-perfect foresight-cheap transmission,MW,1229
USENSYS,NWPP_to_RMRG,2050,base-8760-perfect foresight-cheap transmission,MW,9578
USENSYS,NWPP_to_SPPN,2030,base-8760-perfect foresight-cheap transmission,MW,1045
USENSYS,NWPP_to_SPPN,2040,base-8760-perfect foresight-cheap transmission,MW,5730
