model,zone,planning_year,case,value
GenX,BASN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,121013840.0
GenX,CANO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,121485248.0
GenX,CASO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,187618246.0
GenX,FRCC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,268073093.0
GenX,ISNE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,149215844.0
GenX,MISC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,193189559.0
GenX,MISE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,104832352.0
GenX,MISS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,187241263.0
GenX,MISW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,235759507.0
GenX,NWPP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,215695565.0
GenX,NYCW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,83763905.0
GenX,NYUP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,74964094.0
GenX,PJMC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,118908443.0
GenX,PJMD,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,117631722.0
GenX,PJME,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,310225669.0
GenX,PJMW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,321825433.0
GenX,RMRG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,98944515.0
GenX,SPPC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,79793871.0
GenX,SPPN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,52633715.0
GenX,SPPS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,130480125.0
GenX,SRCA,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,231681009.0
GenX,SRCE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,220124261.0
GenX,SRSE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,255536483.0
GenX,SRSG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,152828300.0
GenX,TRE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,450351579.0
GenX,TRE_WEST,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,20011114.0
GenX,BASN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,180140607.0
GenX,CANO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,165058797.0
GenX,CASO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,255246537.0
GenX,FRCC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,337389199.0
GenX,ISNE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,206364851.0
GenX,MISC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,257267232.0
GenX,MISE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,132830457.0
GenX,MISS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,245046354.0
GenX,MISW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,314256044.0
GenX,NWPP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,303378159.0
GenX,NYCW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,106887403.0
GenX,NYUP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,92035793.0
GenX,PJMC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,146854356.0
GenX,PJMD,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,147573495.0
GenX,PJME,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,392589733.0
GenX,PJMW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,406352442.0
GenX,RMRG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,147706477.0
GenX,SPPC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,105115425.0
GenX,SPPN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,73072529.0
GenX,SPPS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,177101903.0
GenX,SRCA,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,291751832.0
GenX,SRCE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,281891414.0
GenX,SRSE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,332754761.0
GenX,SRSG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,209095375.0
GenX,TRE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,564630647.0
GenX,TRE_WEST,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,25090936.0
GenX,BASN,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,226697332.0
GenX,CANO,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,206842299.0
GenX,CASO,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,320000794.0
GenX,FRCC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,401826175.0
GenX,ISNE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,230311040.0
GenX,MISC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,294302973.0
GenX,MISE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,149690812.0
GenX,MISS,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,288259585.0
GenX,MISW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,360591816.0
GenX,NWPP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,375891886.0
GenX,NYCW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,120775087.0
GenX,NYUP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,103000437.0
GenX,PJMC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,162366332.0
GenX,PJMD,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,170083440.0
GenX,PJME,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,445525580.0
GenX,PJMW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,459388754.0
GenX,RMRG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,185225628.0
GenX,SPPC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,120636713.0
GenX,SPPN,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,85986035.0
GenX,SPPS,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,209759166.0
GenX,SRCA,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,344847935.0
GenX,SRCE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,328433999.0
GenX,SRSE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,397627856.0
GenX,SRSG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,263737421.0
GenX,TRE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,660007920.0
GenX,TRE_WEST,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,29331431.0
