load_zone,fuel,period,fuel_cost
Western,Coal,2050,1.1713551240539202
Western,Naturalgas,2050,3.880091186824076
Western,Distillate,2050,23.768817368573917
Western,Uranium,2050,0.6270406280671781
ERCOT,Coal,2050,1.669830831832704
ERCOT,Naturalgas,2050,3.3527147478771933
ERCOT,Distillate,2050,20.31231468281765
ERCOT,Uranium,2050,0.6270406280671781
Eastern,Coal,2050,1.7359275468725974
Eastern,Naturalgas,2050,2.545148019579368
Eastern,Distillate,2050,24.59453991115819
Eastern,Uranium,2050,0.6270406280671781
