LOAD_ZONE,TIMEPOINT,zone_demand_mw
Eastern,2,433511
Eastern,3,404459
Eastern,4,389791
Eastern,5,384143
Eastern,6,380049
Eastern,7,385093
Eastern,8,398186
Eastern,9,412781
Eastern,10,428302
Eastern,11,447740
Eastern,12,470057
Eastern,13,491338
Eastern,14,506789
Eastern,15,505288
Eastern,16,508505
Eastern,17,517113
Eastern,18,544194
Eastern,19,566780
Eastern,20,585655
Eastern,21,590896
Eastern,22,580296
Eastern,23,562965
Eastern,24,533107
Eastern,25,488042
Eastern,26,430440
Eastern,27,394321
Eastern,28,386363
Eastern,29,388084
Eastern,30,396829
Eastern,31,418517
Eastern,32,453461
Eastern,33,495179
Eastern,34,524130
Eastern,35,533659
Eastern,36,541519
Eastern,37,551379
Eastern,38,552993
Eastern,39,538042
Eastern,40,540603
Eastern,41,577776
Eastern,42,653756
Eastern,43,741820
Eastern,44,733527
Eastern,45,651975
Eastern,46,602961
Eastern,47,583176
Eastern,48,552745
Eastern,49,518830
Eastern,50,496384
Eastern,51,478599
Eastern,52,472705
Eastern,53,477126
Eastern,54,492696
Eastern,55,532774
Eastern,56,623832
Eastern,57,702408
Eastern,58,712896
Eastern,59,692151
Eastern,60,673850
Eastern,61,670460
Eastern,62,664268
Eastern,63,644781
Eastern,64,642646
Eastern,65,683114
Eastern,66,768854
Eastern,67,866747
Eastern,68,864091
Eastern,69,786093
Eastern,70,743753
Eastern,71,674237
Eastern,72,622871
Eastern,73,583392
Eastern,74,556351
Eastern,75,537617
Eastern,76,530172
Eastern,77,532944
Eastern,78,546713
Eastern,79,585008
Eastern,80,679537
Eastern,81,752231
Eastern,82,745878
Eastern,83,707868
Eastern,84,676718
Eastern,85,663749
Eastern,86,650630
Eastern,87,625590
Eastern,88,620903
Eastern,89,657942
Eastern,90,738515
Eastern,91,832596
Eastern,92,824819
Eastern,93,747319
Eastern,94,697769
Eastern,95,622522
Eastern,96,570290
Eastern,97,529909
Eastern,98,498094
Eastern,99,480168
Eastern,100,471879
Eastern,101,473528
Eastern,102,486665
Eastern,103,525173
Eastern,104,606443
Eastern,105,668316
Eastern,106,664381
Eastern,107,631597
Eastern,108,605301
Eastern,109,597339
Eastern,110,590117
Eastern,111,570048
Eastern,112,560620
Eastern,113,589919
Eastern,114,661546
Eastern,115,749653
Eastern,116,745394
Eastern,117,669508
Eastern,118,623167
Eastern,119,565580
Eastern,120,523392
Eastern,121,486339
Eastern,122,456361
Eastern,123,439414
Eastern,124,430740
Eastern,125,432656
Eastern,126,444958
Eastern,127,480909
Eastern,128,550128
Eastern,129,608307
Eastern,130,607929
Eastern,131,580813
Eastern,132,561321
Eastern,133,556013
Eastern,134,546898
Eastern,135,526205
Eastern,136,520071
Eastern,137,546956
Eastern,138,608282
Eastern,139,684178
Eastern,140,667514
Eastern,141,588024
Eastern,142,549263
Eastern,143,507703
Eastern,144,472693
Eastern,145,440904
Eastern,146,431731
Eastern,147,416589
Eastern,148,401854
Eastern,149,399020
Eastern,150,398629
Eastern,151,412098
Eastern,152,437978
Eastern,153,459007
Eastern,154,475850
Eastern,155,495153
Eastern,156,514683
Eastern,157,530795
Eastern,158,538393
Eastern,159,526087
Eastern,160,518896
Eastern,161,526255
Eastern,162,550035
Eastern,163,571607
Eastern,164,588689
Eastern,165,593321
Eastern,166,580534
Eastern,167,566584
Eastern,168,536276
Eastern,169,489324
Eastern,170,444673
Eastern,171,411425
Eastern,172,399187
Eastern,173,397599
Eastern,174,397301
Eastern,175,406239
Eastern,176,424320
Eastern,177,446368
Eastern,178,466900
Eastern,179,487295
Eastern,180,506066
Eastern,181,523861
Eastern,182,539262
Eastern,183,537801
Eastern,184,536267
Eastern,185,547348
Eastern,186,575138
Eastern,187,602073
Eastern,188,623463
Eastern,189,634323
Eastern,190,620068
Eastern,191,594423
Eastern,192,555182
Eastern,193,504800
Eastern,194,439979
Eastern,195,404239
Eastern,196,397100
Eastern,197,399627
Eastern,198,413102
Eastern,199,450444
Eastern,200,523993
Eastern,201,591545
Eastern,202,603894
Eastern,203,590336
Eastern,204,582745
Eastern,205,583597
Eastern,206,583391
Eastern,207,572843
Eastern,208,568388
Eastern,209,598197
Eastern,210,657710
Eastern,211,735729
Eastern,212,724817
Eastern,213,646000
Eastern,214,599603
Eastern,215,541573
Eastern,216,495487
Eastern,217,458461
Eastern,218,431412
Eastern,219,414269
Eastern,220,405715
Eastern,221,407072
Eastern,222,418529
Eastern,223,454943
Eastern,224,523501
Eastern,225,587972
Eastern,226,597453
Eastern,227,581017
Eastern,228,569558
Eastern,229,568059
Eastern,230,563413
Eastern,231,548975
Eastern,232,543855
Eastern,233,574693
Eastern,234,638361
Eastern,235,715536
Eastern,236,707501
Eastern,237,632299
Eastern,238,586620
Eastern,239,534206
Eastern,240,489484
Eastern,241,453869
Eastern,242,428907
Eastern,243,412139
Eastern,244,403394
Eastern,245,403621
Eastern,246,414622
Eastern,247,449235
Eastern,248,518192
Eastern,249,583651
Eastern,250,596216
Eastern,251,582994
Eastern,252,574550
Eastern,253,575344
Eastern,254,576190
Eastern,255,564888
Eastern,256,564916
Eastern,257,599090
Eastern,258,664555
Eastern,259,740322
Eastern,260,730344
Eastern,261,655081
Eastern,262,607247
Eastern,263,543150
Eastern,264,496912
Eastern,265,459096
Eastern,266,430944
Eastern,267,413068
