WATER_NODES,TIMEPOINTS,wnode_tp_inflow,wnode_tp_consumption
ERCOT_conventional_hydroelectric_1_inlet,94,11.657628144,0
ERCOT_conventional_hydroelectric_1_inlet,95,11.602639331999999,0
ERCOT_conventional_hydroelectric_1_inlet,96,11.602639331999999,0
ERCOT_conventional_hydroelectric_1_inlet,97,11.547650520000001,0
ERCOT_conventional_hydroelectric_1_inlet,98,11.492661708,0
ERCOT_conventional_hydroelectric_1_inlet,99,11.492661708,0
ERCOT_conventional_hydroelectric_1_inlet,100,11.437672895999999,0
ERCOT_conventional_hydroelectric_1_inlet,101,11.382684084000001,0
ERCOT_conventional_hydroelectric_1_inlet,102,11.382684084000001,0
ERCOT_conventional_hydroelectric_1_inlet,103,11.327695272,0
ERCOT_conventional_hydroelectric_1_inlet,104,11.27270646,0
ERCOT_conventional_hydroelectric_1_inlet,105,11.217717648000002,0
ERCOT_conventional_hydroelectric_1_inlet,106,11.217717648000002,0
ERCOT_conventional_hydroelectric_1_inlet,107,11.162728836,0
ERCOT_conventional_hydroelectric_1_inlet,108,11.107740024,0
ERCOT_conventional_hydroelectric_1_inlet,109,11.107740024,0
ERCOT_conventional_hydroelectric_1_inlet,110,11.052751212,0
ERCOT_conventional_hydroelectric_1_inlet,111,10.997762400000001,0
ERCOT_conventional_hydroelectric_1_inlet,112,10.997762400000001,0
ERCOT_conventional_hydroelectric_1_inlet,113,10.942773588,0
ERCOT_conventional_hydroelectric_1_inlet,114,10.887784776,0
ERCOT_conventional_hydroelectric_1_inlet,115,10.832795964,0
ERCOT_conventional_hydroelectric_1_inlet,116,10.832795964,0
ERCOT_conventional_hydroelectric_1_inlet,117,10.777807152,0
ERCOT_conventional_hydroelectric_1_inlet,118,10.72281834,0
ERCOT_conventional_hydroelectric_1_inlet,119,10.72281834,0
ERCOT_conventional_hydroelectric_1_inlet,120,10.667829528,0
ERCOT_conventional_hydroelectric_1_inlet,121,10.612840716000001,0
ERCOT_conventional_hydroelectric_1_inlet,122,10.612840716000001,0
ERCOT_conventional_hydroelectric_1_inlet,123,10.557851903999998,0
ERCOT_conventional_hydroelectric_1_inlet,124,10.502863092,0
ERCOT_conventional_hydroelectric_1_inlet,125,10.44787428,0
ERCOT_conventional_hydroelectric_1_inlet,126,10.44787428,0
ERCOT_conventional_hydroelectric_1_inlet,127,10.392885468,0
ERCOT_conventional_hydroelectric_1_inlet,128,10.337896656000002,0
ERCOT_conventional_hydroelectric_1_inlet,129,10.337896656000002,0
ERCOT_conventional_hydroelectric_1_inlet,130,10.282907844,0
ERCOT_conventional_hydroelectric_1_inlet,131,10.227919031999999,0
ERCOT_conventional_hydroelectric_1_inlet,132,10.227919031999999,0
ERCOT_conventional_hydroelectric_1_inlet,133,10.17293022,0
ERCOT_conventional_hydroelectric_1_inlet,134,10.117941408,0
ERCOT_conventional_hydroelectric_1_inlet,135,10.062952596,0
ERCOT_conventional_hydroelectric_1_inlet,136,10.062952596,0
ERCOT_conventional_hydroelectric_1_inlet,137,10.007963784000001,0
ERCOT_conventional_hydroelectric_1_inlet,138,9.952974972000002,0
ERCOT_conventional_hydroelectric_1_inlet,139,9.952974972000002,0
ERCOT_conventional_hydroelectric_1_inlet,140,9.897986159999999,0
ERCOT_conventional_hydroelectric_1_inlet,141,9.842997347999999,0
ERCOT_conventional_hydroelectric_1_inlet,142,9.842997347999999,0
ERCOT_conventional_hydroelectric_1_inlet,143,9.788008536,0
ERCOT_conventional_hydroelectric_1_inlet,144,9.733019724,0
ERCOT_conventional_hydroelectric_1_inlet,145,9.733019724,0
ERCOT_conventional_hydroelectric_1_inlet,146,9.678030912,0
ERCOT_conventional_hydroelectric_1_inlet,147,9.623042100000001,0
ERCOT_conventional_hydroelectric_1_inlet,148,9.568053288,0
