GENERATION_PROJECT,build_year,build_gen_predetermined,build_gen_energy_predetermined
ERCOT_natural_gas_fired_combustion_turbine_1,2006,4.6,.
ERCOT_natural_gas_fired_combustion_turbine_1,2009,15.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,2019,187.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,2018,490.4,.
ERCOT_natural_gas_fired_combustion_turbine_1,2017,184.0,.
ERCOT_natural_gas_fired_combustion_turbine_1,2021,921.9,.
ERCOT_natural_gas_fired_combustion_turbine_1,2022,889.1999999999999,.
ERCOT_natural_gas_steam_turbine_1,1970,1138.0,.
ERCOT_natural_gas_steam_turbine_1,1973,584.0,.
ERCOT_natural_gas_steam_turbine_1,1956,122.0,.
ERCOT_natural_gas_steam_turbine_1,1958,289.0,.
ERCOT_natural_gas_steam_turbine_1,1967,657.0,.
ERCOT_natural_gas_steam_turbine_1,1972,1224.0,.
ERCOT_natural_gas_steam_turbine_1,1960,234.0,.
ERCOT_natural_gas_steam_turbine_1,1969,413.0,.
ERCOT_natural_gas_steam_turbine_1,1963,395.0,.
ERCOT_natural_gas_steam_turbine_1,1976,573.0,.
ERCOT_natural_gas_steam_turbine_1,1977,435.0,.
ERCOT_natural_gas_steam_turbine_1,1965,877.0,.
ERCOT_natural_gas_steam_turbine_1,1971,107.0,.
ERCOT_natural_gas_steam_turbine_1,1968,206.0,.
ERCOT_natural_gas_steam_turbine_1,1975,200.0,.
ERCOT_natural_gas_steam_turbine_1,1966,79.0,.
ERCOT_natural_gas_steam_turbine_1,1978,151.0,.
ERCOT_natural_gas_steam_turbine_1,1974,292.0,.
ERCOT_natural_gas_steam_turbine_1,1988,2.3,.
ERCOT_natural_gas_steam_turbine_1,1993,5.2,.
ERCOT_natural_gas_steam_turbine_1,2000,42.5,.
ERCOT_natural_gas_steam_turbine_1,1987,36.0,.
ERCOT_natural_gas_steam_turbine_1,1964,15.0,.
ERCOT_natural_gas_steam_turbine_1,2012,286.2,.
ERCOT_nuclear_1,1990,1235.0,.
ERCOT_nuclear_1,1993,1225.0,.
ERCOT_nuclear_1,1988,1340.0,.
ERCOT_nuclear_1,1989,1320.0,.
ERCOT_onshore_wind_turbine_1,1998,34.3,.
ERCOT_onshore_wind_turbine_1,2001,752.5,.
ERCOT_onshore_wind_turbine_1,2002,167.7,.
ERCOT_onshore_wind_turbine_1,2003,197.5,.
ERCOT_onshore_wind_turbine_1,2005,569.8,.
ERCOT_onshore_wind_turbine_1,2006,851.3000000000001,.
ERCOT_onshore_wind_turbine_1,2007,1515.5,.
ERCOT_onshore_wind_turbine_1,2008,2753.2,.
ERCOT_onshore_wind_turbine_1,2009,1774.9,.
ERCOT_onshore_wind_turbine_1,2016,2342.5,.
ERCOT_onshore_wind_turbine_1,2010,701.7,.
ERCOT_onshore_wind_turbine_1,2011,340.0,.
ERCOT_onshore_wind_turbine_1,2012,1351.6,.
ERCOT_onshore_wind_turbine_1,2014,1738.6,.
ERCOT_onshore_wind_turbine_1,2015,3413.9,.
ERCOT_onshore_wind_turbine_1,2013,150.0,.
ERCOT_onshore_wind_turbine_1,2019,3257.5,.
ERCOT_onshore_wind_turbine_1,2018,1289.5,.
ERCOT_onshore_wind_turbine_1,2017,2121.1,.
ERCOT_onshore_wind_turbine_1,2024,428.0,.
ERCOT_onshore_wind_turbine_1,2023,2276.8,.
ERCOT_onshore_wind_turbine_1,2021,4069.5,.
ERCOT_onshore_wind_turbine_1,2022,3825.9,.
ERCOT_solar_photovoltaic_1,2010,13.5,.
ERCOT_solar_photovoltaic_1,2021,3755.3,.
ERCOT_solar_photovoltaic_1,2011,30.0,.
ERCOT_solar_photovoltaic_1,2012,31.700000000000003,.
ERCOT_solar_photovoltaic_1,2013,50.7,.
ERCOT_solar_photovoltaic_1,2015,139.3,.
ERCOT_solar_photovoltaic_1,2014,44.0,.
ERCOT_solar_photovoltaic_1,2017,661.3,.
ERCOT_solar_photovoltaic_1,2016,263.5,.
ERCOT_solar_photovoltaic_1,2018,658.6,.
ERCOT_solar_photovoltaic_1,2019,496.5,.
ERCOT_solar_photovoltaic_1,2022,2698.0,.
ERCOT_solar_photovoltaic_1,2023,6591.8,.
ERCOT_solar_photovoltaic_1,2024,3477.0,.
Eastern_batteries_1,2016,91.2,182.9
Eastern_batteries_1,2019,141.2,295.4
Eastern_batteries_1,2023,442.9,886.3
Eastern_batteries_1,2015,94.0,163.1
Eastern_batteries_1,2017,8.299999999999999,14.9
Eastern_batteries_1,2024,27.9,55.8
Eastern_batteries_1,2018,87.7,161.8
Eastern_batteries_1,2014,24.0,48.0
Eastern_batteries_1,2011,16.0,32.0
Eastern_batteries_1,2021,673.6,1412.3
Eastern_batteries_1,2012,1.0,2.0
Eastern_batteries_1,2013,1.5,3.0
Eastern_batteries_1,2022,218.9,438.8
Eastern_batteries_1,1970,2.0,2.0
Eastern_batteries_1,1998,1.0,1.0
Eastern_conventional_hydroelectric_1,1963,1219.5,.
Eastern_conventional_hydroelectric_1,1967,490.8,.
Eastern_conventional_hydroelectric_1,1966,576.6,.
Eastern_conventional_hydroelectric_1,1968,297.0,.
Eastern_conventional_hydroelectric_1,1929,171.4,.
Eastern_conventional_hydroelectric_1,1964,960.4,.
