model,zone,planning_year,unit,case,value
USENSYS,BASN,2030,MWh,26z-debug-noCO2Cap,117967457
USENSYS,BASN,2040,MWh,26z-debug-noCO2Cap,177701872
USENSYS,BASN,2050,MWh,26z-debug-noCO2Cap,223860423
USENSYS,CANO,2030,MWh,26z-debug-noCO2Cap,115811443
USENSYS,CANO,2040,MWh,26z-debug-noCO2Cap,159208201
USENSYS,CANO,2050,MWh,26z-debug-noCO2Cap,200081691
USENSYS,CASO,2030,MWh,26z-debug-noCO2Cap,179015113
USENSYS,CASO,2040,MWh,26z-debug-noCO2Cap,246542822
USENSYS,CASO,2050,MWh,26z-debug-noCO2Cap,310045306
USENSYS,FRCC,2030,MWh,26z-debug-noCO2Cap,264370308
USENSYS,FRCC,2040,MWh,26z-debug-noCO2Cap,334927853
USENSYS,FRCC,2050,MWh,26z-debug-noCO2Cap,399185859
USENSYS,ISNE,2030,MWh,26z-debug-noCO2Cap,149868245
USENSYS,ISNE,2040,MWh,26z-debug-noCO2Cap,211206453
USENSYS,ISNE,2050,MWh,26z-debug-noCO2Cap,234821856
USENSYS,MISC,2030,MWh,26z-debug-noCO2Cap,201421378
USENSYS,MISC,2040,MWh,26z-debug-noCO2Cap,265023586
USENSYS,MISC,2050,MWh,26z-debug-noCO2Cap,303238214
USENSYS,MISE,2030,MWh,26z-debug-noCO2Cap,108904405
USENSYS,MISE,2040,MWh,26z-debug-noCO2Cap,137519998
USENSYS,MISE,2050,MWh,26z-debug-noCO2Cap,155049203
USENSYS,MISS,2030,MWh,26z-debug-noCO2Cap,185982414
USENSYS,MISS,2040,MWh,26z-debug-noCO2Cap,243208747
USENSYS,MISS,2050,MWh,26z-debug-noCO2Cap,286247421
USENSYS,MISW,2030,MWh,26z-debug-noCO2Cap,245266219
USENSYS,MISW,2040,MWh,26z-debug-noCO2Cap,325168434
USENSYS,MISW,2050,MWh,26z-debug-noCO2Cap,373224668
