model,zone,fuel,planning_year,case,unit,value
USENSYS,MISC,east_north_central_coal,2030,26z-debug-noCO2Cap,MMBtu,1327297192
USENSYS,MISE,east_north_central_coal,2030,26z-debug-noCO2Cap,MMBtu,290191857
USENSYS,MISW,east_north_central_coal,2030,26z-debug-noCO2Cap,MMBtu,848230424
USENSYS,PJMC,east_north_central_coal,2030,26z-debug-noCO2Cap,MMBtu,3848782
USENSYS,PJMW,east_north_central_coal,2030,26z-debug-noCO2Cap,MMBtu,1642602309
USENSYS,MISC,east_north_central_distillate,2030,26z-debug-noCO2Cap,MMBtu,-1682
USENSYS,MISE,east_north_central_distillate,2030,26z-debug-noCO2Cap,MMBtu,-2752
USENSYS,MISW,east_north_central_distillate,2030,26z-debug-noCO2Cap,MMBtu,78687
USENSYS,PJMC,east_north_central_distillate,2030,26z-debug-noCO2Cap,MMBtu,2474
USENSYS,PJMW,east_north_central_distillate,2030,26z-debug-noCO2Cap,MMBtu,-489
USENSYS,MISC,east_north_central_naturalgas,2030,26z-debug-noCO2Cap,MMBtu,137184263
USENSYS,MISE,east_north_central_naturalgas,2030,26z-debug-noCO2Cap,MMBtu,287717694
USENSYS,MISW,east_north_central_naturalgas,2030,26z-debug-noCO2Cap,MMBtu,232324852
USENSYS,PJMC,east_north_central_naturalgas,2030,26z-debug-noCO2Cap,MMBtu,229928431
USENSYS,PJMW,east_north_central_naturalgas,2030,26z-debug-noCO2Cap,MMBtu,920945854
USENSYS,MISC,east_north_central_naturalgas_ccs90,2030,26z-debug-noCO2Cap,MMBtu,36565
USENSYS,MISE,east_north_central_naturalgas_ccs90,2030,26z-debug-noCO2Cap,MMBtu,37033
USENSYS,MISW,east_north_central_naturalgas_ccs90,2030,26z-debug-noCO2Cap,MMBtu,36459
USENSYS,PJMC,east_north_central_naturalgas_ccs90,2030,26z-debug-noCO2Cap,MMBtu,35874
USENSYS,PJMW,east_north_central_naturalgas_ccs90,2030,26z-debug-noCO2Cap,MMBtu,35530
USENSYS,MISC,east_north_central_uranium,2030,26z-debug-noCO2Cap,MMBtu,217132600
USENSYS,MISE,east_north_central_uranium,2030,26z-debug-noCO2Cap,MMBtu,106712703
USENSYS,MISW,east_north_central_uranium,2030,26z-debug-noCO2Cap,MMBtu,267252446
USENSYS,PJMC,east_north_central_uranium,2030,26z-debug-noCO2Cap,MMBtu,596369167
