model,zone,resource_name,tech_type,unit,planning_year,case,start_value,end_value
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug-noCO2Cap,0,5875
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug-noCO2Cap,0,2855
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,MW,2040,26z-debug-noCO2Cap,0,15935
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,MW,2050,26z-debug-noCO2Cap,15936,28310
USENSYS,BASN,BASN_naturalgas_ccavgcf_moderate_0,Natural Gas,MW,2050,26z-debug-noCO2Cap,0,3701
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,MW,2040,26z-debug-noCO2Cap,0,6016
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,MW,2050,26z-debug-noCO2Cap,6016,18308
USENSYS,CANO,CANO_utilitypv_class1_moderate_1,Solar,MW,2050,26z-debug-noCO2Cap,0,425
USENSYS,CANO,CANO_utilitypv_class1_moderate_3,Solar,MW,2040,26z-debug-noCO2Cap,0,9163
USENSYS,CANO,CANO_utilitypv_class1_moderate_3,Solar,MW,2050,26z-debug-noCO2Cap,9162,30758
USENSYS,CASO,CASO_naturalgas_ccavgcf_moderate_0,Natural Gas,MW,2050,26z-debug-noCO2Cap,0,9124
USENSYS,CASO,CASO_utilitypv_class1_moderate_0,Solar,MW,2050,26z-debug-noCO2Cap,0,10586
USENSYS,CASO,CASO_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug-noCO2Cap,0,9215
USENSYS,CASO,CASO_utilitypv_class1_moderate_1,Solar,MW,2050,26z-debug-noCO2Cap,9215,20949
USENSYS,CASO,CASO_utilitypv_class1_moderate_3,Solar,MW,2040,26z-debug-noCO2Cap,0,15870
USENSYS,CASO,CASO_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug-noCO2Cap,0,138
USENSYS,CASO,CASO_utilitypv_class1_moderate_5,Solar,MW,2040,26z-debug-noCO2Cap,138,3314
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_1,Wind,MW,2050,26z-debug-noCO2Cap,0,1734
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_2,Wind,MW,2050,26z-debug-noCO2Cap,0,9415
USENSYS,FRCC,FRCC_naturalgas_ccavgcf_moderate_0,Natural Gas,MW,2050,26z-debug-noCO2Cap,0,218
USENSYS,FRCC,FRCC_utilitypv_class1_moderate_0,Solar,MW,2050,26z-debug-noCO2Cap,0,17176
USENSYS,FRCC,FRCC_utilitypv_class1_moderate_2,Solar,MW,2040,26z-debug-noCO2Cap,0,39680
USENSYS,FRCC,FRCC_utilitypv_class1_moderate_2,Solar,MW,2050,26z-debug-noCO2Cap,39680,50573
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-noCO2Cap,0,3242
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug-noCO2Cap,0,1664
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_2,Wind,MW,2040,26z-debug-noCO2Cap,0,3972
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_3,Wind,MW,2040,26z-debug-noCO2Cap,0,3005
USENSYS,ISNE,ISNE_landbasedwind_class3_moderate_5,Wind,MW,2050,26z-debug-noCO2Cap,0,1002
USENSYS,ISNE,ISNE_naturalgas_ccavgcf_moderate_0,Natural Gas,MW,2030,26z-debug-noCO2Cap,0,3847
USENSYS,ISNE,ISNE_naturalgas_ccavgcf_moderate_0,Natural Gas,MW,2040,26z-debug-noCO2Cap,3847,11696
USENSYS,ISNE,ISNE_naturalgas_ctavgcf_moderate_0,Natural Gas,MW,2040,26z-debug-noCO2Cap,0,10474
USENSYS,ISNE,ISNE_naturalgas_ctavgcf_moderate_0,Natural Gas,MW,2050,26z-debug-noCO2Cap,10474,10704
USENSYS,ISNE,ISNE_utilitypv_class1_moderate_0,Solar,MW,2030,26z-debug-noCO2Cap,0,4207
USENSYS,ISNE,ISNE_utilitypv_class1_moderate_0,Solar,MW,2040,26z-debug-noCO2Cap,4207,16515
USENSYS,ISNE,ISNE_utilitypv_class1_moderate_0,Solar,MW,2050,26z-debug-noCO2Cap,16515,25411
USENSYS,MISC,MISC_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug-noCO2Cap,0,25025
USENSYS,MISC,MISC_landbasedwind_class3_moderate_0,Wind,MW,2050,26z-debug-noCO2Cap,25025,25592
USENSYS,MISC,MISC_naturalgas_ccavgcf_moderate_0,Natural Gas,MW,2040,26z-debug-noCO2Cap,0,4037
USENSYS,MISC,MISC_naturalgas_ccavgcf_moderate_0,Natural Gas,MW,2050,26z-debug-noCO2Cap,4037,20553
USENSYS,MISC,MISC_utilitypv_class1_moderate_5,Solar,MW,2040,26z-debug-noCO2Cap,0,24436
USENSYS,MISE,MISE_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug-noCO2Cap,0,1062
USENSYS,MISE,MISE_landbasedwind_class3_moderate_1,Wind,MW,2040,26z-debug-noCO2Cap,0,694
USENSYS,MISE,MISE_landbasedwind_class3_moderate_2,Wind,MW,2040,26z-debug-noCO2Cap,0,985
USENSYS,MISE,MISE_landbasedwind_class3_moderate_3,Wind,MW,2040,26z-debug-noCO2Cap,0,773
USENSYS,MISE,MISE_landbasedwind_class3_moderate_4,Wind,MW,2040,26z-debug-noCO2Cap,0,1082
USENSYS,MISE,MISE_landbasedwind_class3_moderate_5,Wind,MW,2050,26z-debug-noCO2Cap,-1,670
USENSYS,MISE,MISE_naturalgas_ccavgcf_moderate_0,Natural Gas,MW,2040,26z-debug-noCO2Cap,0,1283
