hour,zone,planning_year,model,case,value
89,ISNE,2030,USENSYS,26z-debug-noCO2Cap,301.3
90,ISNE,2030,USENSYS,26z-debug-noCO2Cap,4337.2
91,ISNE,2030,USENSYS,26z-debug-noCO2Cap,3810.1
92,ISNE,2030,USENSYS,26z-debug-noCO2Cap,15175
93,ISNE,2030,USENSYS,26z-debug-noCO2Cap,96.2
4769,MISW,2030,USENSYS,26z-debug-noCO2Cap,280.3
4770,MISW,2030,USENSYS,26z-debug-noCO2Cap,390.3
90,NYCW,2030,USENSYS,26z-debug-noCO2Cap,160.4
91,NYCW,2030,USENSYS,26z-debug-noCO2Cap,624
92,NYCW,2030,USENSYS,26z-debug-noCO2Cap,704.7
93,NYCW,2030,USENSYS,26z-debug-noCO2Cap,708.2
4769,NYCW,2030,USENSYS,26z-debug-noCO2Cap,115.1
4770,NYCW,2030,USENSYS,26z-debug-noCO2Cap,160.8
4627,BASN,2040,USENSYS,26z-debug-noCO2Cap,63.5
4628,BASN,2040,USENSYS,26z-debug-noCO2Cap,2563.7
4629,BASN,2040,USENSYS,26z-debug-noCO2Cap,2415.5
4630,BASN,2040,USENSYS,26z-debug-noCO2Cap,594.1
4627,CASO,2040,USENSYS,26z-debug-noCO2Cap,196.9
4628,CASO,2040,USENSYS,26z-debug-noCO2Cap,1350.8
4629,CASO,2040,USENSYS,26z-debug-noCO2Cap,1465.8
4630,CASO,2040,USENSYS,26z-debug-noCO2Cap,1344.4
4631,CASO,2040,USENSYS,26z-debug-noCO2Cap,687.4
89,ISNE,2040,USENSYS,26z-debug-noCO2Cap,3707.4
90,ISNE,2040,USENSYS,26z-debug-noCO2Cap,12148.5
91,ISNE,2040,USENSYS,26z-debug-noCO2Cap,20151.4
92,ISNE,2040,USENSYS,26z-debug-noCO2Cap,21039.9
93,ISNE,2040,USENSYS,26z-debug-noCO2Cap,11197.3
440,ISNE,2040,USENSYS,26z-debug-noCO2Cap,923.7
441,ISNE,2040,USENSYS,26z-debug-noCO2Cap,896.9
442,ISNE,2040,USENSYS,26z-debug-noCO2Cap,426.1
450,ISNE,2040,USENSYS,26z-debug-noCO2Cap,2948.6
451,ISNE,2040,USENSYS,26z-debug-noCO2Cap,6704.9
452,ISNE,2040,USENSYS,26z-debug-noCO2Cap,7970.1
453,ISNE,2040,USENSYS,26z-debug-noCO2Cap,3397.5
4769,MISW,2040,USENSYS,26z-debug-noCO2Cap,374.3
4770,MISW,2040,USENSYS,26z-debug-noCO2Cap,1814.2
4771,MISW,2040,USENSYS,26z-debug-noCO2Cap,1960.6
4772,MISW,2040,USENSYS,26z-debug-noCO2Cap,128.1
8274,MISW,2040,USENSYS,26z-debug-noCO2Cap,127.2
8275,MISW,2040,USENSYS,26z-debug-noCO2Cap,15741.1
8276,MISW,2040,USENSYS,26z-debug-noCO2Cap,1452.5
8277,MISW,2040,USENSYS,26z-debug-noCO2Cap,314.4
429,NWPP,2040,USENSYS,26z-debug-noCO2Cap,13.1
89,NYCW,2040,USENSYS,26z-debug-noCO2Cap,349.7
90,NYCW,2040,USENSYS,26z-debug-noCO2Cap,1301.5
91,NYCW,2040,USENSYS,26z-debug-noCO2Cap,1952
92,NYCW,2040,USENSYS,26z-debug-noCO2Cap,1180.9
93,NYCW,2040,USENSYS,26z-debug-noCO2Cap,578.4
8275,TRE,2040,USENSYS,26z-debug-noCO2Cap,82.5
8276,TRE,2040,USENSYS,26z-debug-noCO2Cap,7258
8277,TRE,2040,USENSYS,26z-debug-noCO2Cap,5386.6
8278,TRE,2040,USENSYS,26z-debug-noCO2Cap,157.8
8279,TRE,2040,USENSYS,26z-debug-noCO2Cap,124
3737,FRCC,2050,USENSYS,26z-debug-noCO2Cap,131.4
3738,FRCC,2050,USENSYS,26z-debug-noCO2Cap,136.5
3739,FRCC,2050,USENSYS,26z-debug-noCO2Cap,134.3
3740,FRCC,2050,USENSYS,26z-debug-noCO2Cap,125.6
88,ISNE,2050,USENSYS,26z-debug-noCO2Cap,525.2
89,ISNE,2050,USENSYS,26z-debug-noCO2Cap,9219.4
90,ISNE,2050,USENSYS,26z-debug-noCO2Cap,22838.6
91,ISNE,2050,USENSYS,26z-debug-noCO2Cap,24951.3
92,ISNE,2050,USENSYS,26z-debug-noCO2Cap,13426.2
93,ISNE,2050,USENSYS,26z-debug-noCO2Cap,3297.4
449,ISNE,2050,USENSYS,26z-debug-noCO2Cap,588.8
450,ISNE,2050,USENSYS,26z-debug-noCO2Cap,5055.4
451,ISNE,2050,USENSYS,26z-debug-noCO2Cap,5538.8
452,ISNE,2050,USENSYS,26z-debug-noCO2Cap,2731.1
453,ISNE,2050,USENSYS,26z-debug-noCO2Cap,1137.2
8275,MISC,2050,USENSYS,26z-debug-noCO2Cap,2545.7
8276,MISC,2050,USENSYS,26z-debug-noCO2Cap,791.2
8274,MISW,2050,USENSYS,26z-debug-noCO2Cap,5357.2
8275,MISW,2050,USENSYS,26z-debug-noCO2Cap,15367.9
8276,MISW,2050,USENSYS,26z-debug-noCO2Cap,6800.5
8277,MISW,2050,USENSYS,26z-debug-noCO2Cap,2701.3
8278,MISW,2050,USENSYS,26z-debug-noCO2Cap,1128.4
8732,NWPP,2050,USENSYS,26z-debug-noCO2Cap,2078.1
8733,NWPP,2050,USENSYS,26z-debug-noCO2Cap,4296.3
8734,NWPP,2050,USENSYS,26z-debug-noCO2Cap,3800.8
8735,NWPP,2050,USENSYS,26z-debug-noCO2Cap,2604.9
8736,NWPP,2050,USENSYS,26z-debug-noCO2Cap,1468.8
8737,NWPP,2050,USENSYS,26z-debug-noCO2Cap,564.3
8738,NWPP,2050,USENSYS,26z-debug-noCO2Cap,10.9
88,NYCW,2050,USENSYS,26z-debug-noCO2Cap,141.8
89,NYCW,2050,USENSYS,26z-debug-noCO2Cap,2005
90,NYCW,2050,USENSYS,26z-debug-noCO2Cap,4046.7
91,NYCW,2050,USENSYS,26z-debug-noCO2Cap,2808.5
92,NYCW,2050,USENSYS,26z-debug-noCO2Cap,1197.3
93,NYCW,2050,USENSYS,26z-debug-noCO2Cap,535.4
8275,SPPC,2050,USENSYS,26z-debug-noCO2Cap,957.3
8276,SPPC,2050,USENSYS,26z-debug-noCO2Cap,765.6
8277,SPPC,2050,USENSYS,26z-debug-noCO2Cap,105.4
8275,TRE,2050,USENSYS,26z-debug-noCO2Cap,13655.2
8276,TRE,2050,USENSYS,26z-debug-noCO2Cap,24252.1
8277,TRE,2050,USENSYS,26z-debug-noCO2Cap,8030.4
8278,TRE,2050,USENSYS,26z-debug-noCO2Cap,2100.7
8279,TRE,2050,USENSYS,26z-debug-noCO2Cap,434.6
