model,line,line_name,planning_year,case,unit,AnnualSum
GenX,1.0,BASN_to_CANO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,51396887.21116071
GenX,2.0,BASN_to_CASO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1944030268.3740127
GenX,3.0,BASN_to_NWPP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1927750409.3021328
GenX,4.0,BASN_to_RMRG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,2447926302.430332
GenX,5.0,BASN_to_SRSG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,2099463414.904254
GenX,6.0,CANO_to_CASO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1065017172.0486217
GenX,7.0,CANO_to_NWPP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1684153555.4529335
GenX,8.0,CASO_to_NWPP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1671073143.7677906
GenX,9.0,CASO_to_SRSG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,2956218991.7203918
GenX,10.0,FRCC_to_SRSE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1391286399.895727
GenX,11.0,ISNE_to_NYCW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,239515004.0513654
GenX,12.0,ISNE_to_NYUP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1501145531.515079
GenX,13.0,MISC_to_MISE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1487197834.893674
GenX,14.0,MISC_to_MISS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,358345961.3106312
GenX,15.0,MISC_to_MISW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,782023482.5685173
GenX,16.0,MISC_to_PJMC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1068033386.4299632
GenX,17.0,MISC_to_PJMW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,8226331473.215779
GenX,18.0,MISC_to_SPPC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,3404008491.28381
GenX,19.0,MISC_to_SPPN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,49258978.70480617
GenX,20.0,MISC_to_SPPS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,5228469303.532303
GenX,21.0,MISC_to_SRCE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1441057619.636021
GenX,22.0,MISE_to_MISW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,6837.473903644739
GenX,23.0,MISE_to_PJMW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,854008502.0972762
GenX,24.0,MISS_to_SPPC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1915718519.891269
GenX,25.0,MISS_to_SPPS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,6419193488.492169
GenX,26.0,MISS_to_SRCE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,911460903.9283676
GenX,27.0,MISS_to_SRSE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,2830063967.0493813
GenX,28.0,MISW_to_NWPP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,213405504.41857263
GenX,29.0,MISW_to_PJMC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1423624321.5184624
GenX,30.0,MISW_to_SPPC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,159974899.99135002
GenX,31.0,MISW_to_SPPN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1751514827.721526
GenX,32.0,NWPP_to_RMRG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1613151161.6632974
GenX,33.0,NYCW_to_NYUP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1369892409.3207028
GenX,34.0,NYCW_to_PJME,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1614509613.9048195
GenX,35.0,NYUP_to_PJME,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_updated,MWh,1328682722.6646612
