LOAD_ZONE,TIMEPOINT,zone_demand_mw
Eastern,2,385583
Eastern,3,363576
Eastern,4,353331
Eastern,5,349424
Eastern,6,347708
Eastern,7,352857
Eastern,8,364221
Eastern,9,374999
Eastern,10,385190
Eastern,11,396641
Eastern,12,410355
Eastern,13,422561
Eastern,14,429036
Eastern,15,424379
Eastern,16,425429
Eastern,17,430783
Eastern,18,450032
Eastern,19,471493
Eastern,20,484340
Eastern,21,487731
Eastern,22,482400
Eastern,23,474860
Eastern,24,455100
Eastern,25,423753
Eastern,26,385154
Eastern,27,360635
Eastern,28,355557
Eastern,29,358145
Eastern,30,367052
Eastern,31,386202
Eastern,32,414346
Eastern,33,445121
Eastern,34,466478
Eastern,35,474469
Eastern,36,480978
Eastern,37,486028
Eastern,38,483080
Eastern,39,467800
Eastern,40,465419
Eastern,41,489476
Eastern,42,544231
Eastern,43,609745
Eastern,44,606233
Eastern,45,554034
Eastern,46,526863
Eastern,47,517897
Eastern,48,496166
Eastern,49,470938
Eastern,50,456366
Eastern,51,444076
Eastern,52,440937
Eastern,53,446051
Eastern,54,461432
Eastern,55,497493
Eastern,56,576932
Eastern,57,642415
Eastern,58,646669
Eastern,59,626614
Eastern,60,608596
Eastern,61,600484
Eastern,62,589287
Eastern,63,568846
Eastern,64,564489
Eastern,65,589364
Eastern,66,650384
Eastern,67,726429
Eastern,68,730188
Eastern,69,683774
Eastern,70,662044
Eastern,71,603447
Eastern,72,562686
Eastern,73,532996
Eastern,74,513882
Eastern,75,500340
Eastern,76,495743
Eastern,77,499239
Eastern,78,512911
Eastern,79,547102
Eastern,80,628870
Eastern,81,689297
Eastern,82,678330
Eastern,83,642033
Eastern,84,611516
Eastern,85,594069
Eastern,86,576106
Eastern,87,550658
Eastern,88,542127
Eastern,89,566225
Eastern,90,623933
Eastern,91,695946
Eastern,92,695582
Eastern,93,650161
Eastern,94,620678
Eastern,95,554620
Eastern,96,512404
Eastern,97,481514
Eastern,98,457385
Eastern,99,444490
Eastern,100,439058
Eastern,101,441445
Eastern,102,454442
Eastern,103,489006
Eastern,104,559877
Eastern,105,610480
Eastern,106,600892
Eastern,107,569020
Eastern,108,543053
Eastern,109,530311
Eastern,110,518309
Eastern,111,498747
Eastern,112,486523
Eastern,113,503722
Eastern,114,553924
Eastern,115,621652
Eastern,116,623463
Eastern,117,579230
Eastern,118,553061
Eastern,119,499492
Eastern,120,466223
Eastern,121,437866
Eastern,122,415286
Eastern,123,403431
Eastern,124,397845
Eastern,125,400585
Eastern,126,412900
Eastern,127,445195
Eastern,128,505802
Eastern,129,552395
Eastern,130,545968
Eastern,131,519064
Eastern,132,499381
Eastern,133,489476
Eastern,134,476244
Eastern,135,455559
Eastern,136,447897
Eastern,137,465442
Eastern,138,506494
Eastern,139,563384
Eastern,140,553900
Eastern,141,502455
Eastern,142,479879
Eastern,143,445309
Eastern,144,418093
Eastern,145,393952
Eastern,146,386130
Eastern,147,375415
Eastern,148,365453
Eastern,149,364359
Eastern,150,366264
Eastern,151,379338
Eastern,152,402798
Eastern,153,419172
Eastern,154,429903
Eastern,155,440435
Eastern,156,450975
Eastern,157,458007
Eastern,158,456978
Eastern,159,442997
Eastern,160,434989
Eastern,161,438187
Eastern,162,454929
Eastern,163,474959
Eastern,164,486936
Eastern,165,488307
Eastern,166,483484
Eastern,167,477496
Eastern,168,456865
Eastern,169,423478
Eastern,170,392997
Eastern,171,370897
Eastern,172,363148
Eastern,173,363085
Eastern,174,364960
Eastern,175,373763
Eastern,176,389736
Eastern,177,407163
Eastern,178,421690
Eastern,179,433670
Eastern,180,443835
Eastern,181,452583
Eastern,182,458686
Eastern,183,452308
Eastern,184,450395
Eastern,185,456709
Eastern,186,478231
Eastern,187,502236
Eastern,188,518322
Eastern,189,524383
Eastern,190,517024
Eastern,191,503038
Eastern,192,475283
Eastern,193,439126
Eastern,194,394153
Eastern,195,369739
Eastern,196,365229
Eastern,197,368388
Eastern,198,381590
Eastern,199,415127
Eastern,200,480021
Eastern,201,536093
Eastern,202,541716
Eastern,203,527586
Eastern,204,518865
Eastern,205,515120
Eastern,206,509871
Eastern,207,497913
Eastern,208,491846
Eastern,209,510226
Eastern,210,550383
Eastern,211,607824
Eastern,212,604677
Eastern,213,555562
Eastern,214,527487
Eastern,215,478012
Eastern,216,440960
Eastern,217,412033
Eastern,218,391557
Eastern,219,379082
Eastern,220,373201
Eastern,221,375214
Eastern,222,386531
Eastern,223,419169
Eastern,224,479379
Eastern,225,532258
Eastern,226,535247
Eastern,227,518436
Eastern,228,506345
Eastern,229,500539
Eastern,230,491367
Eastern,231,476545
Eastern,232,470326
Eastern,233,489349
Eastern,234,533611
Eastern,235,590176
Eastern,236,588775
Eastern,237,542817
Eastern,238,515666
Eastern,239,470974
Eastern,240,435148
Eastern,241,407437
Eastern,242,389061
Eastern,243,376675
Eastern,244,370617
Eastern,245,371622
Eastern,246,382495
Eastern,247,413497
Eastern,248,474102
Eastern,249,528001
Eastern,250,533742
Eastern,251,519951
Eastern,252,510648
Eastern,253,506950
Eastern,254,502705
Eastern,255,490658
Eastern,256,488349
Eastern,257,510448
Eastern,258,556399
Eastern,259,612253
Eastern,260,609623
Eastern,261,562962
Eastern,262,533734
Eastern,263,479023
Eastern,264,441784
Eastern,265,412311
Eastern,266,390629
Eastern,267,377766
Eastern,268,371520
Eastern,269,372567
Eastern,270,383625
Eastern,271,415446
Eastern,272,475094
Eastern,273,531968
Eastern,274,541609
Eastern,275,530699
Eastern,276,525540
Eastern,277,525092
Eastern,278,525382
Eastern,279,519382
Eastern,280,521125
Eastern,281,542569
Eastern,282,587066
Eastern,283,644503
Eastern,284,641814
Eastern,285,593503
Eastern,286,565604
Eastern,287,518757
Eastern,288,481324
Eastern,289,452896
Eastern,290,436227
Eastern,291,423622
Eastern,292,418315
Eastern,293,421521
Eastern,294,434172
Eastern,295,468562
Eastern,296,539327
Eastern,297,601807
Eastern,298,609743
Eastern,299,593379
Eastern,300,580536
Eastern,301,573763
Eastern,302,566593
Eastern,303,548062
Eastern,304,543443
Eastern,305,562663
Eastern,306,610974
Eastern,307,668950
Eastern,308,667145
Eastern,309,618438
Eastern,310,586986
Eastern,311,543047
Eastern,312,510779
Eastern,313,483292
Eastern,314,481643
Eastern,315,468990
Eastern,316,459961
Eastern,317,459889
Eastern,318,463498
Eastern,319,480753
Eastern,320,508738
Eastern,321,537348
Eastern,322,547529
Eastern,323,549868
Eastern,324,550807
Eastern,325,549324
Eastern,326,546251
Eastern,327,528258
Eastern,328,519958
Eastern,329,524585
Eastern,330,546297
Eastern,331,569664
Eastern,332,584127
Eastern,333,591083
Eastern,334,587747
Eastern,335,583333
Eastern,336,560591
Eastern,337,524500
Eastern,338,489292
Eastern,339,462473
Eastern,340,454288
Eastern,341,455583
Eastern,342,459608
Eastern,343,472882
Eastern,344,495412
Eastern,345,520306
Eastern,346,527336
Eastern,347,527969
Eastern,348,524417
Eastern,349,523141
Eastern,350,516585
Eastern,351,497273
Eastern,352,489977
Eastern,353,496437
Eastern,354,521963
Eastern,355,551352
Eastern,356,568703
Eastern,357,578590
Eastern,358,578533
Eastern,359,578498
Eastern,360,557788
Eastern,361,522777
Eastern,362,468072
Eastern,363,441363
Eastern,364,436318
Eastern,365,439320
Eastern,366,447765
Eastern,367,469171
Eastern,368,502576
Eastern,369,536565
Eastern,370,547525
Eastern,371,539334
Eastern,372,531180
Eastern,373,527359
Eastern,374,517734
Eastern,375,500051
Eastern,376,496685
Eastern,377,514612
Eastern,378,559576
Eastern,379,611642
Eastern,380,598857
Eastern,381,543067
Eastern,382,509653
Eastern,383,489396
Eastern,384,461584
Eastern,385,431562
Eastern,386,400416
Eastern,387,385969
Eastern,388,378424
Eastern,389,378802
Eastern,390,389161
Eastern,391,420746
Eastern,392,481169
Eastern,393,534904
Eastern,394,541596
Eastern,395,528403
Eastern,396,520142
Eastern,397,518271
Eastern,398,514882
Eastern,399,505838
Eastern,400,505863
Eastern,401,523845
Eastern,402,563535
Eastern,403,622062
Eastern,404,618141
Eastern,405,567689
Eastern,406,529953
Eastern,407,482363
Eastern,408,447674
Eastern,409,418221
Eastern,410,401745
Eastern,411,390007
Eastern,412,385308
Eastern,413,388427
Eastern,414,400943
Eastern,415,435952
Eastern,416,503478
Eastern,417,564508
Eastern,418,573481
Eastern,419,559580
Eastern,420,548427
Eastern,421,541487
Eastern,422,532668
Eastern,423,512938
Eastern,424,507450
Eastern,425,530233
Eastern,426,580008
Eastern,427,643732
Eastern,428,642497
Eastern,429,594813
Eastern,430,573573
Eastern,431,535995
Eastern,432,499974
Eastern,433,470337
Eastern,434,459687
Eastern,435,448223
Eastern,436,443219
Eastern,437,446699
Eastern,438,461092
Eastern,439,497265
Eastern,440,572322
Eastern,441,639223
Eastern,442,640201
Eastern,443,611894
Eastern,444,590265
Eastern,445,577155
Eastern,446,563697
Eastern,447,545032
Eastern,448,536759
Eastern,449,557723
Eastern,450,606514
Eastern,451,670876
Eastern,452,672993
Eastern,453,628493
Eastern,454,602480
Eastern,455,542242
Eastern,456,502441
Eastern,457,471657
Eastern,458,450253
Eastern,459,435850
Eastern,460,428035
Eastern,461,428195
Eastern,462,439192
Eastern,463,471891
Eastern,464,546225
Eastern,465,612195
Eastern,466,618017
Eastern,467,599716
Eastern,468,582978
Eastern,469,576005
Eastern,470,566133
Eastern,471,552971
Eastern,472,551755
Eastern,473,568881
Eastern,474,611818
Eastern,475,662488
Eastern,476,659421
Eastern,477,610977
Eastern,478,580503
Eastern,479,520355
Eastern,480,482779
Eastern,481,454129
Eastern,482,444430
Eastern,483,430114
Eastern,484,419236
Eastern,485,417953
Eastern,486,419532
Eastern,487,432310
Eastern,488,455862
Eastern,489,483681
Eastern,490,505011
Eastern,491,524508
Eastern,492,541309
Eastern,493,553487
Eastern,494,562101
Eastern,495,557158
Eastern,496,548347
Eastern,497,551046
Eastern,498,563682
Eastern,499,576656
Eastern,500,587596
Eastern,501,586908
Eastern,502,572778
Eastern,503,558248
Eastern,504,535120
Eastern,505,497903
Eastern,506,458947
Eastern,507,433426
Eastern,508,424104
Eastern,509,423312
Eastern,510,423251
Eastern,511,430694
Eastern,512,445208
Eastern,513,466452
Eastern,514,484097
Eastern,515,498172
Eastern,516,509884
