GENERATION_PROJECT,timepoint,gen_max_capacity_factor
ERCOT_onshore_wind_turbine_1,14,0.21764484662232103
ERCOT_solar_photovoltaic_1,14,0.7346370805369127
Eastern_onshore_wind_turbine_1,14,0.7197804287092685
Eastern_solar_photovoltaic_1,14,0.6098070820895523
Western_onshore_wind_turbine_1,14,0.15511014330184386
Western_solar_photovoltaic_1,14,0.6167904212584256
ERCOT_onshore_wind_turbine_1,15,0.17794404503037062
ERCOT_solar_photovoltaic_1,15,0.7392592281879194
Eastern_onshore_wind_turbine_1,15,0.7420667667282592
Eastern_solar_photovoltaic_1,15,0.5640982591587518
Western_onshore_wind_turbine_1,15,0.1718380603570608
Western_solar_photovoltaic_1,15,0.6737990161558588
ERCOT_onshore_wind_turbine_1,16,0.18179624840524125
ERCOT_solar_photovoltaic_1,16,0.7057215604026846
Eastern_onshore_wind_turbine_1,16,0.763648121217472
Eastern_solar_photovoltaic_1,16,0.4621019762550882
Western_onshore_wind_turbine_1,16,0.14110419499141813
Western_solar_photovoltaic_1,16,0.6848283884992852
ERCOT_onshore_wind_turbine_1,17,0.1873043682348127
ERCOT_solar_photovoltaic_1,17,0.6180939597315436
Eastern_onshore_wind_turbine_1,17,0.7613867727403631
Eastern_solar_photovoltaic_1,17,0.2932123439620081
Western_onshore_wind_turbine_1,17,0.12252297379481843
Western_solar_photovoltaic_1,17,0.6612389583799398
ERCOT_onshore_wind_turbine_1,18,0.17308384378986896
ERCOT_solar_photovoltaic_1,18,0.4934470637583892
Eastern_onshore_wind_turbine_1,18,0.7957729375434879
Eastern_solar_photovoltaic_1,18,0.06636036499321574
Western_onshore_wind_turbine_1,18,0.20167552245933174
Western_solar_photovoltaic_1,18,0.6090548905272782
ERCOT_onshore_wind_turbine_1,19,0.1781134244585844
ERCOT_solar_photovoltaic_1,19,0.2640143456375839
Eastern_onshore_wind_turbine_1,19,0.798819216870889
Eastern_solar_photovoltaic_1,19,0.0006330909090909091
Western_onshore_wind_turbine_1,19,0.22011853869059686
Western_solar_photovoltaic_1,19,0.47130870967114413
ERCOT_onshore_wind_turbine_1,20,0.14519797355308242
ERCOT_solar_photovoltaic_1,20,0.0
Eastern_onshore_wind_turbine_1,20,0.7697760234766359
Eastern_solar_photovoltaic_1,20,0.0
Western_onshore_wind_turbine_1,20,0.23675463309592348
Western_solar_photovoltaic_1,20,0.2548696151190048
ERCOT_onshore_wind_turbine_1,21,0.15978488971089733
ERCOT_solar_photovoltaic_1,21,0.0
Eastern_onshore_wind_turbine_1,21,0.7766206372830334
Eastern_solar_photovoltaic_1,21,0.0
Western_onshore_wind_turbine_1,21,0.23952067132476496
Western_solar_photovoltaic_1,21,0.0
ERCOT_onshore_wind_turbine_1,22,0.18744032392659696
ERCOT_solar_photovoltaic_1,22,0.0
Eastern_onshore_wind_turbine_1,22,0.7884840979846839
Eastern_solar_photovoltaic_1,22,0.0
Western_onshore_wind_turbine_1,22,0.24974229093743103
Western_solar_photovoltaic_1,22,0.0
ERCOT_onshore_wind_turbine_1,23,0.20989266130132314
ERCOT_solar_photovoltaic_1,23,0.0
Eastern_onshore_wind_turbine_1,23,0.8053984294954667
Eastern_solar_photovoltaic_1,23,0.0
Western_onshore_wind_turbine_1,23,0.2348824870821114
Western_solar_photovoltaic_1,23,0.0
ERCOT_onshore_wind_turbine_1,24,0.2214307409309379
ERCOT_solar_photovoltaic_1,24,0.0
Eastern_onshore_wind_turbine_1,24,0.8066609801831801
Eastern_solar_photovoltaic_1,24,0.0
Western_onshore_wind_turbine_1,24,0.2393868140679974
Western_solar_photovoltaic_1,24,0.0
ERCOT_onshore_wind_turbine_1,25,0.21710356584046797
ERCOT_solar_photovoltaic_1,25,0.0
Eastern_onshore_wind_turbine_1,25,0.8055713626244726
Eastern_solar_photovoltaic_1,25,0.0
Western_onshore_wind_turbine_1,25,0.2674127822902167
Western_solar_photovoltaic_1,25,0.0
ERCOT_onshore_wind_turbine_1,26,0.2151389048921983
ERCOT_solar_photovoltaic_1,26,0.0
Eastern_onshore_wind_turbine_1,26,0.8095417937932383
Eastern_solar_photovoltaic_1,26,0.0
Western_onshore_wind_turbine_1,26,0.23748533419828002
Western_solar_photovoltaic_1,26,0.0
ERCOT_onshore_wind_turbine_1,27,0.24885572869442413
ERCOT_solar_photovoltaic_1,27,0.0
Eastern_onshore_wind_turbine_1,27,0.8020584912561725
Eastern_solar_photovoltaic_1,27,0.0
Western_onshore_wind_turbine_1,27,0.25057094184585027
Western_solar_photovoltaic_1,27,0.0
ERCOT_onshore_wind_turbine_1,28,0.2197804653084805
ERCOT_solar_photovoltaic_1,28,0.0
Eastern_onshore_wind_turbine_1,28,0.7916613591979937
Eastern_solar_photovoltaic_1,28,0.0
Western_onshore_wind_turbine_1,28,0.23581015005923983
Western_solar_photovoltaic_1,28,0.0
ERCOT_onshore_wind_turbine_1,29,0.215368851452735
ERCOT_solar_photovoltaic_1,29,0.0
Eastern_onshore_wind_turbine_1,29,0.7795099264883637
Eastern_solar_photovoltaic_1,29,0.0
