Line,New_Trans_Capacity,Cost_Trans_Capacity
1,2.3811371568041105e-6,2.3811371568041104e6
2,3.7199551398304243e-7,371995.51398304245
3,3.4367045612546487e-7,343670.4561254649
4,6.071304504890769e-7,607130.450489077
5,1.5637818002479582e-7,156378.18002479582
6,8.287701210357965e-8,82877.01210357965
7,6.651520387369859e-7,665152.0387369859
8,1.5702029971859706e-7,157020.29971859706
9,6.765399727005901e-7,676539.97270059
10,8.555313322999765e-9,8555.313322999764
11,2.1428817389580976e-8,21428.817389580974
12,1.448157977035439e-7,144815.79770354388
13,1.0924434326035118e-7,109244.34326035118
14,1.1559832368458264e-7,115598.32368458265
15,2.277298613550608e-9,2277.2986135506085
16,3.5565089114232826e-7,355650.8911423282
17,1.6202459575259095e-6,1.6202459575259094e6
18,1.0275243904200897e-6,1.0275243904200895e6
19,2.0494624909817553e-7,204946.24909817553
20,5.440236550223345e-7,544023.6550223345
21,3.4374338083165e-8,34374.338083165
22,1.0254292829581119e-6,1.025429282958112e6
23,2.68348778819348e-7,268348.77881934796
24,1.5783982527996767e-7,157839.82527996768
25,2.245793500675488e-9,2245.793500675488
26,1.9337278316911391e-7,193372.7831691139
27,1.375047675839645e-8,13750.476758396451
28,1.4638406664952643e-7,146384.06664952644
29,2.0080773253988066e-7,200807.73253988064
30,2.356667868818145e-7,235666.78688181454
31,6.719569686046608e-7,671956.9686046607
32,3.66557769813069e-9,3665.57769813069
33,1.8980274579910928e-7,189802.74579910928
34,1.4340163915582269e-7,143401.6391558227
35,1.9115389918439e-7,191153.89918439
36,8.560965175248907e-7,856096.5175248907
37,2.1026525745657772e-7,210265.25745657773
38,3.362223297228165e-7,336222.32972281653
39,7.842820238261861e-8,78428.2023826186
40,6.439928515714184e-7,643992.8515714183
41,1.853273157889511e-7,185327.31578895112
42,1.35208565874494e-7,135208.565874494
43,5.58733340307909e-7,558733.3403079091
44,1.359769951543317e-9,1359.769951543317
45,1.3137418695540922e-11,13.137418695540921
46,9.535685774409144e-8,95356.85774409144
47,2.2451786588562804e-7,224517.86588562807
48,7.913710413336236e-7,791371.0413336236
49,6.497600023690823e-7,649760.0023690824
50,1.1065970883680574e-6,1.1065970883680573e6
51,7.134376674731028e-8,71343.76674731029
52,1.6629606637533194e-7,166296.06637533192
53,3.106943913709538e-7,310694.3913709538
54,1.8166611557946085e-7,181666.11557946086
55,4.778920682505355e-7,477892.0682505355
56,2.4310660288886946e-7,243106.60288886944
57,1.9038960003350434e-7,190389.60003350434
