Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,,33,17550,12392,19175,33658,21792,34086,15584,27284,38152,31468,11346,9612,19017,16404,45707,51633,16483,12876,8425,18818,33647,36268,38289,18881,62171,2763
,,,,,,,,34,18786,13594,21046,35098,22157,34369,15856,27798,39475,36133,11580,9900,19275,16881,46508,52560,17236,13003,8611,19120,33168,36725,38875,20169,62839,2792
,,,,,,,,35,19505,14482,22419,35777,22948,34813,16330,27683,39957,39276,12156,10367,19649,17067,47793,53928,17634,13101,8611,19242,32492,36939,38718,20834,62322,2769
,,,,,,,,36,19560,15008,23227,36705,23642,35257,16532,27176,40225,40000,12644,10787,19957,17386,48603,54792,17337,13282,8691,19063,32379,37243,38714,20886,61831,2748
,,,,,,,,37,19575,15330,23715,37150,24135,35534,16973,27364,40810,39302,13039,11121,19888,17667,49468,55677,17306,13361,8728,19285,32427,37656,38797,20754,61571,2736
,,,,,,,,38,19750,15940,24655,37187,24097,35667,17039,27281,41561,40690,13111,11202,20013,17580,49435,55567,17489,13413,8656,19387,32071,37797,38548,20998,61211,2720
,,,,,,,,39,19906,16392,25355,37650,24475,35604,17120,26775,41139,41066,13257,11297,19961,17854,50268,55997,17985,13240,8526,19096,32827,38314,38819,21225,59746,2655
,,,,,,,,40,19980,16696,25826,39996,25860,36686,17828,26829,41660,40883,13804,11663,20310,19223,53386,58798,17935,13281,8580,19142,36558,40799,41683,21291,59208,2631
,,,,,,,,41,19903,16739,25892,45938,27829,39357,19124,28328,44779,40170,14453,12085,21327,21275,59072,63615,18572,14029,9232,20155,43709,45719,48155,21457,61305,2724
,,,,,,,,42,20448,17199,26607,51807,31251,43101,21470,31207,50409,40793,15593,12902,23287,23917,66578,69985,20567,15366,10303,21905,48678,50536,55814,22470,65361,2904
,,,,,,,,43,22254,18499,28625,49445,31802,44557,21432,34509,55753,44471,16274,13520,24353,22725,62899,67480,23276,16920,11398,24383,45932,49783,55165,24455,72305,3213
,,,,,,,,44,25018,20272,31381,43726,29569,41395,19401,34685,51575,50470,15429,12942,22753,20510,56952,61738,26253,16510,10892,24633,41005,45608,49790,27300,74816,3325
,,,,,,,,45,26645,23137,35824,39053,28947,38460,18142,31975,45081,54465,15064,12657,21616,19662,54656,59360,23506,14877,9656,22480,38853,42518,45635,28066,69418,3085
,,,,,,,,46,23894,21567,33390,35383,28393,37276,17461,30853,42739,49235,14816,12434,21136,18635,52083,57206,19504,14189,9137,21660,36411,40463,42787,25382,67205,2986
,,,,,,,,47,21114,18801,29104,31685,27608,35632,16460,29580,40241,41608,14404,12074,20389,17225,48476,54341,18343,13536,8673,20743,34167,38401,39877,23068,64638,2872
,,,,,,,,48,19948,17662,27344,29131,26671,34105,15520,27613,37206,38376,13869,11582,19373,16178,45822,52156,17200,12702,8040,19423,33218,36881,37981,21682,60419,2685
,,,,,,,,49,18687,16356,25322,26705,28794,33033,14646,26213,35334,35068,13425,11133,18483,15448,44523,50634,15752,12161,7587,18358,32962,36032,36948,19957,56997,2533
,,,,,,,,50,17287,14779,22877,25601,27811,32303,14120,24565,33687,31463,12840,10626,17941,15169,43621,49614,14823,11848,7257,17361,33257,35703,36504,18433,54543,2424
,,,,,,,,51,16453,13439,20797,25608,27496,32047,13830,24142,32825,28615,12437,10299,17621,15191,43469,49243,14143,11731,7127,16992,33986,35799,36765,17590,53656,2384
,,,,,,,,52,15815,12471,19293,26763,27703,32064,13749,24087,32394,26996,12318,10168,17487,15524,44328,49658,13951,11678,7081,16877,35447,36397,37953,17036,53609,2382
,,,,,,,,53,15549,11961,18505,29713,28460,32432,13889,24523,32905,26357,12336,10148,17567,16090,45922,50832,14160,11881,7198,17068,38045,37743,40360,16855,54677,2430
,,,,,,,,54,15532,11683,18076,34815,29951,33985,15051,25398,33986,25933,12900,10552,17989,17770,50400,55166,14379,12208,7413,17429,42998,40644,44727,16964,56739,2521
,,,,,,,,55,15797,11738,18161,38872,39781,38473,18215,27964,37922,26591,15476,12364,19585,20701,60865,67630,14344,13104,8075,19019,48663,45088,51115,17621,62716,2787
,,,,,,,,56,16605,12071,18674,41331,54756,41541,20846,32031,45937,28148,18614,14793,23427,22025,67220,71646,15594,14380,9121,22295,49084,46910,52914,19114,74669,3318
