Line,New_Trans_Capacity,Cost_Trans_Capacity
1,4.244087252153883e-10,424.4087252153883
2,3.468766637409034e-11,34.68766637409034
3,5.027605737803551e-11,50.27605737803551
4,2.1920222839856948e-10,219.20222839856947
5,3.8142860213294365e-9,3814.286021329437
6,6.308701686261425e-11,63.08701686261424
7,6.68027901969752e-11,66.8027901969752
8,9.020103566535657e-11,90.20103566535657
9,4.718879685386914e-10,471.88796853869144
10,1.244723323274178e-10,124.47233232741779
11,8.237257222915341e-11,82.37257222915342
12,9.28461939958787e-14,0.09284619399587869
13,3.205237850744521e-10,320.52378507445206
14,1.1104090602790828e-10,111.04090602790828
15,1.447353353545871e-10,144.73533535458708
16,6.92066274289685e-12,6.92066274289685
17,4.44523613502609e-10,444.523613502609
18,9.459770642131172e-11,94.59770642131173
19,3.379473354358696e-10,337.9473354358696
20,3.819404066989885e-10,381.94040669898857
21,1.3493776124152502e-10,134.937761241525
22,3.193046089052147e-10,319.3046089052147
23,5.523121330238928e-11,55.23121330238927
24,2.9256409588437665e-10,292.5640958843766
25,2.515610973604525e-14,0.025156109736045252
26,7.372360117293571e-11,73.72360117293572
27,1.399344752954652e-10,139.93447529546518
28,1.5466672275058817e-14,0.015466672275058818
29,8.494043549195806e-11,84.94043549195807
30,3.399333254952926e-10,339.9333254952926
31,1.1382245818588497e-10,113.82245818588498
32,1.729068917252394e-14,0.017290689172523938
33,4.695340956808419e-14,0.04695340956808419
34,1.3136680256027045e-10,131.36680256027046
35,1.9696739253295178e-10,196.9673925329518
36,2.604515646473749e-10,260.4515646473748
37,7.248247123056029e-11,72.48247123056028
38,7.159923627933808e-10,715.9923627933807
39,9.909368632555524e-11,99.09368632555524
40,2.9424544450176003e-10,294.24544450176006
41,3.782091740605179e-11,37.82091740605179
42,9.627948027720912e-11,96.27948027720912
43,1.2844912172898456e-10,128.44912172898458
44,9.892291382083549e-11,98.92291382083549
45,3.150339370581411e-12,3.150339370581411
46,6.48210984998032e-11,64.8210984998032
47,1.01440088259344e-10,101.440088259344
48,2.95683450267892e-10,295.683450267892
49,3.7111358168968215e-12,3.7111358168968214
50,1.9211492206489408e-10,192.1149220648941
51,3.670796371884622e-10,367.0796371884622
52,4.3207919197725104e-14,0.0432079191977251
53,2.1820637268044264e-10,218.20637268044263
54,8.884982543203584e-11,88.84982543203583
55,3.789715433600577e-14,0.03789715433600577
56,3.384354002002275e-10,338.4354002002275
57,5.035052708126799e-10,503.5052708126799
