timestamp,time_row,time_column
2040ful00,2040,2012ful
2040ful01,2040,2012ful
2040ful02,2040,2012ful
2040ful03,2040,2012ful
2040ful04,2040,2012ful
2040ful05,2040,2012ful
2040ful06,2040,2012ful
2040ful07,2040,2012ful
2040ful08,2040,2012ful
2040ful09,2040,2012ful
2040ful10,2040,2012ful
2040ful11,2040,2012ful
2040ful12,2040,2012ful
2040ful13,2040,2012ful
2040ful14,2040,2012ful
2040ful15,2040,2012ful
2040ful16,2040,2012ful
2040ful17,2040,2012ful
2040ful18,2040,2012ful
2040ful19,2040,2012ful
2040ful20,2040,2012ful
2040ful21,2040,2012ful
2040ful22,2040,2012ful
2040ful23,2040,2012ful
