load_zone,fuel,period,fuel_cost
Western,Coal,2040,1.1739020673147562
Western,Naturalgas,2040,3.9254320829987526
Western,Distillate,2040,23.12447609779433
Western,Uranium,2040,0.6276207651432574
ERCOT,Coal,2040,1.688375762450667
ERCOT,Naturalgas,2040,3.5038333813534708
ERCOT,Distillate,2040,19.732177606738308
ERCOT,Uranium,2040,0.6276207651432574
Eastern,Coal,2040,1.6781791458543336
Eastern,Naturalgas,2040,2.7337633177290668
Eastern,Distillate,2040,23.94763401001179
Eastern,Uranium,2040,0.6276207651432574
