Period_Index,Rep_Period_Index,Month,Rep_Period
1,7,1,4
2,7,1,4
3,3,1,5
4,7,1,4
5,3,2,5
6,5,2,11
7,5,2,11
8,9,2,8
9,7,3,4
10,3,3,5
11,5,3,11
12,5,3,11
13,5,4,11
14,8,4,16
15,8,4,16
16,8,4,16
17,8,4,16
18,6,5,22
19,6,5,22
20,6,5,22
21,6,5,22
22,6,6,22
23,6,6,22
24,6,6,22
25,2,6,33
26,6,7,22
27,10,7,27
28,2,7,33
29,2,7,33
30,2,7,33
31,2,8,33
32,2,8,33
33,2,8,33
34,2,8,33
35,2,9,33
36,2,9,33
37,2,9,33
38,2,9,33
39,2,9,33
40,2,10,33
41,1,10,42
42,1,10,42
43,1,10,42
44,1,11,42
45,4,11,48
46,4,11,48
47,4,11,48
48,4,12,48
49,4,12,48
50,4,12,48
51,9,12,8
52,4,12,48
