model,zone,fuel,planning_year,case,unit,value
USENSYS,MISC,east_north_central_coal,2030,26z-debug-noCO2Cap-foresight,MMBtu,1330367112
USENSYS,MISC,east_north_central_coal,2040,26z-debug-noCO2Cap-foresight,MMBtu,587299123
USENSYS,MISC,east_north_central_coal,2050,26z-debug-noCO2Cap-foresight,MMBtu,201160506
USENSYS,MISE,east_north_central_coal,2030,26z-debug-noCO2Cap-foresight,MMBtu,290612500
USENSYS,MISE,east_north_central_coal,2040,26z-debug-noCO2Cap-foresight,MMBtu,5859709
USENSYS,MISE,east_north_central_coal,2050,26z-debug-noCO2Cap-foresight,MMBtu,3612700
USENSYS,MISW,east_north_central_coal,2030,26z-debug-noCO2Cap-foresight,MMBtu,889998383
USENSYS,MISW,east_north_central_coal,2040,26z-debug-noCO2Cap-foresight,MMBtu,608812510
USENSYS,MISW,east_north_central_coal,2050,26z-debug-noCO2Cap-foresight,MMBtu,207743730
USENSYS,PJMC,east_north_central_coal,2030,26z-debug-noCO2Cap-foresight,MMBtu,4130428
USENSYS,PJMC,east_north_central_coal,2040,26z-debug-noCO2Cap-foresight,MMBtu,3616211
USENSYS,PJMC,east_north_central_coal,2050,26z-debug-noCO2Cap-foresight,MMBtu,3108637
USENSYS,PJMW,east_north_central_coal,2030,26z-debug-noCO2Cap-foresight,MMBtu,1643633091
USENSYS,PJMW,east_north_central_coal,2040,26z-debug-noCO2Cap-foresight,MMBtu,505374434
USENSYS,PJMW,east_north_central_coal,2050,26z-debug-noCO2Cap-foresight,MMBtu,140018180
USENSYS,MISC,east_north_central_distillate,2030,26z-debug-noCO2Cap-foresight,MMBtu,19
USENSYS,MISC,east_north_central_distillate,2040,26z-debug-noCO2Cap-foresight,MMBtu,33137
USENSYS,MISC,east_north_central_distillate,2050,26z-debug-noCO2Cap-foresight,MMBtu,7226
USENSYS,MISE,east_north_central_distillate,2030,26z-debug-noCO2Cap-foresight,MMBtu,19
USENSYS,MISE,east_north_central_distillate,2040,26z-debug-noCO2Cap-foresight,MMBtu,4905
USENSYS,MISE,east_north_central_distillate,2050,26z-debug-noCO2Cap-foresight,MMBtu,9507
USENSYS,MISW,east_north_central_distillate,2030,26z-debug-noCO2Cap-foresight,MMBtu,100740
USENSYS,MISW,east_north_central_distillate,2040,26z-debug-noCO2Cap-foresight,MMBtu,151293
USENSYS,MISW,east_north_central_distillate,2050,26z-debug-noCO2Cap-foresight,MMBtu,43699
USENSYS,PJMC,east_north_central_distillate,2030,26z-debug-noCO2Cap-foresight,MMBtu,5843
USENSYS,PJMC,east_north_central_distillate,2040,26z-debug-noCO2Cap-foresight,MMBtu,8531
USENSYS,PJMC,east_north_central_distillate,2050,26z-debug-noCO2Cap-foresight,MMBtu,7700
USENSYS,PJMW,east_north_central_distillate,2030,26z-debug-noCO2Cap-foresight,MMBtu,25
USENSYS,PJMW,east_north_central_distillate,2040,26z-debug-noCO2Cap-foresight,MMBtu,18728
USENSYS,PJMW,east_north_central_distillate,2050,26z-debug-noCO2Cap-foresight,MMBtu,14889
USENSYS,MISC,east_north_central_naturalgas,2030,26z-debug-noCO2Cap-foresight,MMBtu,146195242
USENSYS,MISC,east_north_central_naturalgas,2040,26z-debug-noCO2Cap-foresight,MMBtu,327960972
USENSYS,MISC,east_north_central_naturalgas,2050,26z-debug-noCO2Cap-foresight,MMBtu,891267830
USENSYS,MISE,east_north_central_naturalgas,2030,26z-debug-noCO2Cap-foresight,MMBtu,324576505
USENSYS,MISE,east_north_central_naturalgas,2040,26z-debug-noCO2Cap-foresight,MMBtu,330550404
USENSYS,MISE,east_north_central_naturalgas,2050,26z-debug-noCO2Cap-foresight,MMBtu,455504752
USENSYS,MISW,east_north_central_naturalgas,2030,26z-debug-noCO2Cap-foresight,MMBtu,249472136
USENSYS,MISW,east_north_central_naturalgas,2040,26z-debug-noCO2Cap-foresight,MMBtu,544478129
USENSYS,MISW,east_north_central_naturalgas,2050,26z-debug-noCO2Cap-foresight,MMBtu,894607120
USENSYS,PJMC,east_north_central_naturalgas,2030,26z-debug-noCO2Cap-foresight,MMBtu,247230580
USENSYS,PJMC,east_north_central_naturalgas,2040,26z-debug-noCO2Cap-foresight,MMBtu,236858367
USENSYS,PJMC,east_north_central_naturalgas,2050,26z-debug-noCO2Cap-foresight,MMBtu,144739493
USENSYS,PJMW,east_north_central_naturalgas,2030,26z-debug-noCO2Cap-foresight,MMBtu,952971276
USENSYS,PJMW,east_north_central_naturalgas,2040,26z-debug-noCO2Cap-foresight,MMBtu,1180057000
USENSYS,PJMW,east_north_central_naturalgas,2050,26z-debug-noCO2Cap-foresight,MMBtu,1622610061
USENSYS,MISC,east_north_central_naturalgas_ccs90,2030,26z-debug-noCO2Cap-foresight,MMBtu,195
USENSYS,MISC,east_north_central_naturalgas_ccs90,2040,26z-debug-noCO2Cap-foresight,MMBtu,430
USENSYS,MISC,east_north_central_naturalgas_ccs90,2050,26z-debug-noCO2Cap-foresight,MMBtu,778
USENSYS,MISE,east_north_central_naturalgas_ccs90,2030,26z-debug-noCO2Cap-foresight,MMBtu,199
USENSYS,MISE,east_north_central_naturalgas_ccs90,2040,26z-debug-noCO2Cap-foresight,MMBtu,409
USENSYS,MISE,east_north_central_naturalgas_ccs90,2050,26z-debug-noCO2Cap-foresight,MMBtu,749
USENSYS,MISW,east_north_central_naturalgas_ccs90,2030,26z-debug-noCO2Cap-foresight,MMBtu,212
USENSYS,MISW,east_north_central_naturalgas_ccs90,2040,26z-debug-noCO2Cap-foresight,MMBtu,421
USENSYS,MISW,east_north_central_naturalgas_ccs90,2050,26z-debug-noCO2Cap-foresight,MMBtu,755
USENSYS,PJMC,east_north_central_naturalgas_ccs90,2030,26z-debug-noCO2Cap-foresight,MMBtu,204
USENSYS,PJMC,east_north_central_naturalgas_ccs90,2040,26z-debug-noCO2Cap-foresight,MMBtu,428
USENSYS,PJMC,east_north_central_naturalgas_ccs90,2050,26z-debug-noCO2Cap-foresight,MMBtu,744
USENSYS,PJMW,east_north_central_naturalgas_ccs90,2030,26z-debug-noCO2Cap-foresight,MMBtu,185
USENSYS,PJMW,east_north_central_naturalgas_ccs90,2040,26z-debug-noCO2Cap-foresight,MMBtu,434
USENSYS,PJMW,east_north_central_naturalgas_ccs90,2050,26z-debug-noCO2Cap-foresight,MMBtu,786
USENSYS,MISC,east_north_central_uranium,2030,26z-debug-noCO2Cap-foresight,MMBtu,217228592
USENSYS,MISC,east_north_central_uranium,2040,26z-debug-noCO2Cap-foresight,MMBtu,210720302
USENSYS,MISC,east_north_central_uranium,2050,26z-debug-noCO2Cap-foresight,MMBtu,209221181
USENSYS,MISE,east_north_central_uranium,2030,26z-debug-noCO2Cap-foresight,MMBtu,106788294
USENSYS,MISE,east_north_central_uranium,2040,26z-debug-noCO2Cap-foresight,MMBtu,104379953
USENSYS,MISE,east_north_central_uranium,2050,26z-debug-noCO2Cap-foresight,MMBtu,105707810
USENSYS,MISW,east_north_central_uranium,2030,26z-debug-noCO2Cap-foresight,MMBtu,268937011
USENSYS,MISW,east_north_central_uranium,2040,26z-debug-noCO2Cap-foresight,MMBtu,255203118
USENSYS,MISW,east_north_central_uranium,2050,26z-debug-noCO2Cap-foresight,MMBtu,194397507
USENSYS,PJMC,east_north_central_uranium,2030,26z-debug-noCO2Cap-foresight,MMBtu,596487059
USENSYS,PJMC,east_north_central_uranium,2040,26z-debug-noCO2Cap-foresight,MMBtu,585997317
USENSYS,PJMC,east_north_central_uranium,2050,26z-debug-noCO2Cap-foresight,MMBtu,579628252
USENSYS,PJMW,east_north_central_uranium,2030,26z-debug-noCO2Cap-foresight,MMBtu,579094046
USENSYS,PJMW,east_north_central_uranium,2040,26z-debug-noCO2Cap-foresight,MMBtu,578199023
USENSYS,PJMW,east_north_central_uranium,2050,26z-debug-noCO2Cap-foresight,MMBtu,577832041
USENSYS,SRCE,east_south_central_coal,2030,26z-debug-noCO2Cap-foresight,MMBtu,719982580
USENSYS,SRCE,east_south_central_coal,2040,26z-debug-noCO2Cap-foresight,MMBtu,356398122
USENSYS,SRCE,east_south_central_coal,2050,26z-debug-noCO2Cap-foresight,MMBtu,134389454
USENSYS,SRCE,east_south_central_distillate,2030,26z-debug-noCO2Cap-foresight,MMBtu,-3
USENSYS,SRCE,east_south_central_distillate,2040,26z-debug-noCO2Cap-foresight,MMBtu,1018
USENSYS,SRCE,east_south_central_distillate,2050,26z-debug-noCO2Cap-foresight,MMBtu,6417
USENSYS,SRCE,east_south_central_naturalgas,2030,26z-debug-noCO2Cap-foresight,MMBtu,320630400
USENSYS,SRCE,east_south_central_naturalgas,2040,26z-debug-noCO2Cap-foresight,MMBtu,218653480
USENSYS,SRCE,east_south_central_naturalgas,2050,26z-debug-noCO2Cap-foresight,MMBtu,288395518
USENSYS,SRCE,east_south_central_naturalgas_ccs90,2030,26z-debug-noCO2Cap-foresight,MMBtu,195
USENSYS,SRCE,east_south_central_naturalgas_ccs90,2040,26z-debug-noCO2Cap-foresight,MMBtu,362
USENSYS,SRCE,east_south_central_naturalgas_ccs90,2050,26z-debug-noCO2Cap-foresight,MMBtu,758
USENSYS,SRCE,east_south_central_uranium,2030,26z-debug-noCO2Cap-foresight,MMBtu,781923713
USENSYS,SRCE,east_south_central_uranium,2040,26z-debug-noCO2Cap-foresight,MMBtu,778787423
USENSYS,SRCE,east_south_central_uranium,2050,26z-debug-noCO2Cap-foresight,MMBtu,743199860
USENSYS,BASN,hydrogen,2030,26z-debug-noCO2Cap-foresight,MMBtu,69
USENSYS,BASN,hydrogen,2040,26z-debug-noCO2Cap-foresight,MMBtu,189
USENSYS,BASN,hydrogen,2050,26z-debug-noCO2Cap-foresight,MMBtu,385
USENSYS,CANO,hydrogen,2030,26z-debug-noCO2Cap-foresight,MMBtu,62
USENSYS,CANO,hydrogen,2040,26z-debug-noCO2Cap-foresight,MMBtu,163
USENSYS,CANO,hydrogen,2050,26z-debug-noCO2Cap-foresight,MMBtu,361
USENSYS,CASO,hydrogen,2030,26z-debug-noCO2Cap-foresight,MMBtu,70
USENSYS,CASO,hydrogen,2040,26z-debug-noCO2Cap-foresight,MMBtu,191
USENSYS,CASO,hydrogen,2050,26z-debug-noCO2Cap-foresight,MMBtu,379
USENSYS,FRCC,hydrogen,2030,26z-debug-noCO2Cap-foresight,MMBtu,72
USENSYS,FRCC,hydrogen,2040,26z-debug-noCO2Cap-foresight,MMBtu,176
USENSYS,FRCC,hydrogen,2050,26z-debug-noCO2Cap-foresight,MMBtu,370
USENSYS,ISNE,hydrogen,2030,26z-debug-noCO2Cap-foresight,MMBtu,88
USENSYS,ISNE,hydrogen,2040,26z-debug-noCO2Cap-foresight,MMBtu,241
USENSYS,ISNE,hydrogen,2050,26z-debug-noCO2Cap-foresight,MMBtu,443
USENSYS,MISC,hydrogen,2030,26z-debug-noCO2Cap-foresight,MMBtu,69
USENSYS,MISC,hydrogen,2040,26z-debug-noCO2Cap-foresight,MMBtu,187
USENSYS,MISC,hydrogen,2050,26z-debug-noCO2Cap-foresight,MMBtu,373
USENSYS,MISE,hydrogen,2030,26z-debug-noCO2Cap-foresight,MMBtu,71
USENSYS,MISE,hydrogen,2040,26z-debug-noCO2Cap-foresight,MMBtu,183
USENSYS,MISE,hydrogen,2050,26z-debug-noCO2Cap-foresight,MMBtu,382
USENSYS,MISS,hydrogen,2030,26z-debug-noCO2Cap-foresight,MMBtu,67
USENSYS,MISS,hydrogen,2040,26z-debug-noCO2Cap-foresight,MMBtu,173
USENSYS,MISS,hydrogen,2050,26z-debug-noCO2Cap-foresight,MMBtu,370
USENSYS,MISW,hydrogen,2030,26z-debug-noCO2Cap-foresight,MMBtu,75
USENSYS,MISW,hydrogen,2040,26z-debug-noCO2Cap-foresight,MMBtu,195
USENSYS,MISW,hydrogen,2050,26z-debug-noCO2Cap-foresight,MMBtu,393
USENSYS,NWPP,hydrogen,2030,26z-debug-noCO2Cap-foresight,MMBtu,47
USENSYS,NWPP,hydrogen,2040,26z-debug-noCO2Cap-foresight,MMBtu,172
USENSYS,NWPP,hydrogen,2050,26z-debug-noCO2Cap-foresight,MMBtu,401
USENSYS,NYCW,hydrogen,2030,26z-debug-noCO2Cap-foresight,MMBtu,71
USENSYS,NYCW,hydrogen,2040,26z-debug-noCO2Cap-foresight,MMBtu,190
USENSYS,NYCW,hydrogen,2050,26z-debug-noCO2Cap-foresight,MMBtu,367
USENSYS,NYUP,hydrogen,2030,26z-debug-noCO2Cap-foresight,MMBtu,59
USENSYS,NYUP,hydrogen,2040,26z-debug-noCO2Cap-foresight,MMBtu,175
USENSYS,NYUP,hydrogen,2050,26z-debug-noCO2Cap-foresight,MMBtu,338
USENSYS,PJMC,hydrogen,2030,26z-debug-noCO2Cap-foresight,MMBtu,73
USENSYS,PJMC,hydrogen,2040,26z-debug-noCO2Cap-foresight,MMBtu,188
USENSYS,PJMC,hydrogen,2050,26z-debug-noCO2Cap-foresight,MMBtu,360
USENSYS,PJMD,hydrogen,2030,26z-debug-noCO2Cap-foresight,MMBtu,69
USENSYS,PJMD,hydrogen,2040,26z-debug-noCO2Cap-foresight,MMBtu,175
USENSYS,PJMD,hydrogen,2050,26z-debug-noCO2Cap-foresight,MMBtu,335
USENSYS,PJME,hydrogen,2030,26z-debug-noCO2Cap-foresight,MMBtu,62
USENSYS,PJME,hydrogen,2040,26z-debug-noCO2Cap-foresight,MMBtu,185
