hour,zone,planning_year,model,case,value
4627,BASN,2040,USENSYS,26z-debug-noCO2Cap-foresight,392.8
4628,BASN,2040,USENSYS,26z-debug-noCO2Cap-foresight,3955.1
4629,BASN,2040,USENSYS,26z-debug-noCO2Cap-foresight,3691.7
4630,BASN,2040,USENSYS,26z-debug-noCO2Cap-foresight,1535.7
4627,CASO,2040,USENSYS,26z-debug-noCO2Cap-foresight,93
4628,CASO,2040,USENSYS,26z-debug-noCO2Cap-foresight,1104
4629,CASO,2040,USENSYS,26z-debug-noCO2Cap-foresight,1281.6
4630,CASO,2040,USENSYS,26z-debug-noCO2Cap-foresight,940.4
4631,CASO,2040,USENSYS,26z-debug-noCO2Cap-foresight,475.7
3737,FRCC,2050,USENSYS,26z-debug-noCO2Cap-foresight,236.4
3738,FRCC,2050,USENSYS,26z-debug-noCO2Cap-foresight,90.7
3739,FRCC,2050,USENSYS,26z-debug-noCO2Cap-foresight,91.9
3740,FRCC,2050,USENSYS,26z-debug-noCO2Cap-foresight,89
89,ISNE,2030,USENSYS,26z-debug-noCO2Cap-foresight,1118.4
90,ISNE,2030,USENSYS,26z-debug-noCO2Cap-foresight,4052.9
91,ISNE,2030,USENSYS,26z-debug-noCO2Cap-foresight,1741.5
92,ISNE,2030,USENSYS,26z-debug-noCO2Cap-foresight,7643.6
93,ISNE,2030,USENSYS,26z-debug-noCO2Cap-foresight,1314.9
89,ISNE,2040,USENSYS,26z-debug-noCO2Cap-foresight,3502.6
90,ISNE,2040,USENSYS,26z-debug-noCO2Cap-foresight,11826.4
91,ISNE,2040,USENSYS,26z-debug-noCO2Cap-foresight,18911
92,ISNE,2040,USENSYS,26z-debug-noCO2Cap-foresight,20244.4
93,ISNE,2040,USENSYS,26z-debug-noCO2Cap-foresight,13609.7
440,ISNE,2040,USENSYS,26z-debug-noCO2Cap-foresight,2756.3
441,ISNE,2040,USENSYS,26z-debug-noCO2Cap-foresight,3221.7
442,ISNE,2040,USENSYS,26z-debug-noCO2Cap-foresight,1143
450,ISNE,2040,USENSYS,26z-debug-noCO2Cap-foresight,2481.9
451,ISNE,2040,USENSYS,26z-debug-noCO2Cap-foresight,6353.8
452,ISNE,2040,USENSYS,26z-debug-noCO2Cap-foresight,8821.5
453,ISNE,2040,USENSYS,26z-debug-noCO2Cap-foresight,4900.9
88,ISNE,2050,USENSYS,26z-debug-noCO2Cap-foresight,486.6
89,ISNE,2050,USENSYS,26z-debug-noCO2Cap-foresight,3816.9
90,ISNE,2050,USENSYS,26z-debug-noCO2Cap-foresight,14552.2
91,ISNE,2050,USENSYS,26z-debug-noCO2Cap-foresight,23231.4
92,ISNE,2050,USENSYS,26z-debug-noCO2Cap-foresight,21994.6
93,ISNE,2050,USENSYS,26z-debug-noCO2Cap-foresight,10178.6
449,ISNE,2050,USENSYS,26z-debug-noCO2Cap-foresight,581.4
450,ISNE,2050,USENSYS,26z-debug-noCO2Cap-foresight,2303
451,ISNE,2050,USENSYS,26z-debug-noCO2Cap-foresight,4596.6
452,ISNE,2050,USENSYS,26z-debug-noCO2Cap-foresight,5161.2
453,ISNE,2050,USENSYS,26z-debug-noCO2Cap-foresight,2384.4
8275,MISC,2050,USENSYS,26z-debug-noCO2Cap-foresight,2161.8
8276,MISC,2050,USENSYS,26z-debug-noCO2Cap-foresight,1390.1
8277,MISC,2050,USENSYS,26z-debug-noCO2Cap-foresight,2
4745,MISW,2030,USENSYS,26z-debug-noCO2Cap-foresight,228.2
4746,MISW,2030,USENSYS,26z-debug-noCO2Cap-foresight,751.1
4769,MISW,2030,USENSYS,26z-debug-noCO2Cap-foresight,648.8
4770,MISW,2030,USENSYS,26z-debug-noCO2Cap-foresight,811
4769,MISW,2040,USENSYS,26z-debug-noCO2Cap-foresight,233.8
4770,MISW,2040,USENSYS,26z-debug-noCO2Cap-foresight,627.1
4771,MISW,2040,USENSYS,26z-debug-noCO2Cap-foresight,778.1
4772,MISW,2040,USENSYS,26z-debug-noCO2Cap-foresight,11.7
8275,MISW,2040,USENSYS,26z-debug-noCO2Cap-foresight,12521.7
8276,MISW,2040,USENSYS,26z-debug-noCO2Cap-foresight,2820.7
8277,MISW,2040,USENSYS,26z-debug-noCO2Cap-foresight,335.4
8274,MISW,2050,USENSYS,26z-debug-noCO2Cap-foresight,3086.4
8275,MISW,2050,USENSYS,26z-debug-noCO2Cap-foresight,9345.5
8276,MISW,2050,USENSYS,26z-debug-noCO2Cap-foresight,13102.7
8277,MISW,2050,USENSYS,26z-debug-noCO2Cap-foresight,4985.6
8278,MISW,2050,USENSYS,26z-debug-noCO2Cap-foresight,1195.2
380,NWPP,2040,USENSYS,26z-debug-noCO2Cap-foresight,20.5
381,NWPP,2040,USENSYS,26z-debug-noCO2Cap-foresight,21.6
