model,zone,resource_name,tech_type,unit,planning_year,case,start_value,end_value
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,MW,2040,26z-debug-noCO2Cap-foresight,0,5875
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug-noCO2Cap-foresight,0,2855
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,MW,2040,26z-debug-noCO2Cap-foresight,0,15935
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,MW,2050,26z-debug-noCO2Cap-foresight,15936,28310
USENSYS,BASN,BASN_naturalgas_ccavgcf_moderate_0,Natural Gas,MW,2050,26z-debug-noCO2Cap-foresight,0,3701
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,MW,2040,26z-debug-noCO2Cap-foresight,0,6016
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,MW,2050,26z-debug-noCO2Cap-foresight,6016,18308
USENSYS,CANO,CANO_utilitypv_class1_moderate_1,Solar,MW,2050,26z-debug-noCO2Cap-foresight,0,425
USENSYS,CANO,CANO_utilitypv_class1_moderate_3,Solar,MW,2040,26z-debug-noCO2Cap-foresight,0,9163
USENSYS,CANO,CANO_utilitypv_class1_moderate_3,Solar,MW,2050,26z-debug-noCO2Cap-foresight,9162,30758
USENSYS,CASO,CASO_naturalgas_ccavgcf_moderate_0,Natural Gas,MW,2050,26z-debug-noCO2Cap-foresight,0,9124
USENSYS,CASO,CASO_utilitypv_class1_moderate_0,Solar,MW,2050,26z-debug-noCO2Cap-foresight,0,10586
USENSYS,CASO,CASO_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug-noCO2Cap-foresight,0,9215
USENSYS,CASO,CASO_utilitypv_class1_moderate_1,Solar,MW,2050,26z-debug-noCO2Cap-foresight,9215,20949
USENSYS,CASO,CASO_utilitypv_class1_moderate_3,Solar,MW,2040,26z-debug-noCO2Cap-foresight,0,15870
USENSYS,CASO,CASO_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug-noCO2Cap-foresight,0,138
USENSYS,CASO,CASO_utilitypv_class1_moderate_5,Solar,MW,2040,26z-debug-noCO2Cap-foresight,138,3314
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_1,Wind,MW,2050,26z-debug-noCO2Cap-foresight,0,1734
