Segment,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Total
Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,0
AnnualSum,1.9662100389602801,1.80746602938134,1.8796754734815397,1.8280083034560268,2.072972687142223,1.8000158576005791,1.9306359371875272,1.760435491426737,1.7633126515410273,1.808315175506496,2.1315298823341053,2.1277439032734677,1.949611262978411,2.0504154716361866,1.8837199974205574,1.799519064013129,1.9574392029938348,1.7727653142655797,1.9203563571417979,1.9185906286729983,1.789822353198392,1.824394979501363,1.8763628807989505,1.8798840044895837,1.8557885029311902,2.1659568384493424,49.520948289782666
t1,6.397815812195726e-5,6.402171400275659e-5,6.255577132137277e-5,6.340977100886876e-5,6.396178111388749e-5,6.308257780488234e-5,6.729854945131534e-5,6.357468222017061e-5,6.255686260714166e-5,6.05087543002756e-5,6.701727673503483e-5,6.588643139311987e-5,6.402548315826082e-5,6.367544347573864e-5,6.04212513107353e-5,6.095120121162195e-5,6.180338829730584e-5,6.359090004428698e-5,6.445645847029146e-5,6.285293205494398e-5,6.159452628130603e-5,6.275318211700344e-5,6.184793926978029e-5,6.447311234464456e-5,6.255043770978758e-5,6.447376864844274e-5,0.0016473223544749328
t2,6.317080003640544e-5,6.421661899850421e-5,6.278302364801604e-5,6.40829320944348e-5,6.35136313708702e-5,6.304445168090458e-5,6.788040595930398e-5,6.319565776700443e-5,6.193297210604231e-5,6.0571121404789325e-5,6.693485405116255e-5,6.491816955737357e-5,6.356601794115776e-5,6.36446281354728e-5,6.0381582676011685e-5,6.100568833242438e-5,6.13479686263492e-5,6.296194880076743e-5,6.402269796988879e-5,6.239532674675104e-5,6.150280596105387e-5,6.291563555706015e-5,6.229955834113279e-5,6.38283805269458e-5,6.238223598555235e-5,6.420938928614548e-5,0.001642708503561525
t3,6.303146731731108e-5,6.385316534700817e-5,6.292269094743233e-5,6.409766713219762e-5,6.344419045429454e-5,6.312114686269092e-5,6.698890737674391e-5,6.317554326131352e-5,6.28824493885464e-5,6.085010810375964e-5,6.782364295027297e-5,6.519500222999871e-5,6.390396231100561e-5,6.361120879929834e-5,6.035413023104381e-5,6.092469253270191e-5,6.100122233466333e-5,6.242752923290247e-5,6.396355697156977e-5,6.228636792434523e-5,6.12099784404516e-5,6.254539980735936e-5,6.199978109814359e-5,6.390992778326437e-5,6.189636678886246e-5,6.37037013757305e-5,0.0016411238070029124
t4,6.365036143367286e-5,6.483680146036567e-5,6.37719500367932e-5,6.453614111851086e-5,6.331067354538467e-5,6.288929565008955e-5,6.70925861344942e-5,6.333619330436431e-5,6.336632090680366e-5,6.179561684140829e-5,6.663002291482396e-5,6.519010638499592e-5,6.410445582222625e-5,6.40760819238196e-5,6.153898444657205e-5,6.157804851850121e-5,6.0387274780339754e-5,6.211330371422999e-5,6.312055710149613e-5,6.20071023777906e-5,6.213909662327298e-5,6.307002917049708e-5,6.249846876125998e-5,6.429556807947614e-5,6.249866615466321e-5,6.361499063785139e-5,0.0016474486978437035
t5,6.293146297879499e-5,6.502555352560391e-5,6.409476292295132e-5,6.41198651468349e-5,6.32728617774745e-5,6.299847974387053e-5,6.75911496035515e-5,6.310805202610866e-5,6.272236511882622e-5,6.20705356818299e-5,6.637611391440764e-5,6.43320167415351e-5,6.37762850712373e-5,6.39350975363465e-5,6.12416412772141e-5,6.156934411929763e-5,6.029169115593724e-5,6.18788259941923e-5,6.311476156388504e-5,6.185836777249107e-5,6.150628547222079e-5,6.311987412726473e-5,6.244407800086153e-5,6.392248007704546e-5,6.246792585928465e-5,6.3659175207622e-5,0.0016434290524166895
t6,6.260547037057149e-5,6.40457157233539e-5,6.404132042283131e-5,6.319981503803986e-5,6.296255367682106e-5,6.266919226848063e-5,6.649940493416733e-5,6.272751819331164e-5,6.304930354995435e-5,6.25266248884271e-5,6.617841396410265e-5,6.439630692836224e-5,6.38999433614967e-5,6.364588078795053e-5,6.0627238388918944e-5,6.1113394102259e-5,6.0158829718989115e-5,6.159545320578693e-5,6.320197738178562e-5,6.153133495642137e-5,6.071928983597941e-5,6.232267854346826e-5,6.181746440131807e-5,6.390112881112294e-5,6.182536284656247e-5,6.325992215196442e-5,0.0016345215384524475
t7,6.267297540103604e-5,6.48273033602147e-5,6.44794227203016e-5,6.240241875881285e-5,6.278068132672567e-5,6.22949851867346e-5,6.639155609087137e-5,6.285556835016135e-5,6.302607603440542e-5,6.247155309813633e-5,6.552692263951582e-5,6.41857912506575e-5,6.346898192662186e-5,6.32117322068639e-5,6.05233348588548e-5,6.088213552601164e-5,5.9763426707588836e-5,6.151427641909995e-5,6.257588355180511e-5,6.151309713896631e-5,6.075581062610888e-5,6.228085852854836e-5,6.185094170978842e-5,6.340184032230356e-5,6.233462713280976e-5,6.335073053157089e-5,0.0016313429314045156
t8,6.232501974196517e-5,6.458913491979683e-5,6.445982271998697e-5,6.182546394036769e-5,6.289921439969001e-5,6.256601073004524e-5,6.690755778792311e-5,6.278324388446072e-5,6.142362236989993e-5,6.240411092833306e-5,6.570628801464391e-5,6.36172331550452e-5,6.308112957633291e-5,6.25274979280037e-5,5.9291396337045274e-5,6.031013267424842e-5,5.990830299097446e-5,6.16300825673924e-5,6.28465371348367e-5,6.17711466427843e-5,5.984682457018207e-5,6.199180270394792e-5,6.122816885573071e-5,6.339543089958936e-5,6.250266358903641e-5,6.368757858513166e-5,0.0016255254176473942
t9,6.20554276980526e-5,6.361770535597275e-5,6.401095304879616e-5,6.051696993897695e-5,6.31361080078466e-5,6.183826049603757e-5,6.584426359265378e-5,6.219450625522973e-5,6.114123582729884e-5,6.249280464069332e-5,6.630803229056566e-5,6.440301373565165e-5,6.284931056090317e-5,6.1561012694614e-5,5.747760717982908e-5,5.915026108913774e-5,5.9852338256810734e-5,6.174529481889509e-5,6.332251785963328e-5,6.14514846154159e-5,5.86612813276519e-5,6.06935925717706e-5,5.9786622815485904e-5,6.335936975518756e-5,6.105267289256914e-5,6.302090690863295e-5,0.0016115435542343125
t10,6.222403514489927e-5,6.409306810753538e-5,6.387406278020068e-5,6.06896685724042e-5,6.384412156649597e-5,6.181433475772354e-5,6.584909829148678e-5,6.239784180893256e-5,6.117223917175567e-5,6.204727349499177e-5,6.635284556170542e-5,6.527469077591e-5,6.30056906145717e-5,6.187807773073594e-5,5.830210826786273e-5,5.9572110161836364e-5,5.9922917311095986e-5,6.241336047666874e-5,6.338240345002043e-5,6.185578991471022e-5,5.880055510375401e-5,6.107658221376607e-5,6.011110302291803e-5,6.307847962795803e-5,6.157535073277204e-5,6.341879930864803e-5,0.0016180266079713595
