model,line_name,planning_year,case,unit,start_value,end_value
USENSYS,MISW_to_SPPN,2040,26z-debug-highCCScost,MW,5512,5519
USENSYS,NWPP_to_RMRG,2040,26z-debug-highCCScost,MW,1397,8619
USENSYS,NWPP_to_SPPN,2040,26z-debug-highCCScost,MW,711,757
USENSYS,NYCW_to_NYUP,2040,26z-debug-highCCScost,MW,3553,3558
USENSYS,NYCW_to_PJME,2040,26z-debug-highCCScost,MW,6119,10000
USENSYS,NYUP_to_PJME,2040,26z-debug-highCCScost,MW,5111,6620
USENSYS,PJMD_to_PJME,2040,26z-debug-highCCScost,MW,6273,6281
USENSYS,PJMD_to_PJMW,2040,26z-debug-highCCScost,MW,6930,6932
USENSYS,PJMD_to_SRCA,2040,26z-debug-highCCScost,MW,1000,2297
USENSYS,PJME_to_PJMW,2040,26z-debug-highCCScost,MW,4087,22352
USENSYS,PJMW_to_SRCA,2040,26z-debug-highCCScost,MW,1219,1225
USENSYS,PJMW_to_SRCE,2040,26z-debug-highCCScost,MW,3405,10226
USENSYS,RMRG_to_SPPC,2040,26z-debug-highCCScost,MW,9992,9999
USENSYS,RMRG_to_SPPN,2040,26z-debug-highCCScost,MW,4082,7107
USENSYS,RMRG_to_SRSG,2040,26z-debug-highCCScost,MW,614,2051
USENSYS,SPPC_to_SPPN,2040,26z-debug-highCCScost,MW,1450,3171
USENSYS,SPPC_to_SPPS,2040,26z-debug-highCCScost,MW,3384,3498
USENSYS,SPPN_to_SPPS,2040,26z-debug-highCCScost,MW,4929,5455
USENSYS,SPPS_to_SRSG,2040,26z-debug-highCCScost,MW,2668,9052
USENSYS,SPPS_to_TRE,2040,26z-debug-highCCScost,MW,8430,10000
USENSYS,SPPS_to_TRE_WEST,2040,26z-debug-highCCScost,MW,5647,8957
USENSYS,SRCA_to_SRCE,2040,26z-debug-highCCScost,MW,246,5469
USENSYS,SRCA_to_SRSE,2040,26z-debug-highCCScost,MW,1400,1411
USENSYS,SRCE_to_SRSE,2040,26z-debug-highCCScost,MW,3196,3803
USENSYS,SRSG_to_TRE,2040,26z-debug-highCCScost,MW,1989,2184
USENSYS,TRE_to_TRE_WEST,2040,26z-debug-highCCScost,MW,16529,16530
USENSYS,BASN_to_CANO,2050,26z-debug-highCCScost,MW,100,119
USENSYS,CANO_to_NWPP,2050,26z-debug-highCCScost,MW,3675,5313
USENSYS,CASO_to_NWPP,2050,26z-debug-highCCScost,MW,2858,3108
USENSYS,CASO_to_SRSG,2050,26z-debug-highCCScost,MW,4354,14591
USENSYS,FRCC_to_SRSE,2050,26z-debug-highCCScost,MW,3600,7156
USENSYS,ISNE_to_NYCW,2050,26z-debug-highCCScost,MW,760,857
USENSYS,ISNE_to_NYUP,2050,26z-debug-highCCScost,MW,1400,8270
USENSYS,MISC_to_MISE,2050,26z-debug-highCCScost,MW,0,3823
USENSYS,MISC_to_MISS,2050,26z-debug-highCCScost,MW,1039,1041
USENSYS,MISC_to_MISW,2050,26z-debug-highCCScost,MW,1655,1656
USENSYS,MISC_to_PJMW,2050,26z-debug-highCCScost,MW,5441,18760
USENSYS,MISC_to_SPPC,2050,26z-debug-highCCScost,MW,1430,9632
USENSYS,MISC_to_SPPN,2050,26z-debug-highCCScost,MW,0,9998
USENSYS,MISC_to_SPPS,2050,26z-debug-highCCScost,MW,1172,11720
USENSYS,MISE_to_MISW,2050,26z-debug-highCCScost,MW,0,3598
USENSYS,MISS_to_SPPC,2050,26z-debug-highCCScost,MW,0,9731
USENSYS,MISS_to_SPPS,2050,26z-debug-highCCScost,MW,1697,16969
USENSYS,MISS_to_SRSE,2050,26z-debug-highCCScost,MW,891,9999
USENSYS,MISW_to_NWPP,2050,26z-debug-highCCScost,MW,200,210
USENSYS,MISW_to_PJMC,2050,26z-debug-highCCScost,MW,3200,11522
USENSYS,MISW_to_SPPC,2050,26z-debug-highCCScost,MW,0,2685
USENSYS,MISW_to_SPPN,2050,26z-debug-highCCScost,MW,5512,5514
USENSYS,NWPP_to_RMRG,2050,26z-debug-highCCScost,MW,400,3219
USENSYS,NWPP_to_SPPN,2050,26z-debug-highCCScost,MW,0,290
USENSYS,NYCW_to_NYUP,2050,26z-debug-highCCScost,MW,2489,4586
USENSYS,NYCW_to_PJME,2050,26z-debug-highCCScost,MW,660,9998
USENSYS,NYUP_to_PJME,2050,26z-debug-highCCScost,MW,1255,6688
USENSYS,PJMC_to_PJMW,2050,26z-debug-highCCScost,MW,980,10000
USENSYS,PJMD_to_PJME,2050,26z-debug-highCCScost,MW,1200,5592
USENSYS,PJMD_to_SRCA,2050,26z-debug-highCCScost,MW,1000,1426
USENSYS,PJME_to_PJMW,2050,26z-debug-highCCScost,MW,3885,16590
USENSYS,PJMW_to_SRCA,2050,26z-debug-highCCScost,MW,1219,1220
USENSYS,PJMW_to_SRCE,2050,26z-debug-highCCScost,MW,3333,12028
USENSYS,RMRG_to_SPPC,2050,26z-debug-highCCScost,MW,210,9997
USENSYS,RMRG_to_SPPN,2050,26z-debug-highCCScost,MW,410,7937
USENSYS,RMRG_to_SRSG,2050,26z-debug-highCCScost,MW,614,6928
USENSYS,SPPC_to_SPPN,2050,26z-debug-highCCScost,MW,1433,3933
USENSYS,SPPC_to_SPPS,2050,26z-debug-highCCScost,MW,3372,5503
USENSYS,SPPN_to_SPPS,2050,26z-debug-highCCScost,MW,0,6645
USENSYS,SPPS_to_SRSG,2050,26z-debug-highCCScost,MW,1010,8312
USENSYS,SPPS_to_TRE,2050,26z-debug-highCCScost,MW,600,10000
USENSYS,SPPS_to_TRE_WEST,2050,26z-debug-highCCScost,MW,220,8859
USENSYS,SRCA_to_SRCE,2050,26z-debug-highCCScost,MW,216,4164
USENSYS,SRCE_to_SRSE,2050,26z-debug-highCCScost,MW,3196,5074
USENSYS,SRSG_to_TRE,2050,26z-debug-highCCScost,MW,0,4706
