hour,zone,planning_year,model,case,value
89,ISNE,2030,USENSYS,26z-debug-highCCScost,2808.8
90,ISNE,2030,USENSYS,26z-debug-highCCScost,2898
91,ISNE,2030,USENSYS,26z-debug-highCCScost,2896.7
92,ISNE,2030,USENSYS,26z-debug-highCCScost,2875.7
93,ISNE,2030,USENSYS,26z-debug-highCCScost,2822.9
7629,BASN,2040,USENSYS,26z-debug-highCCScost,0.4
7630,BASN,2040,USENSYS,26z-debug-highCCScost,0.4
7631,BASN,2040,USENSYS,26z-debug-highCCScost,0.4
7632,BASN,2040,USENSYS,26z-debug-highCCScost,0.4
7633,BASN,2040,USENSYS,26z-debug-highCCScost,0.3
7634,BASN,2040,USENSYS,26z-debug-highCCScost,0.3
7635,BASN,2040,USENSYS,26z-debug-highCCScost,0.2
7636,BASN,2040,USENSYS,26z-debug-highCCScost,0.2
7637,BASN,2040,USENSYS,26z-debug-highCCScost,0.1
7638,BASN,2040,USENSYS,26z-debug-highCCScost,0.1
7639,BASN,2040,USENSYS,26z-debug-highCCScost,0.1
7640,BASN,2040,USENSYS,26z-debug-highCCScost,0.1
7641,BASN,2040,USENSYS,26z-debug-highCCScost,0.1
7642,BASN,2040,USENSYS,26z-debug-highCCScost,0.1
7629,CANO,2040,USENSYS,26z-debug-highCCScost,0.4
7630,CANO,2040,USENSYS,26z-debug-highCCScost,0.4
7631,CANO,2040,USENSYS,26z-debug-highCCScost,0.4
7632,CANO,2040,USENSYS,26z-debug-highCCScost,0.4
7633,CANO,2040,USENSYS,26z-debug-highCCScost,0.4
7634,CANO,2040,USENSYS,26z-debug-highCCScost,0.4
7635,CANO,2040,USENSYS,26z-debug-highCCScost,0.4
7636,CANO,2040,USENSYS,26z-debug-highCCScost,0.4
7637,CANO,2040,USENSYS,26z-debug-highCCScost,0.4
7638,CANO,2040,USENSYS,26z-debug-highCCScost,0.4
7639,CANO,2040,USENSYS,26z-debug-highCCScost,0.4
7640,CANO,2040,USENSYS,26z-debug-highCCScost,0.4
7641,CANO,2040,USENSYS,26z-debug-highCCScost,0.4
7642,CANO,2040,USENSYS,26z-debug-highCCScost,0.4
7643,CANO,2040,USENSYS,26z-debug-highCCScost,0.6
7629,CASO,2040,USENSYS,26z-debug-highCCScost,2.7
7630,CASO,2040,USENSYS,26z-debug-highCCScost,2.8
7631,CASO,2040,USENSYS,26z-debug-highCCScost,2.8
7632,CASO,2040,USENSYS,26z-debug-highCCScost,2.8
7633,CASO,2040,USENSYS,26z-debug-highCCScost,2.8
7634,CASO,2040,USENSYS,26z-debug-highCCScost,2.9
7635,CASO,2040,USENSYS,26z-debug-highCCScost,2.9
7636,CASO,2040,USENSYS,26z-debug-highCCScost,2.9
7637,CASO,2040,USENSYS,26z-debug-highCCScost,2.8
7638,CASO,2040,USENSYS,26z-debug-highCCScost,2.8
7639,CASO,2040,USENSYS,26z-debug-highCCScost,2.7
7640,CASO,2040,USENSYS,26z-debug-highCCScost,2.6
7641,CASO,2040,USENSYS,26z-debug-highCCScost,2.5
7642,CASO,2040,USENSYS,26z-debug-highCCScost,1.5
7643,CASO,2040,USENSYS,26z-debug-highCCScost,1.7
89,ISNE,2040,USENSYS,26z-debug-highCCScost,647.7
90,ISNE,2040,USENSYS,26z-debug-highCCScost,3773.2
91,ISNE,2040,USENSYS,26z-debug-highCCScost,6920
92,ISNE,2040,USENSYS,26z-debug-highCCScost,6729.8
93,ISNE,2040,USENSYS,26z-debug-highCCScost,1783.6
94,ISNE,2040,USENSYS,26z-debug-highCCScost,161.9
7629,MISC,2040,USENSYS,26z-debug-highCCScost,0.7
7630,MISC,2040,USENSYS,26z-debug-highCCScost,0.7
7631,MISC,2040,USENSYS,26z-debug-highCCScost,0.7
7632,MISC,2040,USENSYS,26z-debug-highCCScost,0.7
7633,MISC,2040,USENSYS,26z-debug-highCCScost,0.7
7634,MISC,2040,USENSYS,26z-debug-highCCScost,0.7
7635,MISC,2040,USENSYS,26z-debug-highCCScost,0.7
7636,MISC,2040,USENSYS,26z-debug-highCCScost,0.7
7637,MISC,2040,USENSYS,26z-debug-highCCScost,0.7
7638,MISC,2040,USENSYS,26z-debug-highCCScost,0.7
7639,MISC,2040,USENSYS,26z-debug-highCCScost,0.7
7640,MISC,2040,USENSYS,26z-debug-highCCScost,0.7
7641,MISC,2040,USENSYS,26z-debug-highCCScost,0.1
7629,MISE,2040,USENSYS,26z-debug-highCCScost,0.1
7630,MISE,2040,USENSYS,26z-debug-highCCScost,0.1
7631,MISE,2040,USENSYS,26z-debug-highCCScost,0.1
7638,MISE,2040,USENSYS,26z-debug-highCCScost,0.1
7639,MISE,2040,USENSYS,26z-debug-highCCScost,0.1
7640,MISE,2040,USENSYS,26z-debug-highCCScost,0.1
7629,MISS,2040,USENSYS,26z-debug-highCCScost,0.1
7630,MISS,2040,USENSYS,26z-debug-highCCScost,0.1
7629,MISW,2040,USENSYS,26z-debug-highCCScost,0.9
7630,MISW,2040,USENSYS,26z-debug-highCCScost,0.9
7631,MISW,2040,USENSYS,26z-debug-highCCScost,0.9
7632,MISW,2040,USENSYS,26z-debug-highCCScost,0.9
7633,MISW,2040,USENSYS,26z-debug-highCCScost,0.9
7634,MISW,2040,USENSYS,26z-debug-highCCScost,0.9
7635,MISW,2040,USENSYS,26z-debug-highCCScost,0.9
7636,MISW,2040,USENSYS,26z-debug-highCCScost,0.9
7637,MISW,2040,USENSYS,26z-debug-highCCScost,0.9
7638,MISW,2040,USENSYS,26z-debug-highCCScost,0.9
7639,MISW,2040,USENSYS,26z-debug-highCCScost,0.9
7640,MISW,2040,USENSYS,26z-debug-highCCScost,0.9
7641,MISW,2040,USENSYS,26z-debug-highCCScost,1
7629,NWPP,2040,USENSYS,26z-debug-highCCScost,2713.6
7630,NWPP,2040,USENSYS,26z-debug-highCCScost,2778.9
7631,NWPP,2040,USENSYS,26z-debug-highCCScost,2802.7
7632,NWPP,2040,USENSYS,26z-debug-highCCScost,2711.2
7633,NWPP,2040,USENSYS,26z-debug-highCCScost,2118.8
7634,NWPP,2040,USENSYS,26z-debug-highCCScost,1205.7
7635,NWPP,2040,USENSYS,26z-debug-highCCScost,226.1
7636,NWPP,2040,USENSYS,26z-debug-highCCScost,1.5
7637,NWPP,2040,USENSYS,26z-debug-highCCScost,1.2
7638,NWPP,2040,USENSYS,26z-debug-highCCScost,1
7639,NWPP,2040,USENSYS,26z-debug-highCCScost,1
7640,NWPP,2040,USENSYS,26z-debug-highCCScost,0.9
7641,NWPP,2040,USENSYS,26z-debug-highCCScost,0.9
7642,NWPP,2040,USENSYS,26z-debug-highCCScost,0.1
7643,NWPP,2040,USENSYS,26z-debug-highCCScost,0.1
88,NYCW,2040,USENSYS,26z-debug-highCCScost,4.6
89,NYCW,2040,USENSYS,26z-debug-highCCScost,4.8
90,NYCW,2040,USENSYS,26z-debug-highCCScost,4.8
91,NYCW,2040,USENSYS,26z-debug-highCCScost,4.8
92,NYCW,2040,USENSYS,26z-debug-highCCScost,4.8
93,NYCW,2040,USENSYS,26z-debug-highCCScost,4.8
94,NYCW,2040,USENSYS,26z-debug-highCCScost,3.2
7629,PJMC,2040,USENSYS,26z-debug-highCCScost,721
7630,PJMC,2040,USENSYS,26z-debug-highCCScost,732.8
7631,PJMC,2040,USENSYS,26z-debug-highCCScost,737.8
7632,PJMC,2040,USENSYS,26z-debug-highCCScost,738.4
7633,PJMC,2040,USENSYS,26z-debug-highCCScost,735.7
7634,PJMC,2040,USENSYS,26z-debug-highCCScost,731.4
7635,PJMC,2040,USENSYS,26z-debug-highCCScost,726.4
7636,PJMC,2040,USENSYS,26z-debug-highCCScost,721.1
7637,PJMC,2040,USENSYS,26z-debug-highCCScost,714.1
7638,PJMC,2040,USENSYS,26z-debug-highCCScost,705.1
7639,PJMC,2040,USENSYS,26z-debug-highCCScost,693.8
7640,PJMC,2040,USENSYS,26z-debug-highCCScost,677
7641,PJMC,2040,USENSYS,26z-debug-highCCScost,371
7629,PJMW,2040,USENSYS,26z-debug-highCCScost,0.1
7630,PJMW,2040,USENSYS,26z-debug-highCCScost,0.1
7631,PJMW,2040,USENSYS,26z-debug-highCCScost,0.1
7632,PJMW,2040,USENSYS,26z-debug-highCCScost,0.1
7633,PJMW,2040,USENSYS,26z-debug-highCCScost,0.1
7634,PJMW,2040,USENSYS,26z-debug-highCCScost,0.1
7635,PJMW,2040,USENSYS,26z-debug-highCCScost,0.1
7636,PJMW,2040,USENSYS,26z-debug-highCCScost,0.1
7637,PJMW,2040,USENSYS,26z-debug-highCCScost,0.1
7638,PJMW,2040,USENSYS,26z-debug-highCCScost,0.1
7639,PJMW,2040,USENSYS,26z-debug-highCCScost,0.1
7640,PJMW,2040,USENSYS,26z-debug-highCCScost,0.1
7629,RMRG,2040,USENSYS,26z-debug-highCCScost,0.1
7630,RMRG,2040,USENSYS,26z-debug-highCCScost,0.1
7631,RMRG,2040,USENSYS,26z-debug-highCCScost,0.1
7632,RMRG,2040,USENSYS,26z-debug-highCCScost,0.1
7633,RMRG,2040,USENSYS,26z-debug-highCCScost,0.1
7634,RMRG,2040,USENSYS,26z-debug-highCCScost,0.1
7635,RMRG,2040,USENSYS,26z-debug-highCCScost,0.1
7636,RMRG,2040,USENSYS,26z-debug-highCCScost,0.1
7637,RMRG,2040,USENSYS,26z-debug-highCCScost,0.1
7638,RMRG,2040,USENSYS,26z-debug-highCCScost,0.1
7639,RMRG,2040,USENSYS,26z-debug-highCCScost,0.1
7640,RMRG,2040,USENSYS,26z-debug-highCCScost,0.1
7641,RMRG,2040,USENSYS,26z-debug-highCCScost,0.1
7629,SPPC,2040,USENSYS,26z-debug-highCCScost,0.4
7630,SPPC,2040,USENSYS,26z-debug-highCCScost,0.4
7631,SPPC,2040,USENSYS,26z-debug-highCCScost,0.4
7632,SPPC,2040,USENSYS,26z-debug-highCCScost,0.4
7633,SPPC,2040,USENSYS,26z-debug-highCCScost,0.4
7634,SPPC,2040,USENSYS,26z-debug-highCCScost,0.4
7635,SPPC,2040,USENSYS,26z-debug-highCCScost,0.4
