Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25,Zone26
cTotal,1.9763665162614813e11,5.186223197351469e9,4.0848436866581078e9,6.224947310920854e9,1.401510636886127e10,6.79894170580501e9,1.0613610496311121e10,5.396454812562503e9,8.961962073441473e9,1.0439769817860033e10,5.6327286261404505e9,3.5776322299622736e9,3.669585731777842e9,3.9691143785074883e9,4.450621234512221e9,1.1039900466539831e10,1.775622480568847e10,3.9905953394471745e9,3.4736288242213936e9,2.465671898576366e9,5.286955455760822e9,1.110091347482496e10,9.561497525456219e9,1.3359885099691715e10,5.771261992963523e9,1.6814775305215855e10,1.9485507148619752e9
cFix,1.4696648632183005e11,4.865515945820001e9,2.83949344063e9,3.87974859068e9,8.51994923613e9,5.11115495035e9,8.575217174500001e9,3.9178027620299997e9,5.9664070985199995e9,7.868042209190001e9,5.43436131253e9,2.714280805709999e9,3.1677435494e9,2.68527187424e9,3.55860880067e9,7.31786026187e9,1.2046019123079998e10,3.89321814346e9,3.06818549397e9,2.34365062118e9,4.70677311439e9,7.98461226863e9,7.87829225465e9,8.528206954430001e9,4.82962953203e9,1.348000711694e10,1.7864336868e9
cVar,1.016277044053049e10,2.9763218742728584e7,2.0323688183298418e8,5.251474256101161e8,1.182097237508201e9,1.8630369819993398e8,5.2037079307952285e8,4.033031386445593e8,6.679474722172611e8,6.05855632532317e8,3.619383546303224e7,1.485801920378405e8,1.0416781603006816e8,2.8076312917509943e8,1.3385485650016014e8,5.884841870245265e8,1.409518191114223e9,7.797978288818872e6,8.765381027906123e7,2.2400055014522262e7,5.944671919261579e7,7.105973760887318e8,3.4783065229064167e8,1.052768502492072e9,1.8051079212812772e8,6.499167514408209e8,1.826009760488258e7
cFuel,3.235612640364948e10,2.3651034475287765e8,9.112237621044991e8,1.5991877327332082e9,3.6797161687312155e9,1.1567480337762375e9,1.2556651241202962e9,9.499449623105496e8,1.9675402789675121e9,1.6103817000367923e9,1.4777395154507872e8,6.613841116918628e8,3.5237656639912456e8,8.910165700740672e8,5.929732940268425e8,2.510671413065824e9,3.5863481731630588e9,6.4824532611555755e7,2.6203295441301516e8,8.14473783894768e7,3.987552291522502e8,2.1038804221674926e9,1.1250182743182015e9,3.2272836554311e9,6.547002688470489e8,2.211039563992363e9,1.176819368294593e8
cNSE,1.7233427264324024e8,18323.86769711246,18458.69298431936,19017.234164712834,17757.44793514175,1.714464959220984e8,18074.85994929184,18012.669092815453,17807.07206180693,18178.45162258601,18376.7939889571,452501.7841166629,18385.72438958083,18217.10783556443,18308.319780027054,18756.10334979345,18064.64090346805,18171.324016407456,17750.696677164404,17858.521971153536,17883.89108133963,17930.439141254486,18079.086483255014,17840.3115872843,18410.735339310813,18243.60822630701,17367.336747189314
cStart,5.933685135263472e9,5.441536416816467e7,1.3087114339764002e8,2.2084454466336593e8,6.333259690439184e8,1.7328852755674082e8,2.6233932975135258e8,1.2538593690830074e8,3.6004941666463816e8,3.554720976492985e8,1.4381149808351882e7,5.2934618738454305e7,4.527941422425931e7,1.1204458791048653e8,1.6516597499543855e8,6.228658484761326e8,7.143212536902838e8,2.4736513762783326e7,5.5738814862640746e7,1.815598547039579e7,1.2196250913487504e8,3.0180547749959403e8,2.1033826511089286e8,5.516081470269544e8,1.0640298922300737e8,4.737936292344471e8,2.6157626290886227e7
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,2.133520750890103e7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,2.0239138446747003e9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
