Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,Line_Max_Flow_MW,Line_Min_Flow_MW,transmission_path_name,Line_Reinforcement_Cost_per_MWyr,Line_Reinforcement_Cost_per_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW,DerateCapRes_1,DerateCapRes_2,DerateCapRes_3,DerateCapRes_4,DerateCapRes_5,DerateCapRes_6,DerateCapRes_7,DerateCapRes_8,DerateCapRes_9,DerateCapRes_10,CapRes_Excl_1,CapRes_Excl_2,CapRes_Excl_3,CapRes_Excl_4,CapRes_Excl_5,CapRes_Excl_6,CapRes_Excl_7,CapRes_Excl_8,CapRes_Excl_9,CapRes_Excl_10,Line_Max_Flow_Possible_MW,WACC,Capital_Recovery_Period
z11,11,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020.3,760,ISNE_to_NYCW,1000000000000.0,2378021,0.0721,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,-1,1,100000,0.044,60
z12,12,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13761.1,1400,ISNE_to_NYUP,1000000000000.0,1179714,0.1191,14000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,-1,1,100000,0.044,60
z13,13,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10980.7,0,MISC_to_MISE,1000000000000.0,1129450,0.074,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
z14,14,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039.7,1039,MISC_to_MISS,1000000000000.0,1262178,0.0881,10390,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
z15,15,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655.5,1655,MISC_to_MISW,1000000000000.0,1660457,0.1021,16550,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
z16,16,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5244.7,5244,MISC_to_PJMC,1000000000000.0,689784,0.0466,52440,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,1,0,-1,0,0,100000,0.044,60
z17,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,39233.8,5441,MISC_to_PJMW,1000000000000.0,972839,0.1192,54410,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,1,0,-1,0,0,100000,0.044,60
z18,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,16413.800000000003,1430,MISC_to_SPPC,1000000000000.0,792225,0.0518,14300,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,-1,0,1,0,0,0,0,100000,0.044,60
z19,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,19850.6,0,MISC_to_SPPN,1000000000000.0,988276,0.0589,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,-1,0,1,0,0,0,0,100000,0.044,60
z20,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,36263.7,1172,MISC_to_SPPS,1000000000000.0,1103628,0.0729,11720,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,-1,0,1,0,0,0,0,100000,0.044,60
z21,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,3745.3,3745,MISC_to_SRCE,1000000000000.0,1104264,0.1006,37450,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,1,-1,0,0,0,100000,0.044,60
z22,22,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.0,0,MISE_to_MISW,1000000000000.0,1708949,0.0905,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
z23,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2662.5,2662,MISE_to_PJMW,1000000000000.0,980480,0.0876,26620,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,1,0,-1,0,0,100000,0.044,60
z24,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,15111.3,0,MISS_to_SPPC,1000000000000.0,945775,0.0721,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,-1,0,1,0,0,0,0,100000,0.044,60
z25,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,52596.4,1697,MISS_to_SPPS,1000000000000.0,844974,0.0618,16970,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,-1,0,1,0,0,0,0,100000,0.044,60
z26,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,4092.7,4092,MISS_to_SRCE,1000000000000.0,1014989,0.0569,40920,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,1,-1,0,0,0,100000,0.044,60
,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,30863.9,891,MISS_to_SRSE,1000000000000.0,1069576,0.0517,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,1,-1,0,0,0,100000,0.044,60
,28,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.4,200,MISW_to_NWPP,1000000000000.0,2947664,0.2241,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,-1,0,0,1,0,0,0,0,100000,0.044,60
,29,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,12567.5,3200,MISW_to_PJMC,1000000000000.0,831556,0.0557,32000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,1,0,-1,0,0,100000,0.044,60
,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,2475.5,0,MISW_to_SPPC,1000000000000.0,1324545,0.0774,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,-1,0,1,0,0,0,0,100000,0.044,60
,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,5512.4,5512,MISW_to_SPPN,1000000000000.0,1222510,0.0671,55120,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,-1,0,1,0,0,0,0,100000,0.044,60
,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,6507.4,400,NWPP_to_RMRG,1000000000000.0,1843976,0.1319,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
,33,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2689.1,2489,NYCW_to_NYUP,1000000000000.0,1800029,0.0834,24890,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,19162.6,660,NYCW_to_PJME,1000000000000.0,1152711,0.028,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,-1,1,0,100000,0.044,60
,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,11822.8,1255,NYUP_to_PJME,1000000000000.0,878123,0.0825,12550,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,-1,1,0,100000,0.044,60
,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,14424.8,980,PJMC_to_PJMW,1000000000000.0,698063,0.0736,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,15851.5,1200,PJMD_to_PJME,1000000000000.0,483362,0.0481,12000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,6946.9,6930,PJMD_to_PJMW,1000000000000.0,1012675,0.0988,69300,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,2049.5,1000,PJMD_to_SRCA,1000000000000.0,962099,0.1114,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,-1,1,0,0,100000,0.044,60
,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,35230.4,3885,PJME_to_PJMW,1000000000000.0,1019231,0.0846,38850,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,1219.7,1219,PJMW_to_SRCA,1000000000000.0,1419804,0.142,12190,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,-1,1,0,0,100000,0.044,60
,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,4762.3,3333,PJMW_to_SRCE,1000000000000.0,1005971,0.1101,33330,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,-1,1,0,0,100000,0.044,60
,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,25437.5,210,RMRG_to_SPPC,1000000000000.0,729067,0.0534,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,1,-1,0,0,0,0,0,0,100000,0.044,60
,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,15886.6,410,RMRG_to_SPPN,1000000000000.0,650524,0.0445,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,1,-1,0,0,0,0,0,0,100000,0.044,60
,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,13963.599999999999,614,RMRG_to_SRSG,1000000000000.0,1202803,0.1231,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,-1,1,0,0,0,0,0,0,0,100000,0.044,60
,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,6021.9,1433,SPPC_to_SPPN,1000000000000.0,300951,0.0195,14330,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,3610.5,3372,SPPC_to_SPPS,1000000000000.0,511728,0.0339,33720,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,12482.2,0,SPPN_to_SPPS,1000000000000.0,619291,0.0387,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,8959.9,1010,SPPS_to_SRSG,1000000000000.0,1196207,0.1276,10100,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,-1,0,1,0,0,0,0,0,0,100000,0.044,60
,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,30583.6,600,SPPS_to_TRE,1000000000000.0,624286,0.0422,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,100000,0.044,60
,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,30206.7,220,SPPS_to_TRE_WEST,1000000000000.0,557510,0.0339,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,1,-1,0,0,0,0,0,100000,0.044,60
,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,3301.5,216,SRCA_to_SRCE,1000000000000.0,1528569,0.1155,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,1405.2,1400,SRCA_to_SRSE,1000000000000.0,1298487,0.1037,14000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,3197.3,3196,SRCE_to_SRSE,1000000000000.0,1170284,0.0603,31960,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,16529.2,16529,TRE_to_TRE_WEST,1000000000000.0,799317,0.0566,165290,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,0,0,0,0,0,0,0,0,100000,0.044,60
,56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,803.3,0,NWPP_to_SPPN,1000000000000.0,2129864,0.1685,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,0,1,-1,0,0,0,0,0,0,100000,0.044,60
,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,21994.1,0,SRSG_to_TRE,1000000000000.0,1457411,0.1456,10000,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0,1,0,0,-1,0,0,0,0,0,100000,0.044,60
