Period_Index,Rep_Period_Index,Month,Rep_Period
1,7,1,1
2,5,1,2
3,4,1,5
4,7,1,1
5,4,2,5
6,12,2,7
7,12,2,7
8,3,2,8
9,9,3,9
10,14,3,10
11,4,3,5
12,13,3,12
13,4,4,5
14,2,4,22
15,10,4,15
16,2,4,22
17,2,4,22
18,8,5,27
19,1,5,28
20,2,5,22
21,2,5,22
22,2,6,22
23,1,6,28
24,2,6,22
25,8,6,27
26,15,7,26
27,8,7,27
28,1,7,28
29,8,7,27
30,8,7,27
31,1,8,28
32,1,8,28
33,1,8,28
34,1,8,28
35,1,9,28
36,1,9,28
37,8,9,27
38,8,9,27
39,8,9,27
40,1,10,28
41,10,10,15
42,11,10,42
43,5,10,2
44,12,11,7
45,6,11,48
46,6,11,48
47,6,11,48
48,6,12,48
49,6,12,48
50,12,12,7
51,11,12,42
52,3,12,8
