GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
ERCOT_natural_gas_fired_combustion_turbine_1,1997,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,1999,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2000,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2001,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2004,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2006,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2008,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2009,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2010,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2014,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2015,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2016,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2017,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2018,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2019,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2021,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2022,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2023,0,0,.,0
ERCOT_natural_gas_fired_combustion_turbine_1,2025,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1956,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1958,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1960,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1963,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1964,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1965,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1966,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1967,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1968,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1969,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1970,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1971,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1972,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1973,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1974,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1975,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1976,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1977,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1978,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1987,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1988,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,1993,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,2000,0,0,.,0
ERCOT_natural_gas_steam_turbine_1,2012,0,0,.,0
ERCOT_naturalgas_ccavgcf_moderate_0,2050,757677.9105,28000,.,0
ERCOT_naturalgas_ccccsavgcf_conservative_0,2050,1859344.255,67000,.,0
ERCOT_naturalgas_ctavgcf_moderate_0,2050,631763.0017,21000,.,0
ERCOT_nuclear_1,1988,0,0,.,0
ERCOT_nuclear_1,1989,0,0,.,0
ERCOT_nuclear_1,1990,0,0,.,0
ERCOT_nuclear_1,1993,0,0,.,0
ERCOT_nuclear_nuclear_moderate_0,2050,5888264.808,145960,.,0
ERCOT_onshore_wind_turbine_1,1998,0,0,.,0
ERCOT_onshore_wind_turbine_1,2001,0,0,.,0
ERCOT_onshore_wind_turbine_1,2002,0,0,.,0
ERCOT_onshore_wind_turbine_1,2003,0,0,.,0
ERCOT_onshore_wind_turbine_1,2005,0,0,.,0
ERCOT_onshore_wind_turbine_1,2006,0,0,.,0
ERCOT_onshore_wind_turbine_1,2007,0,0,.,0
ERCOT_onshore_wind_turbine_1,2008,0,0,.,0
ERCOT_onshore_wind_turbine_1,2009,0,0,.,0
ERCOT_onshore_wind_turbine_1,2010,0,0,.,0
ERCOT_onshore_wind_turbine_1,2011,0,0,.,0
ERCOT_onshore_wind_turbine_1,2012,0,0,.,0
ERCOT_onshore_wind_turbine_1,2013,0,0,.,0
ERCOT_onshore_wind_turbine_1,2014,0,0,.,0
ERCOT_onshore_wind_turbine_1,2015,0,0,.,0
ERCOT_onshore_wind_turbine_1,2016,0,0,.,0
ERCOT_onshore_wind_turbine_1,2017,0,0,.,0
ERCOT_onshore_wind_turbine_1,2018,0,0,.,0
ERCOT_onshore_wind_turbine_1,2019,0,0,.,0
ERCOT_onshore_wind_turbine_1,2021,0,0,.,0
ERCOT_onshore_wind_turbine_1,2022,0,0,.,0
ERCOT_onshore_wind_turbine_1,2023,0,0,.,0
ERCOT_onshore_wind_turbine_1,2024,0,0,.,0
ERCOT_solar_photovoltaic_1,2010,0,0,.,0
ERCOT_solar_photovoltaic_1,2011,0,0,.,0
ERCOT_solar_photovoltaic_1,2012,0,0,.,0
ERCOT_solar_photovoltaic_1,2013,0,0,.,0
ERCOT_solar_photovoltaic_1,2014,0,0,.,0
ERCOT_solar_photovoltaic_1,2015,0,0,.,0
ERCOT_solar_photovoltaic_1,2016,0,0,.,0
ERCOT_solar_photovoltaic_1,2017,0,0,.,0
ERCOT_solar_photovoltaic_1,2018,0,0,.,0
ERCOT_solar_photovoltaic_1,2019,0,0,.,0
ERCOT_solar_photovoltaic_1,2021,0,0,.,0
ERCOT_solar_photovoltaic_1,2022,0,0,.,0
ERCOT_solar_photovoltaic_1,2023,0,0,.,0
ERCOT_solar_photovoltaic_1,2024,0,0,.,0
ERCOT_utilitypv_class1_moderate_1,2050,629683.4265,13688,.,0
ERCOT_utilitypv_class1_moderate_2,2050,629683.4265,13688,.,0
ERCOT_utilitypv_class1_moderate_3,2050,629683.4265,13688,.,0
ERCOT_utilitypv_class1_moderate_4,2050,629683.4265,13688,.,0
ERCOT_utilitypv_class1_moderate_5,2050,629683.4265,13688,.,0
ERCOT_utilitypv_class1_moderate_6,2050,629683.4265,13688,.,0
Eastern_batteries_1,1970,0,0,0,0
Eastern_batteries_1,1998,0,0,0,0
Eastern_batteries_1,2011,0,0,0,0
Eastern_batteries_1,2012,0,0,0,0
Eastern_batteries_1,2013,0,0,0,0
Eastern_batteries_1,2014,0,0,0,0
Eastern_batteries_1,2015,0,0,0,0
Eastern_batteries_1,2016,0,0,0,0
Eastern_batteries_1,2017,0,0,0,0
Eastern_batteries_1,2018,0,0,0,0
