HYDRO_GENERATION_PROJECTS,hydro_efficiency,hydraulic_location
ERCOT_conventional_hydroelectric_1,0.9803921568627451,ERCOT_conventional_hydroelectric_1
Eastern_conventional_hydroelectric_1,0.9803921568627451,Eastern_conventional_hydroelectric_1
Western_conventional_hydroelectric_1,0.9803921568627451,Western_conventional_hydroelectric_1
