Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
5000.0,1.0,1.0,1.0,5000.0,15.0,168.0,1680.0,1,32727.0,27070.0,41862.0,37594.0,18072.0,32657.0,14269.0,31984.0,35973.0,45202.0,11989.0,10315.0,18130.0,20096.0,47432.0,50000.0,20556.0,14677.0,10330.0,23303.0,34322.0,35046.0,40364.0,35752.0,70908.0,3151.0
,,,,,,,1176.0,2,29094.0,24345.0,37644.0,33466.0,15883.0,29808.0,12760.0,29103.0,31947.0,40437.0,10996.0,9592.0,16619.0,18177.0,43008.0,45470.0,18417.0,13224.0,9245.0,21054.0,30853.0,31349.0,35505.0,32175.0,63261.0,2811.0
,,,,,,,336.0,3,25760.0,21440.0,33146.0,31619.0,15221.0,28000.0,12058.0,27374.0,29334.0,34801.0,10660.0,9326.0,15750.0,17559.0,41347.0,43448.0,16062.0,12118.0,8554.0,19602.0,29923.0,29663.0,33278.0,28748.0,58161.0,2584.0
,,,,,,,672.0,4,22336.0,19004.0,29368.0,30986.0,14697.0,27269.0,11670.0,26993.0,28710.0,29674.0,10421.0,9151.0,15169.0,16875.0,40057.0,41861.0,14497.0,11768.0,8352.0,19277.0,29379.0,28952.0,32458.0,25632.0,56383.0,2505.0
,,,,,,,336.0,5,20300.0,17213.0,26589.0,30259.0,14112.0,26711.0,11403.0,26756.0,28329.0,26269.0,10227.0,9032.0,14674.0,16278.0,38831.0,40560.0,14136.0,11590.0,8207.0,19035.0,28344.0,28322.0,31709.0,23949.0,55532.0,2468.0
,,,,,,,840.0,6,19808.0,16782.0,25912.0,30934.0,13942.0,26443.0,11223.0,26411.0,27623.0,25552.0,10167.0,8974.0,14544.0,16244.0,38850.0,40553.0,13797.0,11392.0,8023.0,18800.0,29385.0,28257.0,31398.0,23592.0,54727.0,2432.0
,,,,,,,336.0,7,19134.0,16295.0,25151.0,34311.0,13500.0,26715.0,11680.0,26508.0,28357.0,24926.0,10180.0,8920.0,14521.0,16080.0,38875.0,40566.0,13279.0,11385.0,8045.0,18774.0,32674.0,29193.0,32427.0,23104.0,55171.0,2451.0
,,,,,,,1344.0,8,18349.0,15863.0,24474.0,39659.0,13511.0,28093.0,12774.0,26899.0,30591.0,24113.0,10647.0,9167.0,15037.0,16999.0,40908.0,42707.0,13526.0,11847.0,8386.0,19104.0,37081.0,31848.0,36015.0,22470.0,55987.0,2488.0
,,,,,,,168.0,9,18544.0,16041.0,24746.0,45929.0,14874.0,30709.0,14374.0,27815.0,33323.0,24814.0,11664.0,9937.0,16182.0,19222.0,45368.0,47661.0,13978.0,12753.0,8957.0,20258.0,42488.0,35628.0,41443.0,22419.0,59964.0,2664.0
,,,,,,,336.0,10,19358.0,15955.0,24619.0,52755.0,17374.0,34121.0,16189.0,30470.0,37290.0,26810.0,12970.0,10906.0,17981.0,22105.0,51346.0,53752.0,14368.0,14062.0,9799.0,22337.0,48549.0,39780.0,47969.0,23770.0,66291.0,2946.0
,,,,,,,336.0,11,21134.0,16701.0,25780.0,58477.0,19597.0,37566.0,18086.0,33156.0,41837.0,30138.0,14156.0,11808.0,19957.0,24537.0,56232.0,59028.0,15894.0,15489.0,10816.0,24662.0,53533.0,43841.0,54048.0,26294.0,74344.0,3303.0
,,,,,,,672.0,12,24031.0,18084.0,27923.0,63376.0,21748.0,40365.0,19885.0,35129.0,45973.0,34149.0,15257.0,12668.0,21725.0,27185.0,61118.0,64271.0,17822.0,16698.0,11838.0,26730.0,58774.0,47414.0,59598.0,29887.0,81385.0,3616.0
,,,,,,,168.0,13,27271.0,20112.0,31071.0,67279.0,23831.0,43375.0,21611.0,38060.0,49861.0,38954.0,16148.0,13322.0,23213.0,29377.0,65311.0,69173.0,19471.0,18054.0,12739.0,29322.0,63141.0,51448.0,65466.0,33898.0,89258.0,3967.0
,,,,,,,168.0,14,30606.0,22265.0,34405.0,69261.0,24312.0,45121.0,22450.0,40399.0,53394.0,42720.0,16393.0,13511.0,24179.0,30105.0,66886.0,71030.0,21382.0,19168.0,13417.0,31508.0,63704.0,53584.0,68818.0,37842.0,96007.0,4266.0
,,,,,,,168.0,15,33806.0,24490.0,37852.0,69810.0,24571.0,45172.0,22903.0,41036.0,54583.0,46083.0,16559.0,13624.0,24486.0,30344.0,67621.0,71556.0,23368.0,19468.0,13715.0,32071.0,63475.0,53816.0,70103.0,41285.0,99284.0,4412.0
,,,,,,,,16,36776.0,26717.0,41304.0,69843.0,25100.0,44886.0,23339.0,40885.0,55315.0,49523.0,16747.0,13743.0,24720.0,30239.0,68377.0,71551.0,24320.0,19539.0,13870.0,32274.0,63568.0,53649.0,71036.0,44043.0,101116.0,4494.0
,,,,,,,,17,38204.0,27946.0,43203.0,69217.0,26123.0,44684.0,23828.0,40553.0,56035.0,50703.0,16917.0,13834.0,24963.0,29898.0,69444.0,71954.0,24792.0,19567.0,14126.0,32484.0,63727.0,53830.0,72142.0,45317.0,102488.0,4554.0
,,,,,,,,18,39225.0,29005.0,44840.0,65503.0,25698.0,43564.0,23060.0,40895.0,57063.0,51558.0,16320.0,13340.0,24734.0,27877.0,66733.0,68243.0,25664.0,19751.0,14400.0,33080.0,59285.0,51989.0,69246.0,46166.0,104191.0,4630.0
,,,,,,,,19,40128.0,30089.0,46522.0,65457.0,27751.0,42492.0,22709.0,38930.0,54093.0,53047.0,16465.0,13434.0,24272.0,28312.0,68178.0,68480.0,27147.0,18853.0,13889.0,31661.0,60940.0,51095.0,68410.0,46718.0,99685.0,4430.0
,,,,,,,,20,40705.0,31259.0,48338.0,65347.0,27888.0,42407.0,22078.0,39851.0,54638.0,55075.0,16063.0,13166.0,23763.0,27579.0,67011.0,66460.0,26443.0,19175.0,14058.0,32416.0,60333.0,50968.0,68383.0,46020.0,100414.0,4463.0
,,,,,,,,21,39789.0,30587.0,47304.0,61085.0,26305.0,41046.0,20987.0,40123.0,52894.0,53863.0,15525.0,12812.0,22446.0,26204.0,64051.0,62897.0,28125.0,18954.0,13770.0,32174.0,55300.0,49252.0,66101.0,45275.0,99812.0,4436.0
,,,,,,,,22,40879.0,31791.0,49174.0,54176.0,25682.0,38931.0,19729.0,38713.0,49499.0,56319.0,15435.0,12807.0,21384.0,24904.0,61978.0,60250.0,28079.0,18191.0,13060.0,30784.0,49928.0,45493.0,59936.0,45661.0,95856.0,4260.0
,,,,,,,,23,39676.0,30857.0,47730.0,47521.0,24628.0,35974.0,17624.0,36160.0,44727.0,55020.0,14592.0,12202.0,20300.0,22599.0,56659.0,55607.0,26097.0,16636.0,11893.0,28458.0,44472.0,40828.0,52954.0,43932.0,88241.0,3922.0
,,,,,,,,24,36690.0,29202.0,45164.0,41796.0,21801.0,32479.0,15565.0,32881.0,39559.0,50821.0,13217.0,11239.0,18577.0,20223.0,50399.0,49688.0,24530.0,14894.0,10638.0,25541.0,39523.0,36323.0,46396.0,40169.0,79175.0,3518.0
,,,,,,,,25,33303.0,27490.0,42515.0,35183.0,17538.0,28204.0,13280.0,30184.0,35184.0,46661.0,11222.0,10002.0,16318.0,17109.0,42178.0,42012.0,21722.0,13403.0,9451.0,23207.0,32327.0,31001.0,38393.0,37213.0,70698.0,3142.0
,,,,,,,,26,29484.0,24490.0,37871.0,31537.0,16086.0,25058.0,12119.0,26151.0,29192.0,41170.0,10506.0,9476.0,14828.0,16237.0,39872.0,39622.0,19327.0,11202.0,7967.0,19800.0,30847.0,28032.0,34259.0,33367.0,60136.0,2672.0
,,,,,,,,27,25207.0,20988.0,32452.0,30498.0,14965.0,24264.0,11716.0,25565.0,28271.0,34939.0,10010.0,9116.0,14143.0,15605.0,38066.0,38040.0,14755.0,10730.0,7625.0,19081.0,30026.0,27162.0,33007.0,28098.0,57256.0,2544.0
,,,,,,,,28,20304.0,17029.0,26356.0,30996.0,14530.0,24065.0,11707.0,25119.0,27740.0,27349.0,9822.0,8967.0,13822.0,15398.0,37488.0,37703.0,14130.0,10550.0,7503.0,18663.0,30769.0,27059.0,32723.0,24220.0,55961.0,2487.0
,,,,,,,,29,19134.0,16258.0,25159.0,32563.0,13996.0,24436.0,12119.0,25480.0,28558.0,25756.0,9747.0,8921.0,13725.0,15396.0,37404.0,37888.0,13581.0,10707.0,7647.0,18872.0,31656.0,27665.0,33403.0,23253.0,56688.0,2519.0
,,,,,,,,30,18374.0,15559.0,24076.0,35595.0,14465.0,25672.0,13036.0,26045.0,29790.0,24786.0,10122.0,9231.0,14136.0,16364.0,39602.0,40281.0,13551.0,11115.0,7940.0,19324.0,34601.0,29346.0,35585.0,22854.0,58513.0,2600.0
,,,,,,,,31,18401.0,15488.0,23959.0,40897.0,15610.0,27940.0,14807.0,27660.0,33197.0,24947.0,11062.0,9904.0,15208.0,17675.0,43884.0,44498.0,13479.0,11884.0,8651.0,20476.0,39799.0,32160.0,39361.0,23309.0,62767.0,2789.0
,,,,,,,,32,18776.0,15641.0,24186.0,47801.0,18693.0,31155.0,17078.0,29107.0,37983.0,25709.0,12554.0,11078.0,17451.0,19542.0,49113.0,49668.0,14492.0,13146.0,9768.0,21680.0,46571.0,36083.0,45503.0,23943.0,66876.0,2971.0
,,,,,,,,33,20399.0,16849.0,26051.0,53269.0,20520.0,34198.0,19021.0,31743.0,42989.0,28499.0,13562.0,11916.0,19466.0,20838.0,51899.0,53596.0,16345.0,14638.0,10878.0,24058.0,51040.0,38754.0,50813.0,25709.0,73228.0,3254.0
,,,,,,,,34,23066.0,18487.0,28596.0,56161.0,20872.0,36055.0,20258.0,33429.0,46276.0,34112.0,14102.0,12364.0,21184.0,21604.0,53516.0,55962.0,18496.0,15596.0,11575.0,25611.0,53410.0,40267.0,54153.0,29256.0,77681.0,3452.0
,,,,,,,,35,26201.0,20959.0,32427.0,58863.0,21953.0,37869.0,21486.0,34514.0,48023.0,39136.0,14884.0,12958.0,22922.0,22884.0,55967.0,59557.0,18985.0,16073.0,11842.0,26691.0,56398.0,42227.0,57674.0,32796.0,80853.0,3593.0
,,,,,,,,36,27963.0,22435.0,34710.0,63030.0,23310.0,40080.0,22930.0,35973.0,50670.0,40633.0,15604.0,13498.0,24723.0,24158.0,59286.0,63138.0,19037.0,16767.0,12260.0,28157.0,59854.0,44653.0,62070.0,34704.0,85204.0,3787.0
,,,,,,,,37,29212.0,23233.0,35943.0,65444.0,24235.0,42224.0,24169.0,37796.0,53748.0,41008.0,16065.0,13833.0,26312.0,25509.0,61691.0,66187.0,20055.0,17650.0,12943.0,30088.0,61765.0,46814.0,65713.0,36477.0,90309.0,4013.0
,,,,,,,,38,31894.0,25036.0,38731.0,65674.0,24293.0,43733.0,24767.0,39096.0,55879.0,43160.0,16317.0,14012.0,27657.0,26067.0,63037.0,68028.0,21419.0,18259.0,13459.0,31369.0,60955.0,48112.0,67161.0,39183.0,93474.0,4154.0
