resource_name,zone,tech_type,model,planning_year,case,unit,start_value,end_value,start_MWh,end_MWh
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_short_50,MW,59.2434,59.2434,,
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_short_50,MW,12.42,12.42,,
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_short_50,MW,15.4008,15.4008,,
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_short_50,MW,29.4354,29.4354,,
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_short_50,MW,22.977,22.977,,
BASN_landbasedwind_class3_moderate_0,BASN,Wind,SWITCH,2030,base_short_50,MW,0.0,2442.5549933,0.0,
BASN_landbasedwind_class3_moderate_2,BASN,Wind,SWITCH,2030,base_short_50,MW,0.0,3585.9374562,0.0,
BASN_landbasedwind_class3_moderate_3,BASN,Wind,SWITCH,2030,base_short_50,MW,0.0,1452.1275047,0.0,
BASN_landbasedwind_class3_moderate_7,BASN,Wind,SWITCH,2030,base_short_50,MW,0.0,916.784997,0.0,
BASN_landbasedwind_class3_moderate_9,BASN,Wind,SWITCH,2030,base_short_50,MW,0.0,608.276247,0.0,
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,162.0,162.0,,
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,81.0,81.0,,
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,81.0,81.0,,
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,105.0,105.0,,
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,85.0,85.0,,
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,88.0,88.0,,
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,141.0,141.0,,
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,240.0,240.0,,
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,140.0,140.0,,
BASN_natural_gas_fired_combined_cycle_2,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,68.0,68.0,,
BASN_natural_gas_fired_combined_cycle_2,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,40.0,40.0,,
BASN_natural_gas_fired_combined_cycle_2,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,576.6,576.6,,
BASN_natural_gas_fired_combined_cycle_2,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,1200.0,1200.0,,
BASN_natural_gas_fired_combined_cycle_2,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,286.0,286.0,,
BASN_natural_gas_fired_combined_cycle_2,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,1471.0,1471.0,,
BASN_natural_gas_fired_combined_cycle_2,BASN,Natural Gas,SWITCH,2030,base_short_50,MW,563.0,563.0,,
