timeseries,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
2050_p42,2050,1,168,40
2050_p33,2050,1,168,140
2050_p5,2050,1,168,30
2050_p48,2050,1,168,70
2050_p11,2050,1,168,50
2050_p22,2050,1,168,80
2050_p4,2050,1,168,40
2050_p16,2050,1,168,40
2050_p8,2050,1,168,20
2050_p27,2050,1,168,10
