WATER_CONNECTIONS,water_node_from,water_node_to,wc_capacity
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1_inlet,BASN_conventional_hydroelectric_1_outlet,1478.304
CANO_conventional_hydroelectric_1,CANO_conventional_hydroelectric_1_inlet,CANO_conventional_hydroelectric_1_outlet,5619.516
CASO_conventional_hydroelectric_1,CASO_conventional_hydroelectric_1_inlet,CASO_conventional_hydroelectric_1_outlet,919.011
FRCC_conventional_hydroelectric_1,FRCC_conventional_hydroelectric_1_inlet,FRCC_conventional_hydroelectric_1_outlet,43.5
ISNE_conventional_hydroelectric_1,ISNE_conventional_hydroelectric_1_inlet,ISNE_conventional_hydroelectric_1_outlet,464.816
MISC_conventional_hydroelectric_1,MISC_conventional_hydroelectric_1_inlet,MISC_conventional_hydroelectric_1_outlet,276.59499999999997
MISS_conventional_hydroelectric_1,MISS_conventional_hydroelectric_1_inlet,MISS_conventional_hydroelectric_1_outlet,521.4000000000001
MISW_conventional_hydroelectric_1,MISW_conventional_hydroelectric_1_inlet,MISW_conventional_hydroelectric_1_outlet,67.30199999999999
NWPP_conventional_hydroelectric_1,NWPP_conventional_hydroelectric_1_inlet,NWPP_conventional_hydroelectric_1_outlet,28365.891000000003
NYUP_conventional_hydroelectric_1,NYUP_conventional_hydroelectric_1_inlet,NYUP_conventional_hydroelectric_1_outlet,3438.7999999999997
PJMC_conventional_hydroelectric_1,PJMC_conventional_hydroelectric_1_inlet,PJMC_conventional_hydroelectric_1_outlet,10.4
PJMD_conventional_hydroelectric_1,PJMD_conventional_hydroelectric_1_inlet,PJMD_conventional_hydroelectric_1_outlet,613.1
PJME_conventional_hydroelectric_1,PJME_conventional_hydroelectric_1_inlet,PJME_conventional_hydroelectric_1_outlet,579.098
PJMW_conventional_hydroelectric_1,PJMW_conventional_hydroelectric_1_inlet,PJMW_conventional_hydroelectric_1_outlet,626.0
RMRG_conventional_hydroelectric_1,RMRG_conventional_hydroelectric_1_inlet,RMRG_conventional_hydroelectric_1_outlet,579.696
SPPC_conventional_hydroelectric_1,SPPC_conventional_hydroelectric_1_inlet,SPPC_conventional_hydroelectric_1_outlet,52.0
SPPN_conventional_hydroelectric_1,SPPN_conventional_hydroelectric_1_inlet,SPPN_conventional_hydroelectric_1_outlet,2395.015
SPPS_conventional_hydroelectric_1,SPPS_conventional_hydroelectric_1_inlet,SPPS_conventional_hydroelectric_1_outlet,1809.8
SRCA_conventional_hydroelectric_1,SRCA_conventional_hydroelectric_1_inlet,SRCA_conventional_hydroelectric_1_outlet,1030.8999999999999
SRCE_conventional_hydroelectric_1,SRCE_conventional_hydroelectric_1_inlet,SRCE_conventional_hydroelectric_1_outlet,2175.9700000000003
SRSE_conventional_hydroelectric_1,SRSE_conventional_hydroelectric_1_inlet,SRSE_conventional_hydroelectric_1_outlet,3257.7
SRSG_conventional_hydroelectric_1,SRSG_conventional_hydroelectric_1_inlet,SRSG_conventional_hydroelectric_1_outlet,1931.302
TRE_conventional_hydroelectric_1,TRE_conventional_hydroelectric_1_inlet,TRE_conventional_hydroelectric_1_outlet,224.103
