hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
CASO_conventional_hydroelectric_1,2050_p27,351.66059544523745,370.8826285749286
FRCC_conventional_hydroelectric_1,2050_p27,9.03495,9.599336607142858
ISNE_conventional_hydroelectric_1,2050_p27,143.28791500003314,159.04396746267173
MISC_conventional_hydroelectric_1,2050_p27,95.6835853731164,96.68632512536591
MISS_conventional_hydroelectric_1,2050_p27,50.67462181818182,55.5420591919192
MISW_conventional_hydroelectric_1,2050_p27,19.24944374678878,21.304735766656307
NWPP_conventional_hydroelectric_1,2050_p27,18332.898678838705,18372.714620895094
NYUP_conventional_hydroelectric_1,2050_p27,1821.3566352852072,1849.3336238233505
PJMC_conventional_hydroelectric_1,2050_p27,4.16936,4.175538095238095
PJMD_conventional_hydroelectric_1,2050_p27,53.40101,55.56145761904762
PJME_conventional_hydroelectric_1,2050_p27,62.91207577567057,91.48122971674579
PJMW_conventional_hydroelectric_1,2050_p27,149.94300709032623,151.54482224571896
RMRG_conventional_hydroelectric_1,2050_p27,242.95156823956856,244.21773548516143
SPPC_conventional_hydroelectric_1,2050_p27,3.7804,3.9648761904761907
SPPN_conventional_hydroelectric_1,2050_p27,1311.5145132173134,1332.847924179361
SPPS_conventional_hydroelectric_1,2050_p27,150.03242,154.60647404761906
SRCA_conventional_hydroelectric_1,2050_p27,131.74901999999997,134.90185583333334
SRCE_conventional_hydroelectric_1,2050_p27,466.51774750204004,471.9507974075399
SRSE_conventional_hydroelectric_1,2050_p27,345.64196999999996,350.6584401785714
SRSG_conventional_hydroelectric_1,2050_p27,648.1771824045248,648.7598189284872
TRE_conventional_hydroelectric_1,2050_p27,8.6951964,11.745131514285715
BASN_conventional_hydroelectric_1,2050_p33,591.5440522462717,591.5440522462717
CANO_conventional_hydroelectric_1,2050_p33,2254.110440791146,2254.110440791146
CASO_conventional_hydroelectric_1,2050_p33,335.43733254420266,335.43733254420266
FRCC_conventional_hydroelectric_1,2050_p33,10.6401,10.6401
ISNE_conventional_hydroelectric_1,2050_p33,119.80567639176738,119.80567639176738
MISC_conventional_hydroelectric_1,2050_p33,97.14799854280409,97.14799854280409
MISS_conventional_hydroelectric_1,2050_p33,36.27182060606061,36.27182060606061
MISW_conventional_hydroelectric_1,2050_p33,17.48598880677733,17.48598880677733
NWPP_conventional_hydroelectric_1,2050_p33,14157.223731691121,14157.223731691121
NYUP_conventional_hydroelectric_1,2050_p33,1765.9580149396447,1765.9580149396447
PJMC_conventional_hydroelectric_1,2050_p33,2.3400000000000003,2.3400000000000003
PJMD_conventional_hydroelectric_1,2050_p33,60.57428,60.574279999999995
PJME_conventional_hydroelectric_1,2050_p33,87.45146934527058,87.45146934527058
PJMW_conventional_hydroelectric_1,2050_p33,146.52957771072977,146.52957771072977
RMRG_conventional_hydroelectric_1,2050_p33,257.60621814359735,257.6062181435973
SPPC_conventional_hydroelectric_1,2050_p33,3.0784000000000002,3.0784000000000002
SPPN_conventional_hydroelectric_1,2050_p33,1354.7277275371837,1354.7277275371837
SPPS_conventional_hydroelectric_1,2050_p33,90.85196,90.85196
SRCA_conventional_hydroelectric_1,2050_p33,153.81027999999998,153.81027999999998
SRCE_conventional_hydroelectric_1,2050_p33,837.2614476029258,837.261447602926
SRSE_conventional_hydroelectric_1,2050_p33,416.33405999999997,416.33405999999997
SRSG_conventional_hydroelectric_1,2050_p33,596.0949872047512,596.0949872047512
TRE_conventional_hydroelectric_1,2050_p33,15.6423894,15.6423894
BASN_conventional_hydroelectric_1,2050_p4,471.64266519005747,475.5075178007103
CANO_conventional_hydroelectric_1,2050_p4,939.3310426833729,962.1604113999362
CASO_conventional_hydroelectric_1,2050_p4,136.04242481589282,141.2190772665891
FRCC_conventional_hydroelectric_1,2050_p4,19.2792,20.671251785714286
ISNE_conventional_hydroelectric_1,2050_p4,225.2760405739447,232.99918453333595
MISC_conventional_hydroelectric_1,2050_p4,82.31867081830093,84.68855425407463
MISS_conventional_hydroelectric_1,2050_p4,248.41846848484852,249.6985631673882
MISW_conventional_hydroelectric_1,2050_p4,15.683920933394392,16.623011594721564
NWPP_conventional_hydroelectric_1,2050_p4,11792.470684130745,11941.241935704162
NYUP_conventional_hydroelectric_1,2050_p4,2505.049099077784,2511.0283950485564
PJMC_conventional_hydroelectric_1,2050_p4,2.42632,2.615544285714286
PJMD_conventional_hydroelectric_1,2050_p4,110.9711,134.69040625
PJME_conventional_hydroelectric_1,2050_p4,298.18230880359994,312.0408336225215
PJMW_conventional_hydroelectric_1,2050_p4,231.37765666603812,232.91224967291652
RMRG_conventional_hydroelectric_1,2050_p4,106.9751579166332,114.43888366167465
SPPC_conventional_hydroelectric_1,2050_p4,7.9144000000000005,8.085969047619049
SPPN_conventional_hydroelectric_1,2050_p4,973.8104668261348,998.0463437906164
SPPS_conventional_hydroelectric_1,2050_p4,363.76980000000003,387.06451142857145
SRCA_conventional_hydroelectric_1,2050_p4,232.05558999999997,250.06320392857143
SRCE_conventional_hydroelectric_1,2050_p4,1414.3564861605137,1479.3176983846997
SRSE_conventional_hydroelectric_1,2050_p4,1000.7654399999999,1086.61940875
SRSG_conventional_hydroelectric_1,2050_p4,603.410352563801,609.1677516438004
TRE_conventional_hydroelectric_1,2050_p4,1.6583622000000002,2.7722074678571427
BASN_conventional_hydroelectric_1,2050_p42,284.2373767525813,284.2373767525813
CANO_conventional_hydroelectric_1,2050_p42,1440.2858816350158,1440.2858816350158
CASO_conventional_hydroelectric_1,2050_p42,182.775219227965,182.775219227965
FRCC_conventional_hydroelectric_1,2050_p42,11.9973,11.9973
ISNE_conventional_hydroelectric_1,2050_p42,217.47826037640567,217.47826037640567
MISC_conventional_hydroelectric_1,2050_p42,85.95952843568465,85.95952843568465
MISS_conventional_hydroelectric_1,2050_p42,69.04346242424243,69.04346242424243
MISW_conventional_hydroelectric_1,2050_p42,19.81249220174012,19.81249220174012
NWPP_conventional_hydroelectric_1,2050_p42,8059.224182321534,8059.224182321534
NYUP_conventional_hydroelectric_1,2050_p42,1622.0355223264123,1622.0355223264123
PJMC_conventional_hydroelectric_1,2050_p42,2.9328,2.9328
PJMD_conventional_hydroelectric_1,2050_p42,27.77343,27.77343
PJME_conventional_hydroelectric_1,2050_p42,134.45493276249408,134.45493276249408
PJMW_conventional_hydroelectric_1,2050_p42,130.0984352442014,130.0984352442014
RMRG_conventional_hydroelectric_1,2050_p42,176.35743173573013,176.35743173573013
SPPC_conventional_hydroelectric_1,2050_p42,2.1216,2.1216
SPPN_conventional_hydroelectric_1,2050_p42,1001.9914590362862,1001.9914590362862
SPPS_conventional_hydroelectric_1,2050_p42,102.97762,102.97762
SRCA_conventional_hydroelectric_1,2050_p42,165.9749,165.9749
SRCE_conventional_hydroelectric_1,2050_p42,872.1770591914221,872.1770591914221
SRSE_conventional_hydroelectric_1,2050_p42,464.2222499999999,464.2222499999999
SRSG_conventional_hydroelectric_1,2050_p42,344.82839461085973,344.82839461085973
TRE_conventional_hydroelectric_1,2050_p42,40.921207800000005,40.921207800000005
BASN_conventional_hydroelectric_1,2050_p48,366.27947358470374,377.8196734079214
CANO_conventional_hydroelectric_1,2050_p48,1272.7729314036608,1374.23210569403
CASO_conventional_hydroelectric_1,2050_p48,151.75941969912972,161.1062735338105
