GENERATION_PROJECT,build_year,build_gen_predetermined,gen_predetermined_storage_energy_mwh
BASN_natural_gas_fired_combined_cycle_1,2004,1340.0,.
BASN_natural_gas_fired_combined_cycle_1,2005,286.0,.
BASN_natural_gas_fired_combined_cycle_1,2007,563.0,.
BASN_natural_gas_fired_combined_cycle_1,2014,647.4,.
BASN_natural_gas_fired_combined_cycle_1,2012,319.9,.
BASN_natural_gas_fired_combustion_turbine_1,2008,895.6,.
BASN_natural_gas_fired_combustion_turbine_1,2002,273.7,.
BASN_natural_gas_fired_combustion_turbine_1,2001,207.1,.
BASN_natural_gas_fired_combustion_turbine_1,2012,27.0,.
BASN_natural_gas_fired_combustion_turbine_1,2006,115.0,.
BASN_natural_gas_fired_combustion_turbine_1,2005,196.9,.
BASN_natural_gas_fired_combustion_turbine_1,2010,45.4,.
BASN_natural_gas_fired_combustion_turbine_1,2004,30.2,.
BASN_natural_gas_fired_combustion_turbine_1,2009,8.0,.
BASN_natural_gas_fired_combustion_turbine_1,2015,5.3,.
BASN_natural_gas_fired_combustion_turbine_1,2019,15.0,.
BASN_natural_gas_internal_combustion_engine_1,2000,6.0,.
BASN_natural_gas_internal_combustion_engine_1,2002,6.2,.
BASN_natural_gas_internal_combustion_engine_1,2016,5.0,.
BASN_natural_gas_internal_combustion_engine_1,2004,6.6,.
BASN_natural_gas_internal_combustion_engine_1,2015,4.2,.
BASN_natural_gas_internal_combustion_engine_1,2022,23.9,.
BASN_natural_gas_internal_combustion_engine_1,2003,3.8,.
BASN_natural_gas_internal_combustion_engine_1,1995,4.0,.
BASN_natural_gas_internal_combustion_engine_1,1996,0.1,.
BASN_natural_gas_internal_combustion_engine_1,2005,117.6,.
BASN_natural_gas_internal_combustion_engine_1,2006,1.9,.
BASN_natural_gas_internal_combustion_engine_1,2007,5.8,.
BASN_natural_gas_internal_combustion_engine_1,2025,2.4,.
BASN_natural_gas_internal_combustion_engine_1,2008,4.0,.
BASN_natural_gas_internal_combustion_engine_1,2018,12.0,.
BASN_onshore_wind_turbine_1,2024,160.0,.
BASN_onshore_wind_turbine_1,2026,360.0,.
BASN_small_hydroelectric_1,1981,1.0,.
BASN_small_hydroelectric_1,1988,26.5,.
BASN_small_hydroelectric_1,1984,19.8,.
BASN_small_hydroelectric_1,1983,15.0,.
BASN_small_hydroelectric_1,1994,30.8,.
BASN_small_hydroelectric_1,1982,24.0,.
BASN_small_hydroelectric_1,1989,12.3,.
BASN_small_hydroelectric_1,1964,0.5,.
BASN_small_hydroelectric_1,1958,14.1,.
BASN_small_hydroelectric_1,1961,1.4,.
BASN_small_hydroelectric_1,1987,15.7,.
BASN_small_hydroelectric_1,1986,14.0,.
BASN_small_hydroelectric_1,2004,3.3,.
BASN_small_hydroelectric_1,1997,20.0,.
BASN_small_hydroelectric_1,1993,26.8,.
BASN_small_hydroelectric_1,1991,1.8,.
BASN_small_hydroelectric_1,1998,2.1,.
BASN_small_hydroelectric_1,1990,21.6,.
BASN_small_hydroelectric_1,1985,6.1,.
BASN_small_hydroelectric_1,1992,1.3,.
BASN_small_hydroelectric_1,1995,9.4,.
BASN_small_hydroelectric_1,2006,0.8,.
BASN_small_hydroelectric_1,2014,3.6,.
BASN_small_hydroelectric_1,2010,16.0,.
BASN_small_hydroelectric_1,2013,1.1,.
BASN_small_hydroelectric_1,2015,1.2,.
BASN_small_hydroelectric_1,2016,0.1,.
BASN_small_hydroelectric_1,2008,13.0,.
BASN_small_hydroelectric_1,2021,2.3,.
BASN_solar_photovoltaic_1,2023,1688.9,.
BASN_solar_photovoltaic_1,2022,508.9,.
BASN_solar_photovoltaic_1,2021,847.4,.
BASN_solar_photovoltaic_1,2025,663.0,.
BASN_solar_photovoltaic_1,2024,566.0,.
CANO_biomass_1,2004,16.9,.
CANO_biomass_1,2021,7.0,.
CANO_biomass_1,2018,31.5,.
CANO_biomass_1,2017,9.0,.
CANO_biomass_1,2016,10.2,.
CANO_biomass_1,2008,21.0,.
CANO_biomass_1,2013,12.3,.
CANO_biomass_1,2011,3.8,.
CANO_biomass_1,2002,1.9,.
CANO_biomass_1,2012,2.4,.
CANO_biomass_1,2014,15.2,.
CANO_biomass_1,2015,30.0,.
CANO_biomass_1,2023,2.0,.
CANO_biomass_1,2019,2.0,.
CANO_biomass_1,2022,3.0,.
CANO_conventional_hydroelectric_1,1958,530.0,.
CANO_conventional_hydroelectric_1,1969,632.4,.
CANO_conventional_hydroelectric_1,1965,372.5,.
CANO_conventional_hydroelectric_1,1979,390.0,.
CANO_conventional_hydroelectric_1,1966,304.0,.
CANO_conventional_hydroelectric_1,1962,130.1,.
CANO_conventional_hydroelectric_1,1955,310.1,.
CANO_conventional_hydroelectric_1,1953,33.0,.
CANO_conventional_hydroelectric_1,1963,483.4,.
CANO_conventional_hydroelectric_1,1960,156.8,.
CANO_conventional_hydroelectric_1,1967,173.5,.
CANO_conventional_hydroelectric_1,1987,36.5,.
CANO_conventional_hydroelectric_1,1957,61.2,.
CANO_conventional_hydroelectric_1,1968,711.9,.
CANO_conventional_hydroelectric_1,1961,78.1,.
CANO_conventional_hydroelectric_1,1971,239.1,.
CANO_conventional_hydroelectric_1,1983,155.5,.
CANO_conventional_hydroelectric_1,1989,291.2,.
CANO_conventional_hydroelectric_1,1964,320.0,.
