LOAD_ZONE,TIMEPOINT,zone_demand_mw
BASN,309,43836
BASN,310,38174
BASN,311,32291
BASN,312,29628
BASN,313,26768
BASN,314,24189
BASN,315,22616
BASN,316,22767
BASN,317,20781
BASN,318,20323
BASN,319,19876
BASN,320,19480
BASN,321,19844
BASN,322,20353
BASN,323,21952
BASN,324,24587
BASN,325,27825
BASN,326,30656
BASN,327,33569
BASN,328,36215
BASN,329,37606
BASN,330,38660
BASN,331,39212
BASN,332,38853
BASN,333,37163
BASN,334,38063
BASN,335,37438
BASN,336,34964
BASN,337,29615
BASN,338,27116
BASN,339,24397
BASN,340,21930
BASN,341,21006
BASN,342,21028
BASN,343,21158
BASN,344,21237
BASN,345,21958
BASN,346,22961
BASN,347,23559
BASN,348,24424
BASN,349,25613
BASN,350,26665
BASN,351,27889
BASN,352,28800
BASN,353,28895
BASN,354,29237
BASN,355,29946
BASN,356,31094
BASN,357,32272
BASN,358,33812
BASN,359,33006
BASN,360,31052
BASN,361,28866
BASN,362,26167
BASN,363,22809
BASN,364,19181
BASN,365,18869
BASN,366,18641
BASN,367,19074
BASN,368,20030
BASN,369,22751
BASN,370,25794
BASN,371,26600
BASN,372,25875
BASN,373,25313
BASN,374,25360
BASN,375,25670
BASN,376,25991
BASN,377,25978
BASN,378,27076
BASN,379,29818
BASN,380,33071
BASN,381,35773
BASN,382,32012
BASN,383,27503
BASN,384,25489
BASN,385,23189
BASN,386,21252
BASN,387,20184
BASN,388,19344
BASN,389,19000
BASN,390,18866
BASN,391,19190
BASN,392,20072
BASN,393,22631
BASN,394,25579
BASN,395,26545
BASN,396,25925
BASN,397,25309
BASN,398,25141
BASN,399,25531
BASN,400,25805
BASN,401,25780
BASN,402,26842
BASN,403,29495
BASN,404,32743
BASN,405,35384
BASN,406,31673
BASN,407,27343
BASN,408,25265
BASN,409,23155
BASN,410,21179
BASN,411,20244
BASN,412,19286
BASN,413,18956
BASN,414,18677
BASN,415,18980
BASN,416,19740
BASN,417,22137
BASN,418,24777
BASN,419,25557
BASN,420,25081
BASN,421,24575
BASN,422,24599
BASN,423,25208
BASN,424,25649
BASN,425,25723
BASN,426,27034
BASN,427,29706
BASN,428,32860
BASN,429,35169
BASN,430,31390
BASN,431,27085
BASN,432,25103
BASN,433,23073
BASN,434,21292
BASN,435,20217
BASN,436,19379
BASN,437,19089
BASN,438,18901
BASN,439,19285
BASN,440,20212
BASN,441,22659
BASN,442,25468
BASN,443,26437
BASN,444,25828
BASN,445,25153
BASN,446,25429
BASN,447,25782
BASN,448,26231
BASN,449,26268
BASN,450,27360
BASN,451,29968
BASN,452,33322
BASN,453,36011
BASN,454,32264
BASN,455,27839
BASN,456,25854
BASN,457,23833
BASN,458,21997
BASN,459,20886
BASN,460,20107
BASN,461,19817
BASN,462,19644
BASN,463,19957
BASN,464,20918
BASN,465,23353
BASN,466,26310
BASN,467,27095
BASN,468,26571
BASN,469,25809
BASN,470,25591
BASN,471,25857
BASN,472,26026
BASN,473,25926
BASN,474,26982
BASN,475,29511
BASN,476,32564
BASN,477,35127
BASN,478,31335
BASN,479,27029
BASN,480,25424
BASN,481,23477
BASN,482,21989
BASN,483,21428
BASN,484,21953
BASN,485,21010
BASN,486,21204
BASN,487,21215
BASN,488,21612
BASN,489,22822
BASN,490,24061
BASN,491,24481
BASN,492,25128
BASN,493,26024
BASN,494,26876
BASN,495,27824
BASN,496,28473
BASN,497,28364
BASN,498,28297
BASN,499,28990
BASN,500,30278
BASN,501,31780
BASN,502,32959
BASN,503,32623
BASN,504,30910
BASN,505,27319
BASN,506,24818
BASN,507,22518
BASN,508,20302
BASN,509,19125
BASN,510,19126
BASN,511,19047
BASN,512,19020
BASN,513,19696
BASN,514,20434
BASN,515,20999
BASN,516,22141
BASN,517,23692
BASN,518,25005
BASN,519,26382
BASN,520,27749
BASN,521,27866
BASN,522,27851
BASN,523,29083
BASN,524,31065
BASN,525,31827
BASN,526,33101
BASN,527,32538
BASN,528,30547
BASN,529,28084
BASN,530,25382
BASN,531,22185
BASN,532,18626
BASN,533,18311
BASN,534,18165
BASN,535,18576
BASN,536,19483
BASN,537,21897
BASN,538,24501
BASN,539,25664
BASN,540,25197
BASN,541,24555
BASN,542,24889
BASN,543,25492
BASN,544,25805
BASN,545,25996
BASN,546,27273
BASN,547,30301
BASN,548,34844
BASN,549,36975
BASN,550,32525
BASN,551,27941
BASN,552,25783
BASN,553,23477
BASN,554,21426
BASN,555,20205
BASN,556,19386
BASN,557,19118
BASN,558,18831
BASN,559,19176
BASN,560,19965
BASN,561,22273
BASN,562,24736
BASN,563,25774
BASN,564,25338
BASN,565,24541
BASN,566,24863
BASN,567,25316
BASN,568,25815
BASN,569,26084
BASN,570,27366
BASN,571,30407
BASN,572,35011
BASN,573,36630
BASN,574,32093
BASN,575,27602
BASN,576,25499
BASN,577,23175
BASN,578,21271
BASN,579,20105
BASN,580,19245
BASN,581,18802
BASN,582,18584
BASN,583,18867
BASN,584,19658
BASN,585,21957
BASN,586,24303
BASN,587,25367
BASN,588,24814
BASN,589,24245
BASN,590,24789
BASN,591,25542
BASN,592,25997
BASN,593,26324
BASN,594,27670
BASN,595,30839
BASN,596,35050
BASN,597,36575
BASN,598,31876
BASN,599,27130
BASN,600,25049
BASN,601,22784
BASN,602,20836
BASN,603,19613
BASN,604,18607
BASN,605,18158
BASN,606,17891
BASN,607,18232
BASN,608,18902
BASN,609,21041
BASN,610,23308
BASN,611,24319
BASN,612,23992
BASN,613,23732
BASN,614,24343
BASN,615,24950
BASN,616,25502
BASN,617,25809
BASN,618,27072
BASN,619,30283
BASN,620,34633
BASN,621,35973
BASN,622,31441
BASN,623,26762
BASN,624,24802
BASN,625,22516
BASN,626,20497
BASN,627,19188
BASN,628,18321
BASN,629,17809
BASN,630,17556
BASN,631,17739
BASN,632,18353
BASN,633,20200
BASN,634,22370
BASN,635,23694
BASN,636,23689
BASN,637,23447
BASN,638,23984
BASN,639,24690
BASN,640,25189
BASN,641,25501
BASN,642,26863
BASN,643,29920
BASN,644,34055
BASN,645,35197
BASN,646,30509
BASN,647,25888
BASN,648,24106
BASN,649,22144
BASN,650,20438
BASN,651,19780
BASN,652,20267
BASN,653,18879
BASN,654,18790
BASN,655,18657
BASN,656,18713
BASN,657,19607
BASN,658,20269
BASN,659,20646
BASN,660,21903
BASN,661,23629
BASN,662,25001
BASN,663,26427
BASN,664,27487
BASN,665,27880
BASN,666,28062
BASN,667,28856
BASN,668,30893
BASN,669,31360
BASN,670,32152
BASN,671,31565
BASN,672,29834
BASN,673,26684
BASN,674,24231
BASN,675,21506
BASN,676,19306
BASN,677,18141
BASN,678,17954
BASN,679,17769
BASN,680,17894
BASN,681,18542
BASN,682,19311
BASN,683,19832
BASN,684,21003
BASN,685,22608
BASN,686,24236
BASN,687,25860
BASN,688,27244
BASN,689,27534
BASN,690,27869
BASN,691,28265
BASN,692,28707
BASN,693,28714
BASN,694,31274
BASN,695,31570
BASN,696,29536
BASN,697,26911
BASN,698,24358
BASN,699,21060
BASN,700,17490
BASN,701,17051
BASN,702,16889
BASN,703,17383
BASN,704,18620
BASN,705,21087
BASN,706,23386
BASN,707,24228
BASN,708,24053
BASN,709,23866
BASN,710,24375
BASN,711,25137
BASN,712,25609
BASN,713,25747
BASN,714,26949
BASN,715,29634
BASN,716,32446
BASN,717,33413
BASN,718,29851
BASN,719,25987
BASN,720,23924
BASN,721,21587
BASN,722,19640
BASN,723,18414
BASN,724,17613
BASN,725,17155
BASN,726,16943
BASN,727,17360
BASN,728,18537
BASN,729,20934
BASN,730,23103
BASN,731,24053
BASN,732,23845
BASN,733,23846
BASN,734,24390
BASN,735,25170
BASN,736,25712
BASN,737,25859
BASN,738,27190
BASN,739,29912
BASN,740,32968
BASN,741,34120
BASN,742,30398
BASN,743,26485
BASN,744,24450
BASN,745,22132
BASN,746,20141
BASN,747,18939
BASN,748,18071
BASN,749,17621
BASN,750,17404
BASN,751,17801
BASN,752,18955
BASN,753,21269
BASN,754,23312
BASN,755,24129
BASN,756,23975
BASN,757,23752
BASN,758,24209
BASN,759,24971
BASN,760,25552
BASN,761,25706
BASN,762,26968
BASN,763,29552
BASN,764,32301
BASN,765,33300
BASN,766,29609
BASN,767,25887
BASN,768,23855
BASN,769,21528
BASN,770,19585
BASN,771,18367
BASN,772,17397
BASN,773,16940
BASN,774,16731
BASN,775,17130
BASN,776,18281
BASN,777,20357
BASN,778,22435
BASN,779,23328
BASN,780,23179
BASN,781,23062
BASN,782,23746
BASN,783,24643
BASN,784,25159
BASN,785,25510
BASN,786,26830
BASN,787,29471
BASN,788,32208
BASN,789,33157
BASN,790,29497
BASN,791,25532
BASN,792,23609
BASN,793,21374
BASN,794,19473
BASN,795,18283
BASN,796,17378
BASN,797,16902
BASN,798,16560
BASN,799,16952
BASN,800,17982
BASN,801,20142
BASN,802,22215
BASN,803,23285
BASN,804,23324
BASN,805,23180
BASN,806,23947
BASN,807,24707
BASN,808,25163
BASN,809,25309
BASN,810,26663
